,value
2020-01-02,1.002977908296346
2020-01-08,1.0045728591316976
2020-01-14,0.9966962417952292
2020-01-21,0.9953273486144134
2020-01-27,0.9990981563434334
2020-01-31,1.0020482205825483
2020-02-06,1.0003639327398537
2020-02-12,0.9852127084525979
2020-02-19,0.9813902017366778
2020-02-25,0.9712713653258158
2020-03-02,0.9417575425019948
2020-03-06,0.9681398862776022
2020-03-12,0.9615122386304682
2020-03-18,0.9755410604895697
2020-03-24,0.9822020283283275
2020-03-30,1.016390958361895
2020-04-03,1.020797849809012
2020-04-09,1.0319300628252575
2020-04-16,1.035650312340087
2020-04-22,1.037747124228672
2020-04-28,1.0403636100168487
2020-05-04,1.0420892626362945
2020-05-08,1.0462990043154894
2020-05-14,1.059709023154397
2020-05-20,1.0536888000624327
2020-05-27,1.072421767318697
2020-06-02,1.0579310550503929
2020-06-08,1.0626590176694777
2020-06-12,1.0525627248775855
2020-06-18,1.0595705027501554
2020-06-24,1.0543135191877455
2020-06-30,1.054071280749248
2020-07-07,1.0507142702654444
2020-07-13,1.0491990694012339
2020-07-17,1.0498025895500294
2020-07-23,1.0497822796077012
2020-07-29,1.0569257548822963
2020-08-04,1.055033871634292
2020-08-10,1.058092206411384
2020-08-14,1.065095600649948
2020-08-20,1.0591836520345512
2020-08-26,1.0517479118315383
2020-09-01,1.062589782171728
2020-09-08,1.064101693025453
2020-09-14,1.0635126019761272
2020-09-18,1.068002633179357
2020-09-24,1.0645260298326675
2020-09-30,1.0722913967467442
2020-10-06,1.0630491947501013
2020-10-12,1.0592842913218055
2020-10-16,1.0456831770527217
2020-10-22,1.052641272542641
2020-10-28,1.0655717974468377
2020-11-03,1.0688928120617684
2020-11-09,1.0741463263594946
2020-11-13,1.07792614875333
2020-11-19,1.0877642800382121
2020-11-25,1.0904827180226448
2020-12-02,1.0888424022838747
2020-12-08,1.0878496981803485
2020-12-14,1.0918723392289957
2020-12-18,1.0946434198402153
2020-12-24,1.1038223330346384
2020-12-31,1.1053762151655828
2021-01-07,1.1073823311374067
2021-01-13,1.1036999704853705
2021-01-20,1.0880219094054175
2021-01-26,1.099768332723732
2021-02-01,1.1030324042464443
2021-02-05,1.1084641551223215
2021-02-11,1.111060888722976
2021-02-18,1.1174112761792976
2021-02-24,1.1205084065569866
2021-03-02,1.1383094538406213
2021-03-08,1.135615510138344
2021-03-12,1.1315520741872613
2021-03-18,1.1365500342919646
2021-03-24,1.1368909574570694
2021-03-30,1.137713159517787
2021-04-06,1.1372903369943757
2021-04-12,1.1350845320795309
2021-04-16,1.138363473236587
2021-04-22,1.1366013719128556
2021-04-28,1.1400342849564595
2021-05-04,1.1428445469085091
2021-05-10,1.1403968042654788
2021-05-14,1.1464697381902351
2021-05-20,1.146083906080634
2021-05-26,1.1473824904152792
2021-06-02,1.1508761043044942
2021-06-08,1.1465980810006207
2021-06-14,1.1518553479576654
2021-06-18,1.1533677206728954
2021-06-24,1.1563363385527814
2021-06-30,1.1485899879065977
2021-07-07,1.1382221891441537
2021-07-13,1.1388602499143385
2021-07-19,1.1403601975921642
2021-07-23,1.1420397111944591
2021-07-29,1.1499961556001441
2021-08-04,1.1494315195813176
2021-08-10,1.149181084042212
2021-08-16,1.1511463562494366
2021-08-20,1.1523346903042115
2021-08-26,1.1533982833755447
2021-09-01,1.147612479486695
2021-09-08,1.1372222987932072
2021-09-14,1.1437994545327084
2021-09-20,1.142228690266427
2021-09-24,1.139572952261358
2021-09-30,1.13580431071668
2021-10-06,1.1464200099938708
2021-10-12,1.1500808803373763
2021-10-18,1.150766342743141
2021-10-22,1.1552915031528532
2021-10-28,1.1564188228765355
2021-11-03,1.154743890334024
2021-11-09,1.1527457905599603
2021-11-15,1.1362319011573452
2021-11-19,1.1398795824731167
2021-11-26,1.1516224036232652
2021-12-02,1.1450330175382923
2021-12-08,1.1506087706717292
2021-12-14,1.1593498092226018
2021-12-20,1.154946387098428
2021-12-27,1.1501620395328684
2021-12-31,1.1512870830894129
2022-01-06,1.147674135833467
2022-01-12,1.1484754078295427
2022-01-19,1.151603007933413
2022-01-25,1.1661724609118216
2022-01-31,1.1762230546349235
2022-02-04,1.1761459076785286
2022-02-10,1.1623318870758814
2022-02-16,1.1780614799771305
2022-02-23,1.1759095422837202
2022-03-01,1.187728193312799
2022-03-07,1.2017766726182226
2022-03-11,1.1915037755878877
2022-03-17,1.1977710402808748
2022-03-23,1.1942572798995545
2022-03-29,1.1884670366110521
2022-04-04,1.1739488569187126
2022-04-08,1.162791735292218
2022-04-14,1.1438402756842867
2022-04-21,1.1554846072480214
2022-04-27,1.1228371885740966
2022-05-03,1.1222777927468357
2022-05-09,1.129140818450116
2022-05-13,1.1290611634404106
2022-05-19,1.1251268164717454
2022-05-25,1.1265284089879732
2022-06-01,1.11351737797874
2022-06-07,1.1091477550649724
2022-06-13,1.113431758029531
2022-06-17,1.1060072136590453
2022-06-24,1.0980247391992763
2022-06-30,1.0978574639119114
2022-07-07,1.1061041172358426
2022-07-13,1.107167290418139
2022-07-19,1.1258011430534594
2022-07-25,1.1344927063924322
2022-07-29,1.1537047264661
2022-08-04,1.1529846342825865
2022-08-10,1.1467595696492578
2022-08-16,1.1419242594934451
2022-08-22,1.1383290021228347
2022-08-26,1.1426490775221736
2022-09-01,1.144576216657571
2022-09-08,1.144385164850086
2022-09-14,1.1322450916103701
2022-09-20,1.126264639706845
2022-09-26,1.1364639577514628
2022-09-30,1.1283424340162467
2022-10-06,1.1335868275651977
2022-10-12,1.142232030452466
2022-10-18,1.1478873427202223
2022-10-24,1.1433067290430363
2022-10-28,1.145968028360684
2022-11-03,1.1577126324190907
2022-11-09,1.1601927389034972
2022-11-15,1.1529957118726653
2022-11-21,1.15522987353266
2022-11-28,1.1487851669406255
2022-12-02,1.147666151915034
2022-12-08,1.150942390170005
2022-12-14,1.1563887483249307
2022-12-20,1.1658617324300873
2022-12-27,1.1724698044696686
2023-01-03,1.1800667962137812
2023-01-09,1.173966989273226
2023-01-13,1.176935509721775
2023-01-20,1.169053510915262
2023-01-26,1.1627774612492248
2023-02-01,1.1614980496618104
2023-02-07,1.1640837477126198
2023-02-13,1.161668851294923
2023-02-17,1.165695215023159
2023-02-24,1.167988556835947
2023-03-02,1.1663023928443768
2023-03-08,1.1556950216320434
2023-03-14,1.1533984053427244
2023-03-20,1.1550042192876906
2023-03-24,1.1522940296778745
2023-03-30,1.1549279263671794
2023-04-05,1.1602694665550601
2023-04-12,1.1593239434883449
2023-04-18,1.1533810435412069
2023-04-24,1.1483846629608931
2023-04-28,1.1520323190232273
2023-05-04,1.1500395675092565
2023-05-10,1.157822237181051
2023-05-16,1.1650671393539709
2023-05-22,1.1699641045413987
2023-05-26,1.168073801740848
2023-06-02,1.170702036398397
2023-06-08,1.1651085920805015
2023-06-14,1.1648090523453982
2023-06-21,1.1684307866718349
2023-06-27,1.1672119630645978
2023-07-03,1.1699187001408413
2023-07-10,1.1701770845158506
2023-07-14,1.1712758297338774
2023-07-20,1.1758246284703802
2023-07-26,1.176545531603168
2023-08-01,1.1726523077992137
2023-08-07,1.1708248586067687
2023-08-11,1.172775765137912
2023-08-17,1.1747550864145602
2023-08-23,1.1738510461541627
2023-08-29,1.1697406424821473
2023-09-05,1.1645433128255362
2023-09-11,1.1590741792048114
2023-09-15,1.1552117428761004
2023-09-21,1.1511244806252818
2023-09-27,1.1511217544640786
2023-10-03,1.153046495958145
2023-10-09,1.1519411902678154
2023-10-13,1.1470555357576093
2023-10-19,1.1452122479930005
2023-10-25,1.1551877485866924
2023-10-31,1.1610861721126862
2023-11-06,1.1637433564005497
2023-11-10,1.1640751582907756
2023-11-16,1.1617739102647524
2023-11-22,1.1611960195707405
2023-11-29,1.1622058064239358
2023-12-05,1.1652778808932416
2023-12-11,1.1708603678959881
2023-12-15,1.1717441649303555
2023-12-21,1.166074312991822
2023-12-28,1.1689079139750727
2024-01-04,1.1653743850928189
2024-01-10,1.16916571159682
2024-01-17,1.1739772508399313
2024-01-23,1.1754263564738796
2024-01-29,1.1765893107410343
2024-02-02,1.1778788773295432
2024-02-08,1.1782489321837628
2024-02-14,1.184159474837682
2024-02-21,1.1904529599003848
2024-02-27,1.1945233539365312
2024-03-04,1.2030989029438597
2024-03-08,1.20975175980888
2024-03-14,1.210872804257676
