,value
2020-01-02,0.9970790285029436
2020-01-27,1.0013995196919334
2020-02-19,1.0009792576475283
2020-03-12,1.000748516310694
2020-04-03,1.0031102784359363
2020-04-28,1.0030806209073047
2020-05-20,1.013486065004498
2020-06-12,1.0243717075256
2020-07-07,1.0286958956721126
2020-07-29,1.028316337943823
2020-08-20,1.027623977250412
2020-09-14,1.0309404812871827
2020-10-06,1.0323800648783488
2020-10-28,1.038592440166194
2020-11-19,1.0383813599060456
2020-12-14,1.0381427995352497
2021-01-07,1.0386652372063325
2021-02-01,1.0448680600565232
2021-02-24,1.0436168881296437
2021-03-18,1.0423654911044127
2021-04-12,1.0446547467647829
2021-05-04,1.0461391239703037
2021-05-26,1.0523172459141852
2021-06-18,1.0545324175886575
2021-07-13,1.0550775670598604
2021-08-04,1.0527365678717828
2021-08-26,1.051327885041405
2021-09-20,1.0526543268809145
2021-10-12,1.054062422481841
2021-11-03,1.0517477960229353
2021-11-26,1.052589575933961
2021-12-20,1.051757840581522
2022-01-12,1.0516386481462952
2022-02-04,1.0545756528973969
2022-03-01,1.0570779555867118
2022-03-23,1.058511428956356
2022-04-14,1.0552153771135053
2022-05-09,1.0571220091133275
2022-06-01,1.056905642049984
2022-06-24,1.0592425776106915
2022-07-19,1.0554565857927471
2022-08-10,1.0516915626838195
2022-09-01,1.0504926796599146
2022-09-26,1.0498044880961617
2022-10-18,1.050335185387889
2022-11-09,1.053527426053477
2022-12-02,1.04756812428204
2022-12-27,1.053502194751629
2023-01-20,1.0551718790458808
2023-02-13,1.0591040877559221
2023-03-08,1.0493797473309119
2023-03-30,1.050126737719185
2023-04-24,1.0488432996142065
2023-05-16,1.0522596202503411
2023-06-08,1.0530106595569144
2023-07-03,1.0553480913461344
2023-07-26,1.0521688546891024
2023-08-17,1.0525988707779836
2023-09-11,1.0558710824159356
2023-10-03,1.0565569728629973
2023-10-25,1.0534259300167055
2023-11-16,1.0541925937937873
2023-12-11,1.0546680573443874
2024-01-04,1.0564681051243756
2024-01-29,1.0579662458258579
2024-02-21,1.062364469939574
2024-03-14,1.0639981149060604
2024-04-08,1.065558276421261
2024-04-30,1.0651964936857927
2024-05-22,1.0701233458502488
2024-06-14,1.066823157803312
2024-07-10,1.0640951928388738
2024-08-01,1.0668696946091267
2024-08-23,1.0674803962410024
2024-09-17,1.0692094499488065
2024-10-09,1.07210448799509
2024-10-31,1.074455987273046
2024-11-22,1.075585221893975
2024-12-17,1.0756008517622113
