,value
2020-01-02,0.9938427825930615
2020-01-03,0.9977164338693468
2020-01-06,0.9959579596007077
2020-01-07,1.001062143800027
2020-01-08,1.0060002384224846
2020-01-09,1.0026516752464827
2020-01-10,1.0071562607456284
2020-01-13,1.0052634843173733
2020-01-14,1.00728232502298
2020-01-15,1.0144058726284795
2020-01-16,1.014745691990713
2020-01-17,1.0155117512696508
2020-01-21,1.0156505616416553
2020-01-22,1.0157197548507424
2020-01-23,1.0073167855250076
2020-01-24,0.9967514545935363
2020-01-27,1.0006568031196916
2020-01-28,0.999025355752431
2020-01-29,1.005028414316829
2020-01-30,0.9856130876607625
2020-01-31,0.9933133762930821
2020-02-03,1.0064582578680592
2020-02-04,1.0212344187200022
2020-02-05,1.023342660056435
2020-02-06,1.019881026933417
2020-02-07,1.02457057035489
2020-02-10,1.0245646554987997
2020-02-11,1.0324651347284481
2020-02-12,1.0338338439893249
2020-02-13,1.0336100132199137
2020-02-14,1.0327088766264978
2020-02-18,1.033464324938541
2020-02-19,1.0312077380336961
2020-02-20,1.0270311681603397
2020-02-21,1.002693555580502
2020-02-24,0.9774359579370318
2020-02-25,0.9719548093889793
2020-02-26,0.9354943170941639
2020-02-27,0.9303293427836853
2020-02-28,0.9651836385852076
2020-03-02,0.9370609769466622
2020-03-03,0.978887258669043
2020-03-04,0.9376631286240295
2020-03-05,0.9227399863074542
2020-03-06,0.8541485443289355
2020-03-09,0.8884685776309538
2020-03-10,0.8388635783424032
2020-03-11,0.7505053555255371
2020-03-12,0.8227212267832306
2020-03-13,0.7132945615848117
2020-03-16,0.7532278523163674
2020-03-17,0.7019806488265473
2020-03-18,0.7199675834143913
2020-03-19,0.6895078486931159
2020-03-20,0.6683985226766895
2020-03-23,0.7534516627892177
2020-03-24,0.7712424466175151
2020-03-25,0.8224586588521512
2020-03-26,0.7937468052508596
2020-03-27,0.8206090835460922
2020-03-30,0.8053190529049334
2020-03-31,0.7810974531352775
2020-04-01,0.7987462325525063
2020-04-02,0.7893135589653005
2020-04-03,0.8341452018956739
2020-04-06,0.8378824935021196
2020-04-07,0.8633111847070369
2020-04-08,0.8864089240097867
2020-04-09,0.8719535272432499
2020-04-13,0.8921649657392741
2020-04-14,0.8782978003072371
2020-04-15,0.8916746611382015
2020-04-16,0.9007687482859347
2020-04-17,0.8797233057398394
2020-04-20,0.8595564970821208
2020-04-21,0.8781221633121008
2020-04-22,0.8807946366004444
2020-04-23,0.8905294991905617
2020-04-24,0.9056623302648579
2020-04-27,0.9072852282728836
2020-04-28,0.9367168449263985
2020-04-29,0.921114783168955
2020-04-30,0.8987511920512673
2020-05-01,0.9043240825398708
2020-05-04,0.9110630604140162
2020-05-05,0.9058668911420141
2020-05-06,0.9081153494542622
2020-05-07,0.9191849435127991
2020-05-08,0.9209624808271442
2020-05-11,0.9025320701221096
2020-05-12,0.8909756356581575
2020-05-13,0.9062612300907718
2020-05-14,0.9061409097156882
2020-05-15,0.9323992546371318
2020-05-18,0.9198101849706993
2020-05-19,0.9387500052526404
2020-05-20,0.9334437837273477
2020-05-21,0.9332674840823852
2020-05-22,0.9559552395489406
2020-05-26,0.9733549614470279
2020-05-27,0.9599863992793672
2020-05-28,0.9627624996271545
2020-05-29,0.96129037484729
2020-06-01,0.9687183686954771
2020-06-02,0.9771920741084094
2020-06-03,0.9715801239349139
2020-06-04,0.9928758057590255
2020-06-05,1.009221424936632
2020-06-08,0.9999622629734961
2020-06-09,0.9935955838846192
2020-06-10,0.9403927728845164
2020-06-11,0.9477822983682198
2020-06-12,0.955580335606239
2020-06-15,0.9693035859252833
2020-06-16,0.9559332029729669
2020-06-17,0.9558789807084832
2020-06-18,0.946325761310047
2020-06-19,0.9501808206112219
2020-06-22,0.9528521342948949
2020-06-23,0.9242652855130387
2020-06-24,0.9408973783712716
2020-06-25,0.907260747705066
2020-06-26,0.920217018242054
2020-06-29,0.9303163049014057
2020-06-30,0.9322141814339476
2020-07-01,0.9377383100830012
2020-07-02,0.9566573416954814
2020-07-06,0.9422947946057113
2020-07-07,0.9516209364666197
2020-07-08,0.9494098669636156
2020-07-09,0.9617982075996266
2020-07-10,0.9552913470910661
2020-07-13,0.965183422914547
2020-07-14,0.9736013344418161
2020-07-15,0.9701159727051892
2020-07-16,0.9690991195608966
2020-07-17,0.968980022944332
2020-07-20,0.9738033118758679
2020-07-21,0.9787708181046958
2020-07-22,0.9722233953647013
2020-07-23,0.9698449882628001
2020-07-24,0.9743664337491577
2020-07-27,0.9673687819353053
2020-07-28,0.9780364982422177
2020-07-29,0.9742799159759776
2020-07-30,0.9798736590095691
2020-07-31,0.9847481597234092
2020-08-03,0.9907169656871886
2020-08-04,0.9972593923108021
2020-08-05,1.002973704676681
2020-08-06,1.0058664868777973
2020-08-07,1.0163041579967387
2020-08-10,1.0171410604568436
2020-08-11,1.021934856910737
2020-08-12,1.0138574562183442
2020-08-13,1.0129201491009754
2020-08-14,1.02102017951205
2020-08-17,1.0224043648712984
2020-08-18,1.0146696154122075
2020-08-19,1.0188940330825407
2020-08-20,1.0249286694108897
2020-08-21,1.0289233560252347
2020-08-24,1.0308481046698028
2020-08-25,1.034892217271681
2020-08-26,1.0349261055326926
2020-08-27,1.0420794912626117
2020-08-28,1.0289228676787072
2020-08-31,1.0358644436038245
2020-09-01,1.0524876357466808
2020-09-02,1.0231998480538238
2020-09-03,1.0188098338863116
2020-09-04,1.0036127026358055
2020-09-08,1.0117007256712176
2020-09-09,0.9944335741528647
2020-09-10,0.9943573207406486
2020-09-11,1.0069350570598894
2020-09-14,1.0142567438568997
2020-09-15,1.0059720789608835
2020-09-16,0.9962730690965013
2020-09-17,0.9838916286022812
2020-09-18,0.9730017510873848
2020-09-21,0.9800771840646069
2020-09-22,0.9574675104366931
2020-09-23,0.9632142748344655
2020-09-24,0.9749404385521143
2020-09-25,0.9905924295124015
2020-09-28,0.9838389642808484
2020-09-29,0.9904304960274645
2020-09-30,0.9910662046273556
2020-10-01,0.9943245889512455
2020-10-02,1.0078010376070325
2020-10-05,0.9979728642946396
2020-10-06,1.0137458072493803
2020-10-07,1.0266912547217653
2020-10-08,1.0299071610057895
2020-10-09,1.0414647406031026
2020-10-12,1.0383340388532705
2020-10-13,1.0311017841687573
2020-10-14,1.0288820102012557
2020-10-15,1.030304545410083
2020-10-16,1.0176333203300372
2020-10-19,1.019475293973179
2020-10-20,1.0128570647171111
2020-10-21,1.0191244737985712
2020-10-22,1.023856359853715
2020-10-23,1.0030353827109897
2020-10-26,0.9939787453443472
2020-10-27,0.9633391383207013
2020-10-28,0.9738054786894402
2020-10-29,0.965815281282722
2020-10-30,0.9809617299789509
2020-11-02,0.9982855919895558
2020-11-03,1.0097304818574615
2020-11-04,1.0280833276012522
2020-11-05,1.0294807714696692
2020-11-06,1.0266222466659225
2020-11-09,1.031815086454285
2020-11-10,1.0276215589851108
2020-11-11,1.0171732614478595
2020-11-12,1.023972472867597
2020-11-13,1.0285187680525336
2020-11-16,1.0229449004613693
2020-11-17,1.0142924881382003
2020-11-18,1.018763358817308
2020-11-19,1.0128880187984315
2020-11-20,1.0119388044871047
2020-11-23,1.0328712621003582
2020-11-24,1.0266902092538603
2020-11-25,1.0273845658060934
2020-11-27,1.0226734892542366
2020-11-30,1.0335581827878562
2020-12-01,1.0336443774179696
2020-12-02,1.027417290173674
2020-12-03,1.0366187351776937
2020-12-04,1.0305859466264924
2020-12-07,1.0331561781181653
2020-12-08,1.0311564287750248
2020-12-09,1.034284087646468
2020-12-10,1.0397543398858244
2020-12-11,1.0305724107655894
2020-12-14,1.0430444851208014
2020-12-15,1.0445208755157793
2020-12-16,1.049051093481867
2020-12-17,1.0419718167605543
2020-12-18,1.044381843138083
2020-12-21,1.036348684928378
2020-12-22,1.0429959317923647
2020-12-23,1.0430850414906085
2020-12-24,1.0506005491992416
2020-12-28,1.0479174251130912
2020-12-29,1.0503649615738686
2020-12-30,1.0552716272027007
2020-12-31,1.0431627935622545
2021-01-04,1.0553915805447163
2021-01-05,1.0747170969565745
2021-01-06,1.081542381114522
2021-01-07,1.083318097886095
2021-01-08,1.0830790409884
2021-01-11,1.0845386158082064
2021-01-12,1.0835853658811037
2021-01-13,1.0771788074034794
2021-01-14,1.0637819537789774
2021-01-15,1.0651342268928108
2021-01-19,1.0812203327920555
2021-01-20,1.0868940193125003
2021-01-21,1.0816799225547677
2021-01-22,1.0830113347105077
2021-01-25,1.0840716310797003
2021-01-26,1.0610095977520775
2021-01-27,1.0672513096454581
2021-01-28,1.0459591688992091
2021-01-29,1.0546888967588952
2021-02-01,1.0737963214273618
2021-02-02,1.0790575803365414
2021-02-03,1.0924599638870807
2021-02-04,1.099835921992222
2021-02-05,1.1135104039825587
2021-02-08,1.109409832089271
2021-02-09,1.1129070788981603
2021-02-10,1.107496664606128
2021-02-11,1.1088577300240707
