,value
2020-01-02,0.9897138479666825
2020-01-03,0.9928724121237167
2020-01-06,0.9902898883667238
2020-01-07,0.9947225793257098
2020-01-08,1.0000674666425573
2020-01-09,0.9977532917146514
2020-01-10,1.0035656704939715
2020-01-13,1.0013973024548002
2020-01-14,1.0034813331122077
2020-01-15,1.012756141052857
2020-01-16,1.014048638755704
2020-01-17,1.0153936949193672
2020-01-21,1.0143007846794194
2020-01-22,1.0153424952028718
2020-01-23,1.0068473686837343
2020-01-24,0.9905852651819848
2020-01-27,0.9999995907718271
2020-01-28,1.0003045325805524
2020-01-29,0.9996097265933594
2020-01-30,0.9882008036844934
2020-01-31,0.9940295549270168
2020-02-03,1.0077188306277676
2020-02-04,1.0206267317783133
2020-02-05,1.0228432022249612
2020-02-06,1.0174002440034342
2020-02-07,1.025348303032085
2020-02-10,1.02417728561182
2020-02-11,1.03164153499034
2020-02-12,1.0311695197228476
2020-02-13,1.0348044114169541
2020-02-14,1.0335730319745007
2020-02-18,1.0396492027640984
2020-02-19,1.0348563777189381
2020-02-20,1.0274451893332555
2020-02-21,0.9904826087606705
2020-02-24,0.9605615714070954
2020-02-25,0.9594664779908373
2020-02-26,0.9164306393015751
2020-02-27,0.9070526972279975
2020-02-28,0.9457233142573112
2020-03-02,0.9242781212091314
2020-03-03,0.9540436890772075
2020-03-04,0.9217744430694924
2020-03-05,0.906317650117427
2020-03-06,0.8389516216426042
2020-03-09,0.8846399342626801
2020-03-10,0.8397554125086453
2020-03-11,0.7557783746190164
2020-03-12,0.838554117609455
2020-03-13,0.7294523136513844
2020-03-16,0.7700745391528185
2020-03-17,0.7303635467552548
2020-03-18,0.747168212098781
2020-03-19,0.7142306264351834
2020-03-20,0.6932211267083271
2020-03-23,0.7824427635870205
2020-03-24,0.7969402242917605
2020-03-25,0.8528448261796542
2020-03-26,0.8224352024980766
2020-03-27,0.848708757996059
2020-03-30,0.831471311550581
2020-03-31,0.7853750354445743
2020-04-01,0.8084835362042518
2020-04-02,0.7849547971997541
2020-04-03,0.8470110222549295
2020-04-06,0.8522311339569669
2020-04-07,0.8883393740193007
2020-04-08,0.9150761389291728
2020-04-09,0.9000964842885653
2020-04-13,0.9138531936246771
2020-04-14,0.8938687937162201
2020-04-15,0.8987581061779911
2020-04-16,0.9258389240622316
2020-04-17,0.9099227951577896
2020-04-20,0.8862828645330249
2020-04-21,0.910982033102759
2020-04-22,0.9105441539717479
2020-04-23,0.924266155801814
2020-04-24,0.9343283784903385
2020-04-27,0.9278241573155985
2020-04-28,0.9490958698822928
2020-04-29,0.9362682770932188
2020-04-30,0.9104222043295059
2020-05-01,0.9091261572195322
2020-05-04,0.908665209494634
2020-05-05,0.9046683584463574
2020-05-06,0.9097370041305697
2020-05-07,0.9190346506068132
2020-05-08,0.9219768948495063
2020-05-11,0.9071201823192636
2020-05-12,0.8952624241989775
2020-05-13,0.9060477958525641
2020-05-14,0.9113543760358742
2020-05-15,0.9373317694010176
2020-05-18,0.930381319819407
2020-05-19,0.9478623167349467
2020-05-20,0.9431976830760218
2020-05-21,0.9400145116548491
2020-05-22,0.9711303217465169
2020-05-26,0.9973863968474129
2020-05-27,0.9889004945249886
2020-05-28,0.9832280921404073
2020-05-29,0.987727391061684
2020-06-01,0.9979023555379546
2020-06-02,1.0210392378584199
2020-06-03,1.027129681519494
2020-06-04,1.056666325519942
2020-06-05,1.073503790406318
2020-06-08,1.05881537786867
2020-06-09,1.037535592627071
2020-06-10,0.9670113249509461
2020-06-11,0.9869665547225631
2020-06-12,0.9955027296521387
2020-06-15,1.0131646194817034
2020-06-16,1.0033616905139298
2020-06-17,1.0027866422334342
2020-06-18,0.9931443355512919
2020-06-19,0.996074721664661
2020-06-22,1.0004666988564246
2020-06-23,0.9720187129394255
2020-06-24,0.9876954803387237
2020-06-25,0.951910298802046
2020-06-26,0.9691174366280073
2020-06-29,0.9794114599896053
2020-06-30,0.979442213707126
2020-07-01,0.9845877560025307
2020-07-02,1.0032155430472833
2020-07-06,0.990960911779605
2020-07-07,0.9997153248330449
2020-07-08,0.9968063132054588
2020-07-09,1.0122995907134458
2020-07-10,1.0042525436473675
2020-07-13,1.0163094670528632
2020-07-14,1.0196123475277257
2020-07-15,1.015659858487042
2020-07-16,1.0073837642073535
2020-07-17,1.0069534116495902
2020-07-20,1.025530609129722
2020-07-21,1.0273199827506903
2020-07-22,1.0233875842934024
2020-07-23,1.020331383944254
2020-07-24,1.0209940857127944
2020-07-27,1.0176142527753769
2020-07-28,1.0291432610909337
2020-07-29,1.0139290649432042
2020-07-30,1.0198182099661137
2020-07-31,1.026274195474777
2020-08-03,1.0321189563897353
2020-08-04,1.0444982977568849
2020-08-05,1.0532825514415802
2020-08-06,1.059605524166653
2020-08-07,1.0693122340805168
2020-08-10,1.0690019512118258
2020-08-11,1.0748425747916723
2020-08-12,1.0690120136323977
2020-08-13,1.0680296483369986
2020-08-14,1.0722573673584326
2020-08-17,1.0720777461086681
2020-08-18,1.064622430704959
2020-08-19,1.0664763488733118
2020-08-20,1.0707879199706805
2020-08-21,1.081796396716629
2020-08-24,1.0847404285093531
2020-08-25,1.094524715365332
2020-08-26,1.0948147344449892
2020-08-27,1.1045620381451131
2020-08-28,1.095650728606787
2020-08-31,1.1086837762329163
2020-09-01,1.1282799238223322
2020-09-02,1.0946794123818955
2020-09-03,1.0823775532956552
2020-09-04,1.0550372624552287
2020-09-08,1.0779818554512768
2020-09-09,1.0614464160054204
2020-09-10,1.0607330937968185
2020-09-11,1.0728016267723413
2020-09-14,1.0779558129992548
2020-09-15,1.0698481594001896
2020-09-16,1.0605090244364526
2020-09-17,1.0492444098140334
2020-09-18,1.0373135229200148
2020-09-21,1.0426124445605895
2020-09-22,1.0184266056682256
2020-09-23,1.0242898086106929
2020-09-24,1.03566867346754
2020-09-25,1.0533796093218435
2020-09-28,1.0445123464404606
2020-09-29,1.0503210371433422
2020-09-30,1.0477498173123683
2020-10-01,1.0477588696638622
2020-10-02,1.0634591031224214
2020-10-05,1.0534696548305968
2020-10-06,1.0675027077950558
2020-10-07,1.080023508370703
2020-10-08,1.0835246436461463
2020-10-09,1.101737885935503
2020-10-12,1.0892377439037533
2020-10-13,1.0788819194804515
2020-10-14,1.079889425523942
2020-10-15,1.0781333456047961
2020-10-16,1.064356158140675
2020-10-19,1.0653680923927955
2020-10-20,1.0572830013678234
2020-10-21,1.0656482438354857
2020-10-22,1.0677950684361943
2020-10-23,1.045402656689161
2020-10-26,1.0318396682234998
2020-10-27,0.9963854056324332
2020-10-28,1.0072080084257236
2020-10-29,1.003818921656273
2020-10-30,1.020082048248598
2020-11-02,1.0395121227275308
2020-11-03,1.0498807336573985
2020-11-04,1.072322790234247
2020-11-05,1.069472801446824
2020-11-06,1.1003671200231067
2020-11-09,1.0957015360597153
2020-11-10,1.101493951843999
2020-11-11,1.0924359790639824
2020-11-12,1.1032151097129463
2020-11-13,1.1185472281029378
2020-11-16,1.1126699313291266
2020-11-17,1.1034254526479887
2020-11-18,1.1068370901981224
2020-11-19,1.0993458486840113
2020-11-20,1.0969591461342232
2020-11-23,1.1055180863386962
2020-11-24,1.108111967420731
2020-11-25,1.112204819077741
2020-11-27,1.1111845728905683
2020-11-30,1.1222649128563973
2020-12-01,1.1328641257280452
2020-12-02,1.1277282010119662
2020-12-03,1.1381542116236005
2020-12-04,1.1355050461897314
2020-12-07,1.1361572559457633
2020-12-08,1.1308126243293484
2020-12-09,1.1322863955286733
2020-12-10,1.1316146981283568
2020-12-11,1.1270668139177218
2020-12-14,1.1418872781070064
2020-12-15,1.1397583041786672
2020-12-16,1.145347190527272
2020-12-17,1.135928437481842
2020-12-18,1.1439778880525624
2020-12-21,1.1375405076992235
2020-12-22,1.144864329357048
2020-12-23,1.144671116146368
2020-12-24,1.155759721535174
2020-12-28,1.1518861449786137
2020-12-29,1.151318572006757
2020-12-30,1.157430849577205
2020-12-31,1.1433865711063407
2021-01-04,1.1552135046256506
2021-01-05,1.1707552645802457
2021-01-06,1.181539195736208
2021-01-07,1.1834602566693773
2021-01-08,1.1863433732657378
2021-01-11,1.1924187959689119
2021-01-12,1.1919995881323404
2021-01-13,1.1824301997476898
2021-01-14,1.1783805680112922
2021-01-15,1.1795232188458975
2021-01-19,1.1940704296130853
2021-01-20,1.195670248517351
2021-01-21,1.1874984796555725
2021-01-22,1.1888934513792102
2021-01-25,1.192034950103238
2021-01-26,1.1609350412440227
2021-01-27,1.168319761275136
2021-01-28,1.1477778580790101
2021-01-29,1.158561059222298
2021-02-01,1.1718840303517915
2021-02-02,1.17869407558605
2021-02-03,1.1897146056323429
2021-02-04,1.1962985981408574
2021-02-05,1.2055343071587452
2021-02-08,1.2061847648139377
2021-02-09,1.2087463633277749
2021-02-10,1.2089613853795507
2021-02-11,1.208148951925399
2021-02-12,1.208247201962061
2021-02-16,1.2081772662258214
2021-02-17,1.2030986853344297
2021-02-18,1.201732017641935
2021-02-19,1.1986593126147151
2021-02-22,1.2002053940684023
2021-02-23,1.205631788566421
2021-02-24,1.1799267076003261
2021-02-25,1.173706466224262
2021-02-26,1.1986204524531434
2021-03-01,1.1924061041517968
2021-03-02,1.186064661354232
2021-03-03,1.178116834664284
2021-03-04,1.193258381942376
2021-03-05,1.1953959317352658
2021-03-08,1.2055634869258451
2021-03-09,1.2234804009001448
2021-03-10,1.228194929575528
2021-03-11,1.2383371699340473
2021-03-12,1.2492814273742499
2021-03-15,1.2530762219204832
2021-03-16,1.2548566658414841
2021-03-17,1.2382725292082932
2021-03-18,1.2389074842667915
2021-03-19,1.234406802983299
2021-03-22,1.2231861546533662
2021-03-23,1.2251935633870041
2021-03-24,1.2373813899030246
2021-03-25,1.2554888799825161
2021-03-26,1.2521601393034678
2021-03-29,1.2535629481210377
2021-03-30,1.250122257057882
2021-03-31,1.2616916563402534
2021-04-01,1.2728113266911678
2021-04-05,1.2746023248122094
2021-04-06,1.279171503372675
2021-04-07,1.283681949989396
2021-04-08,1.2913375375471121
2021-04-09,1.2937583096566865
2021-04-12,1.2911290089566374
2021-04-13,1.2899807308795082
2021-04-14,1.3036860952259821
2021-04-15,1.307908595321261
2021-04-16,1.30261221735802
2021-04-19,1.291705523503398
2021-04-20,1.3037451360586
2021-04-21,1.2898962374122593
2021-04-22,1.302332403852275
2021-04-23,1.302806020357436
2021-04-26,1.3083468044188005
2021-04-27,1.3096178607301743
2021-04-28,1.3281371949328076
2021-04-29,1.3180658965793786
2021-04-30,1.3221417609601962
2021-05-03,1.3141133619355285
2021-05-04,1.3143121648576268
2021-05-05,1.3266988292376183
2021-05-06,1.3357079180873401
2021-05-07,1.325203950919093
2021-05-10,1.3139176251959075
2021-05-11,1.2884627724392494
2021-05-12,1.3019986976735627
2021-05-13,1.3195855349711167
2021-05-14,1.3197177466967023
2021-05-17,1.3078532174644402
2021-05-18,1.302320586282072
2021-05-19,1.3144529178610627
2021-05-20,1.3140730627911612
2021-05-21,1.3291119815017833
2021-05-24,1.3296552370890347
2021-05-25,1.3299514863434156
2021-05-26,1.3321711303182129
2021-05-27,1.3327010471659866
2021-05-28,1.3336686185143767
2021-06-01,1.3369495536023133
2021-06-02,1.338586592156956
2021-06-03,1.3460197958238336
2021-06-04,1.3419851126056526
2021-06-07,1.3416269224330641
2021-06-08,1.3389486350825366
2021-06-09,1.3423122452243512
2021-06-10,1.3421940370903807
2021-06-11,1.3419762755250184
2021-06-14,1.3390715401071656
2021-06-15,1.3259227106524432
2021-06-16,1.3112777801282578
2021-06-17,1.2861043813098754
2021-06-18,1.3115885047178208
2021-06-21,1.319372994792674
2021-06-22,1.3168625468728825
2021-06-23,1.3282537709580213
2021-06-24,1.3325277063678522
2021-06-25,1.3330692825696229
2021-06-28,1.3284639975491348
2021-06-29,1.331223381416729
2021-06-30,1.3409913723142841
2021-07-01,1.3491689757636138
2021-07-02,1.3432683341836813
2021-07-06,1.3465143292274373
2021-07-07,1.3395669742299992
2021-07-08,1.354806650588273
2021-07-09,1.3572932177431278
2021-07-12,1.3519251151307932
2021-07-13,1.353695996600111
2021-07-14,1.3500266849533704
2021-07-15,1.3311604940336614
2021-07-16,1.3103804887694979
2021-07-19,1.3303535918536458
2021-07-20,1.3459166611904698
2021-07-21,1.3502234011761054
2021-07-22,1.3615844513631365
2021-07-23,1.3651999937708184
2021-07-26,1.3651582963657363
2021-07-27,1.3666045608125108
2021-07-28,1.3697722749098815
2021-07-29,1.356924601336024
2021-07-30,1.3568080820863124
2021-08-02,1.3737526128974407
2021-08-03,1.3654793973012334
2021-08-04,1.3726452820819235
2021-08-05,1.3774718042219483
2021-08-06,1.3764741871238335
2021-08-09,1.3833665953204903
2021-08-10,1.3874726552205456
2021-08-11,1.3888079892806442
2021-08-12,1.388303861831115
2021-08-13,1.3880500749696154
2021-08-16,1.3785084352424133
2021-08-17,1.362893302671711
2021-08-18,1.350843204599618
2021-08-19,1.3581062955051502
2021-08-20,1.3742799430888133
2021-08-23,1.3799541064879812
2021-08-24,1.385105063971537
2021-08-25,1.3754875339942605
2021-08-26,1.389613164254328
2021-08-27,1.3894312409038585
2021-08-30,1.3808324501599867
2021-08-31,1.3765851392934536
2021-09-01,1.387791725401454
2021-09-02,1.3856321142901755
