,value
2020-01-02,1.0012003405704395
2020-01-03,1.0010209028576444
2020-01-06,1.0016792739380382
2020-01-07,1.0015954499415862
2020-01-08,1.0014327336700721
2020-01-09,1.0005103976842877
2020-01-10,0.9990773474547332
2020-01-13,1.0017489266092212
2020-01-14,1.0028215091060804
2020-01-15,1.0011424866011482
2020-01-16,1.000313699755341
2020-01-17,1.0033661973716728
2020-01-21,1.0029761531708945
2020-01-22,1.0026080171647342
2020-01-23,1.0028130495385046
2020-01-24,1.0071965048835398
2020-01-27,1.00336902011059
2020-01-28,1.0039990078532937
2020-01-29,0.9987810505375299
2020-01-30,1.0049276933388795
2020-01-31,1.0043455423099859
2020-02-03,1.0023749698552282
2020-02-04,0.9960921337908565
2020-02-05,0.9971297768893733
2020-02-06,0.9983866856768826
2020-02-07,0.9975181457216579
2020-02-10,0.99524517238689
2020-02-11,0.992996621766977
2020-02-12,0.9939257822645136
2020-02-13,0.9925029415716686
2020-02-14,0.995186559738336
2020-02-18,0.9941024882318708
2020-02-19,0.9948700424504929
2020-02-20,0.9966732011967178
2020-02-21,1.005509895803448
2020-02-24,1.0137596149336092
2020-02-25,1.015560103093008
2020-02-26,1.0266532243326878
2020-02-27,1.0314721429213312
2020-02-28,1.021735382950311
2020-03-02,1.0332535786820676
2020-03-03,1.017647721012527
2020-03-04,1.0304874869890068
2020-03-05,1.0415873320069424
2020-03-06,1.0719821551804303
2020-03-09,1.0559978477482577
2020-03-10,1.0665916470151433
2020-03-11,1.089686225786514
2020-03-12,1.0725667610915026
2020-03-13,1.1035998209507902
2020-03-16,1.0930797326577955
2020-03-17,1.1062051308809653
2020-03-18,1.0879082454715392
2020-03-19,1.0954568251720158
2020-03-20,1.1107464245086691
2020-03-23,1.0933395880337962
2020-03-24,1.0898240715841432
2020-03-25,1.0821735167876652
2020-03-26,1.0972998702895005
2020-03-27,1.0926041996835916
2020-03-30,1.097085369557678
2020-03-31,1.1056774818869455
2020-04-01,1.100505277069873
2020-04-02,1.1091932378083773
2020-04-03,1.088442990098303
2020-04-06,1.0823833208807436
2020-04-07,1.0713251801362762
2020-04-08,1.066373075903881
2020-04-09,1.0723495591902092
2020-04-13,1.0673238746522453
2020-04-14,1.078616818548829
2020-04-15,1.0816736361240937
2020-04-16,1.067393452179044
2020-04-17,1.0719077508158998
2020-04-20,1.0814484345150153
2020-04-21,1.0762162575075098
2020-04-22,1.0754780514206252
2020-04-23,1.0760414185767655
2020-04-24,1.0707147369628218
2020-04-27,1.0678946789305108
2020-04-28,1.0635641690462703
2020-04-29,1.066146036390164
2020-04-30,1.0736126438007572
2020-05-01,1.07752473037461
2020-05-04,1.0779324366660585
2020-05-05,1.0794176596858887
2020-05-06,1.0742797395122416
2020-05-07,1.0657904190882665
2020-05-08,1.071724405369969
2020-05-11,1.0779666526378524
2020-05-12,1.0857038480809302
2020-05-13,1.0843203400500567
2020-05-14,1.0862909395105755
2020-05-15,1.0763163456908875
2020-05-18,1.0792626300138446
2020-05-19,1.0769430376169442
2020-05-20,1.0770591740097628
2020-05-21,1.0793987974511805
2020-05-22,1.0682562010987093
2020-05-26,1.0583896893026663
2020-05-27,1.0634325324909375
2020-05-28,1.0649355364394657
