,value
2020-01-02,0.9900759225217629
2020-01-03,0.9932820622472174
2020-01-06,0.9898510818025513
2020-01-07,0.9935697110481804
2020-01-08,0.9986020081533933
2020-01-09,0.997921245044622
2020-01-10,1.0032154017870916
2020-01-13,1.0029742916909477
2020-01-14,1.0056019629147015
2020-01-15,1.0128005512211742
2020-01-16,1.0144854105105268
2020-01-17,1.0139234406296842
2020-01-21,1.01293197738102
2020-01-22,1.0131432928590034
2020-01-23,1.0058250091220682
2020-01-24,0.9907869546787476
2020-01-27,0.9989133504091297
2020-01-28,1.000597746924863
2020-01-29,0.9984811214399959
2020-01-30,0.9858496214163248
2020-01-31,0.9934477889687906
2020-02-03,1.0085697189990985
2020-02-04,1.0232417248344248
2020-02-05,1.0244951339579078
2020-02-06,1.0172795885440782
2020-02-07,1.0266978931673074
2020-02-10,1.025728827645888
2020-02-11,1.0322538915875885
2020-02-12,1.0326219230780114
2020-02-13,1.037052951152985
2020-02-14,1.0336678372387798
2020-02-18,1.0389054740861978
2020-02-19,1.0339095137293974
2020-02-20,1.020967053516376
2020-02-21,0.9812826059998192
2020-02-24,0.9505980017944405
2020-02-25,0.9484731521615131
2020-02-26,0.9062569674830686
2020-02-27,0.8966613271031436
2020-02-28,0.9375587758646989
2020-03-02,0.9142109635334515
2020-03-03,0.9515728061500314
2020-03-04,0.9226535275465026
2020-03-05,0.9090591222295875
2020-03-06,0.8528793009781294
2020-03-09,0.8868043031851942
2020-03-10,0.843698794023047
2020-03-11,0.7664147476926849
2020-03-12,0.8295788415598905
2020-03-13,0.7521370650219008
2020-03-16,0.7901626562024594
2020-03-17,0.7603077217960018
2020-03-18,0.763140106338272
2020-03-19,0.739722169409015
2020-03-20,0.7263162691932251
2020-03-23,0.7859921593154438
2020-03-24,0.7838859990791813
2020-03-25,0.8238366587912578
2020-03-26,0.7992510988668057
2020-03-27,0.8281565395916952
2020-03-30,0.8159329203398893
2020-03-31,0.7904442676053545
2020-04-01,0.8075694822682244
2020-04-02,0.7963991747319168
2020-04-03,0.843598532811755
2020-04-06,0.8395926941504745
2020-04-07,0.8653973695149992
2020-04-08,0.8732061541553913
2020-04-09,0.8631302209744165
2020-04-13,0.8827244942382616
2020-04-14,0.8584953370138838
2020-04-15,0.8490296331672529
2020-04-16,0.8850233614367226
2020-04-17,0.86710023683597
2020-04-20,0.8471662392233592
2020-04-21,0.8676720845200715
2020-04-22,0.8690408177562297
2020-04-23,0.8800432381947269
2020-04-24,0.9011088250770882
2020-04-27,0.8984596374835334
2020-04-28,0.9130183127562764
2020-04-29,0.9107288119708515
2020-04-30,0.8910715959847058
2020-05-01,0.8963983518420577
2020-05-04,0.9044947668753212
2020-05-05,0.8934130089379811
2020-05-06,0.9055927721809849
2020-05-07,0.924739971567828
2020-05-08,0.9120179786033336
2020-05-11,0.8893863694050469
2020-05-12,0.8691658953693527
2020-05-13,0.8845707541463346
2020-05-14,0.8896111565408299
2020-05-15,0.9270193943864122
2020-05-18,0.9143618108606706
