,value
2020-01-02,1.000590309250605
2020-01-27,1.0004341621653894
2020-02-19,0.9920605128625201
2020-03-12,0.9897397305781747
2020-04-03,1.0088775230840723
2020-04-28,1.0124181945620414
2020-05-20,1.0145503645720386
2020-06-12,1.0167137490505318
2020-07-07,1.0200361429220026
2020-07-29,1.0207639259971901
2020-08-20,1.0220891554018792
2020-09-14,1.0269199454334415
2020-10-06,1.0271919118072692
2020-10-28,1.0273936184733168
2020-11-19,1.0276541933415395
2020-12-14,1.0311903254033021
2021-01-07,1.0295200729033638
2021-02-01,1.0321579049348222
2021-02-24,1.0283048544148647
2021-03-18,1.0271763344683438
2021-04-12,1.0286285099935581
2021-05-04,1.0272602938671223
2021-05-26,1.0302346464902894
2021-06-18,1.0306424968750645
2021-07-13,1.0308854125350309
2021-08-04,1.0313027407150568
2021-08-26,1.030428656343133
2021-09-20,1.029889458006015
2021-10-12,1.035094083907212
2021-11-03,1.0401897300265015
2021-11-26,1.0383686039500097
2021-12-20,1.0387816710632753
2022-01-12,1.0389233018818145
2022-02-04,1.0419684036056118
2022-03-01,1.04293057147039
2022-03-23,1.0402514622532286
2022-04-14,1.028741962431091
2022-05-09,1.0301677971476115
2022-06-01,1.032435425720767
2022-06-24,1.0358396482324974
2022-07-19,1.046950864778566
2022-08-10,1.04488818158493
2022-09-01,1.0394983731988139
2022-09-26,1.0437692924267525
2022-10-18,1.0437571266772043
2022-11-09,1.048722195657585
2022-12-02,1.049137208208441
2022-12-27,1.0498010960230981
2023-01-20,1.0569862235546146
2023-02-13,1.0576337701901073
2023-03-08,1.0588384942812101
2023-03-30,1.0609238144989774
2023-04-24,1.0612290395421715
2023-05-16,1.0633287295652687
2023-06-08,1.062669555249426
2023-07-03,1.066066817514229
2023-07-26,1.0651983657441992
2023-08-17,1.0639532298356484
2023-09-11,1.061502680293046
2023-10-03,1.063161472034475
2023-10-25,1.0659212324664271
2023-11-16,1.0661779872037793
2023-12-11,1.0645034439014525
2024-01-04,1.0678352532421207
2024-01-29,1.0702855147330808
2024-02-21,1.0745777708976552
2024-03-14,1.0769072954062024
2024-04-08,1.0776309242593187
2024-04-30,1.082687047858283
2024-05-22,1.0857962072032121
2024-06-14,1.0824831119197325
2024-07-10,1.0794711222045266
2024-08-01,1.0858850529122381
2024-08-23,1.0797454938795412
2024-09-17,1.0802567136358538
2024-10-09,1.0808925889526042
2024-10-31,1.0811863742108974
2024-11-22,1.0781195087001951
2024-12-17,1.0771410207397052
