,value
2020-01-02,0.9967255782653015
2020-01-27,0.9970990614599313
2020-02-19,0.996428455212629
2020-03-12,0.9986360918160748
2020-04-03,1.002986637023487
2020-04-28,0.99781893126005
2020-05-20,1.0011315522081214
2020-06-12,1.0046909620859725
2020-07-07,1.007152014709922
2020-07-29,1.0048395938853145
2020-08-20,1.0003044582197527
2020-09-14,1.0006727019044814
2020-10-06,0.9943280860630743
2020-10-28,1.0030092542103133
2020-11-19,1.012944314403118
2020-12-14,1.0161322655446163
2021-01-07,1.01639716222984
2021-02-01,1.0180527896532199
2021-02-24,1.017744669464748
2021-03-18,1.0152462010279675
2021-04-12,1.0200047440314217
2021-05-04,1.0239089635416088
2021-05-26,1.0255608803147178
2021-06-18,1.0280623417304269
2021-07-13,1.0295610231589338
2021-08-04,1.0290059186505294
2021-08-26,1.0305214180477527
2021-09-20,1.0335994984322745
2021-10-12,1.0305934230903058
2021-11-03,1.0259496075087908
2021-11-26,1.02041226106922
2021-12-20,1.0180274036363768
2022-01-12,1.0197653034225098
2022-02-04,1.0202890479982063
2022-03-01,1.0108536871145142
2022-03-23,1.0068009315570192
2022-04-14,0.9995675669179537
2022-05-09,1.005113999870349
2022-06-01,1.0061005235390914
2022-06-24,1.0066499295053606
2022-07-19,1.0054926714625598
2022-08-10,1.0038161497763645
2022-09-01,0.9997862495844819
2022-09-26,1.003097589984764
2022-10-18,1.0049413937800928
2022-11-09,1.0105505875126355
2022-12-02,1.0115232376562573
2022-12-27,1.0131498724705479
2023-01-20,1.0155895015590684
2023-02-13,1.0157705189275714
2023-03-08,1.0024035123777033
2023-03-30,1.0033873515997684
2023-04-24,0.9989329680425023
2023-05-16,1.0019015597845247
2023-06-08,1.0004161184327347
2023-07-03,0.9986713547502399
2023-07-26,0.9989929293284434
2023-08-17,0.9975793736225746
2023-09-11,0.9967916425141417
2023-10-03,0.9968244170689139
2023-10-25,0.9979331036535926
2023-11-16,0.9985065798913664
2023-12-11,0.9992065256592939
2024-01-04,0.9983919978796705
2024-01-29,0.9989814481215047
2024-02-21,1.0077226286019696
2024-03-14,1.010129407829418
2024-04-08,1.004819334591006
2024-04-30,1.0073173036625451
2024-05-22,1.014101817464226
2024-06-14,1.0110327821105871
2024-07-10,1.0088191140681078
2024-08-01,1.0122188044041396
2024-08-23,1.0118053743042594
2024-09-17,1.0135485795802255
2024-10-09,1.0161088926498172
2024-10-31,1.019669055434345
2024-11-22,1.0188256364215484
2024-12-17,1.015630372524651
