,value
2020-01-02,0.9893046120066928
2020-01-03,0.9939531841482337
2020-01-06,0.9904590834976067
2020-01-07,0.9950036925744251
2020-01-08,1.0014222362224023
2020-01-09,1.0000261305949958
2020-01-10,1.0057936842047102
2020-01-13,1.0032090904335533
2020-01-14,1.00592116842875
2020-01-15,1.0146331696808895
2020-01-16,1.016303091027524
2020-01-17,1.01747142753273
2020-01-21,1.0170940582004873
2020-01-22,1.0184329523602969
2020-01-23,1.0100797483044843
2020-01-24,0.993492037886229
2020-01-27,1.0015331032070072
2020-01-28,1.0010658059062298
2020-01-29,1.004047745540298
2020-01-30,0.9912550602490952
2020-01-31,0.9974752622566883
2020-02-03,1.0118050093198359
2020-02-04,1.023766638103601
2020-02-05,1.0275047673853492
2020-02-06,1.0232335410738143
2020-02-07,1.0260527642802661
2020-02-10,1.0293299559053433
2020-02-11,1.0386361245095985
2020-02-12,1.0371791464317457
2020-02-13,1.0385700719058375
2020-02-14,1.0395103899951987
2020-02-18,1.0447256438257253
2020-02-19,1.0407732758404575
2020-02-20,1.0336328823229881
2020-02-21,1.0019266349150309
2020-02-24,0.9767283979536079
2020-02-25,0.9791979049705842
2020-02-26,0.9424035939277904
2020-02-27,0.9337609811344346
2020-02-28,0.9725672235764312
2020-03-02,0.9516296296965564
2020-03-03,0.9856631873494119
2020-03-04,0.9562210649186608
2020-03-05,0.9462413206394444
2020-03-06,0.8833554722517029
2020-03-09,0.9327882162175573
2020-03-10,0.881602904628367
2020-03-11,0.7912840860857239
2020-03-12,0.8807909677454675
2020-03-13,0.7662583912861639
2020-03-16,0.8064643601251685
2020-03-17,0.7532275241315066
2020-03-18,0.7718643321361356
2020-03-19,0.7423233124017723
2020-03-20,0.7145994451483201
2020-03-23,0.7975450175348187
2020-03-24,0.8115252778475122
2020-03-25,0.8641648004592222
2020-03-26,0.8299471514443839
2020-03-27,0.8606774863540423
2020-03-30,0.8413906315988267
2020-03-31,0.8117811856302916
2020-04-01,0.8331626063485428
2020-04-02,0.8150797542111966
2020-04-03,0.8688153433503204
2020-04-06,0.8705463498081578
2020-04-07,0.893828042284788
2020-04-08,0.9175217080211979
2020-04-09,0.908980184897941
2020-04-13,0.9226288301708011
2020-04-14,0.9084241796654385
2020-04-15,0.912384741118346
2020-04-16,0.933309114302766
2020-04-17,0.9169835328040483
2020-04-20,0.8911477583823961
2020-04-21,0.9149577092747525
2020-04-22,0.918151036425892
2020-04-23,0.9299299770002704
2020-04-24,0.9415017012359728
2020-04-27,0.9333787984059447
2020-04-28,0.9500535156227475
2020-04-29,0.9472462495018608
2020-04-30,0.9292577998338232
2020-05-01,0.9335308374850901
2020-05-04,0.940435347135735
2020-05-05,0.9373314503640394
2020-05-06,0.9430632455060105
2020-05-07,0.9540009691925315
2020-05-08,0.9577769372373477
2020-05-11,0.9426523511809953
2020-05-12,0.9291772074501897
2020-05-13,0.939582374818426
2020-05-14,0.9419285472071014
2020-05-15,0.9691287197446699
2020-05-18,0.9601024700651418
2020-05-19,0.9811029966794782
2020-05-20,0.9770600186504135
2020-05-21,0.9741910671684826
2020-05-22,1.005889227091584
2020-05-26,1.0325295936338663
2020-05-27,1.0315110249498232
2020-05-28,1.0359499972924655
2020-05-29,1.038912653307251
2020-06-01,1.0459019403048422
2020-06-02,1.0557485524485628
2020-06-03,1.0495442904603558
2020-06-04,1.0694074675382759
2020-06-05,1.0809464866870373
2020-06-08,1.0783574223908459
2020-06-09,1.0770231448638699
2020-06-10,1.010277974856723
2020-06-11,1.03006068356334
2020-06-12,1.0403229653570287
2020-06-15,1.0562319749494116
2020-06-16,1.0426702968390122
2020-06-17,1.0406055402605583
2020-06-18,1.0338283990963966
2020-06-19,1.034040257328249
2020-06-22,1.0358157005596982
2020-06-23,1.0103144321146897
2020-06-24,1.027062552585748
2020-06-25,0.9977828004745081
2020-06-26,1.0126070337281181
