,value
2020-01-02,1.0007880730988878
2020-01-08,0.999748678589692
2020-01-14,0.9940667796043196
2020-01-21,0.9922421519425534
2020-01-27,0.9960735705810424
2020-01-31,1.0005164651957776
2020-02-06,1.0006677357408125
2020-02-12,0.9874477766227424
2020-02-19,0.9836241368760054
2020-02-25,0.9744962057809857
2020-03-02,0.9357973795771382
2020-03-06,0.9239259519617238
2020-03-12,0.9421058417583112
2020-03-18,0.951215890298413
2020-03-24,0.9543977605392132
2020-03-30,0.9723859645755364
2020-04-03,0.9735695206655511
2020-04-09,0.9784587794128032
2020-04-16,0.9774180804707713
2020-04-22,0.9765338142883102
2020-04-28,0.9789379591906963
2020-05-04,0.983502708681955
2020-05-08,0.9893716363377059
2020-05-14,1.0005098962112964
2020-05-20,1.0073636836312074
2020-05-27,1.0094796807828812
2020-06-02,1.0082409214378423
2020-06-08,1.0094714344944162
2020-06-12,1.00150581896407
2020-06-18,0.9971404566776075
2020-06-24,0.9985063202238577
2020-06-30,1.0011890822933998
2020-07-07,1.0024707245227038
2020-07-13,1.0035007050413898
2020-07-17,1.0049928327093542
2020-07-23,1.003149259036107
2020-07-29,1.0043395333081928
2020-08-04,1.00581118071434
2020-08-10,1.0092145003565838
2020-08-14,1.0130556866827787
2020-08-20,1.0094139022010356
2020-08-26,0.9997187955637851
2020-09-01,1.003057381146813
2020-09-08,1.0051634710882382
2020-09-14,0.997648696964499
2020-09-18,1.0005839677727697
2020-09-24,0.999832678584852
2020-09-30,1.0071973782524224
2020-10-06,1.0020712792030004
2020-10-12,1.0030338853057585
2020-10-16,0.9986447327909647
2020-10-22,1.0029497391267428
2020-10-28,1.0172826784559779
2020-11-03,1.018163678935657
2020-11-09,1.020800126561141
2020-11-13,1.036403855674472
2020-11-19,1.0402422881004703
2020-11-25,1.0394308520404816
2020-12-02,1.045835723587778
2020-12-08,1.046731368051677
2020-12-14,1.050380219806455
2020-12-18,1.0516315464719737
2020-12-24,1.0513235932961433
2020-12-31,1.0510476806099944
2021-01-07,1.0529581524931666
2021-01-13,1.0515963433413549
2021-01-20,1.0450895285557522
2021-01-26,1.047202872796596
2021-02-01,1.0452660906679905
2021-02-05,1.0420281888010172
2021-02-11,1.0427753924567942
2021-02-18,1.0403935158760276
2021-02-24,1.0332506975321716
2021-03-02,1.0368755292503122
2021-03-08,1.035283145783409
2021-03-12,1.0269915412891806
2021-03-18,1.0272459625882377
2021-03-24,1.0259180290786871
2021-03-30,1.026655918322504
2021-04-06,1.0331859943381674
2021-04-12,1.0349001366512975
2021-04-16,1.0371770486094325
2021-04-22,1.0407998211696796
2021-04-28,1.0400973765117763
2021-05-04,1.0391927277193118
2021-05-10,1.0412991139666756
2021-05-14,1.0428150253426482
2021-05-20,1.042842957582015
2021-05-26,1.0447015173460978
2021-06-02,1.0440921016666582
2021-06-08,1.0397706015985788
2021-06-14,1.0466866521170353
2021-06-18,1.043479667281268
2021-06-24,1.040829429249772
2021-06-30,1.044656634233669
2021-07-07,1.0443801886020925
2021-07-13,1.0465229279059112
2021-07-19,1.0478003133603164
2021-07-23,1.047590077748138
2021-07-29,1.0517615907226676
2021-08-04,1.0504959578642203
2021-08-10,1.0444093287293064
2021-08-16,1.045002956420344
2021-08-20,1.0432974351967774
2021-08-26,1.042358905439259
2021-09-01,1.0382100535444525
2021-09-08,1.0306806610106816
2021-09-14,1.0377461447798595
2021-09-20,1.0331387420442477
2021-09-24,1.0349312337338858
2021-09-30,1.0371194822252605
2021-10-06,1.0439005870436209
2021-10-12,1.0468159908925367
2021-10-18,1.047023048701469
2021-10-22,1.0473389776505448
2021-10-28,1.0436789548526382
2021-11-03,1.0447311933484495
2021-11-09,1.043307664371421
2021-11-15,1.0424885036096228
2021-11-19,1.0479931375565832
2021-11-26,1.0569887479113518
2021-12-02,1.0601786335095158
2021-12-08,1.062251561919373
2021-12-14,1.0673011199157492
2021-12-20,1.0649327990989883
2021-12-27,1.0599572639726254
2021-12-31,1.0584885549705447
2022-01-06,1.0530084057123625
2022-01-12,1.0553885325268213
2022-01-19,1.061864816129038
2022-01-25,1.0723398838165221
2022-01-31,1.0791742896831853
2022-02-04,1.0783437461814394
2022-02-10,1.067233583336197
2022-02-16,1.067467872396411
2022-02-23,1.0599389899337925
2022-03-01,1.0647056751163464
2022-03-07,1.0692292636205114
2022-03-11,1.0670671614903262
2022-03-17,1.0690048015900753
2022-03-23,1.0662397200222975
2022-03-29,1.059677998447337
2022-04-04,1.053341841060146
2022-04-08,1.0553477027065612
2022-04-14,1.0494666609966223
2022-04-21,1.0620557617095225
2022-04-27,1.0433604106128151
2022-05-03,1.0464833678811538
2022-05-09,1.047050099872991
2022-05-13,1.050805020107183
2022-05-19,1.0632398625334667
2022-05-25,1.0609962574530403
2022-06-01,1.0458889364366615
2022-06-07,1.0462208546741383
2022-06-13,1.054839557470482
2022-06-17,1.0502627853201418
2022-06-24,1.049946784292711
2022-06-30,1.0455230174247399
2022-07-07,1.0580753553145108
2022-07-13,1.0643711006818484
2022-07-19,1.069960907337029
2022-07-25,1.073441378416138
2022-07-29,1.0795330208824465
2022-08-04,1.0786514203674322
2022-08-10,1.0696161839044251
2022-08-16,1.0710929419247341
2022-08-22,1.0616878454868177
2022-08-26,1.0639958929030504
2022-09-01,1.0642366114763118
2022-09-08,1.0619597763409747
2022-09-14,1.0498539960566928
2022-09-20,1.0495408036900937
2022-09-26,1.0576912674585661
2022-09-30,1.0566400260304256
2022-10-06,1.0704739805291161
2022-10-12,1.0748336589893415
2022-10-18,1.072317685197929
2022-10-24,1.0695018215704104
2022-10-28,1.0789953247691273
2022-11-03,1.1039845394349874
2022-11-09,1.0995393722387816
2022-11-15,1.0950501495875398
2022-11-21,1.093508009738406
2022-11-28,1.085736064543385
2022-12-02,1.0873837117636707
2022-12-08,1.0891472012547052
2022-12-14,1.09153160708859
2022-12-20,1.0925811069789817
2022-12-27,1.098180900117228
2023-01-03,1.1062638399109228
2023-01-09,1.0995155683509383
2023-01-13,1.1051941590221388
2023-01-20,1.1045933998981008
2023-01-26,1.1027650636961852
2023-02-01,1.1012123792688742
2023-02-07,1.0990259547505967
2023-02-13,1.0935326961182423
2023-02-17,1.0979149198837277
2023-02-24,1.0952830839093326
2023-03-02,1.0988437929659232
2023-03-08,1.0984089743776553
2023-03-14,1.0946103944145313
2023-03-20,1.0970637422513767
2023-03-24,1.0986365226050452
2023-03-30,1.1024580225684621
2023-04-05,1.107084638786768
2023-04-12,1.1047261908170183
2023-04-18,1.1027554030015112
2023-04-24,1.1001532028947116
2023-04-28,1.0993033676266735
2023-05-04,1.096935875547665
2023-05-10,1.0989542198612794
2023-05-16,1.0923539630768417
2023-05-22,1.0916701638601018
2023-05-26,1.0977100331293557
2023-06-02,1.1051313373461276
2023-06-08,1.099913037957421
2023-06-14,1.0971528063509215
2023-06-21,1.0990110895046417
2023-06-27,1.0957512870723323
2023-07-03,1.1001367793274328
2023-07-10,1.1028083158623962
2023-07-14,1.1051557453792722
2023-07-20,1.103775801885736
2023-07-26,1.0992923045081415
2023-08-01,1.0998326016148956
2023-08-07,1.094138140588305
2023-08-11,1.0904150357687645
2023-08-17,1.0931340178362794
2023-08-23,1.0920088320731363
2023-08-29,1.0912788867460865
2023-09-05,1.0831494733644542
2023-09-11,1.0778007862759993
2023-09-15,1.0760260466767235
2023-09-21,1.0729263164456337
2023-09-27,1.0741785026186117
2023-10-03,1.0735004271806452
2023-10-09,1.0689173412418818
2023-10-13,1.068528079225284
2023-10-19,1.0790479385305314
2023-10-25,1.0835128430605232
2023-10-31,1.0861144879146811
2023-11-06,1.0907109780886193
2023-11-10,1.0912793042751685
2023-11-16,1.0902346297327652
2023-11-22,1.0915616072315655
2023-11-29,1.0937565640660951
2023-12-05,1.100437914169758
2023-12-11,1.1030535773821013
2023-12-15,1.0980134899885206
2023-12-21,1.0930873429274177
2023-12-28,1.0958278680385947
2024-01-04,1.094385591290838
2024-01-10,1.094259252642448
2024-01-17,1.0958468139144906
2024-01-23,1.0963652556046977
2024-01-29,1.1006308033042844
2024-02-02,1.098000401091207
2024-02-08,1.0987010678243951
2024-02-14,1.1103148606755546
2024-02-21,1.112446357709155
2024-02-27,1.1104810362587856
2024-03-04,1.1114648102317242
2024-03-08,1.116775102718363
2024-03-14,1.117592593061912
2024-03-20,1.1177162421614468
2024-03-26,1.1181262671314751
2024-04-02,1.1136967228589005
2024-04-08,1.11043226932016
2024-04-12,1.1151538523762012
2024-04-18,1.1087594282329711
2024-04-24,1.1132786061686755
2024-04-30,1.1155141917338218
2024-05-06,1.11335030524934
2024-05-10,1.1131514117893064
2024-05-16,1.1128771737311807
2024-05-22,1.1145646445640158
2024-05-29,1.1134810676922846
2024-06-04,1.111202057380652
2024-06-10,1.1086319916859861
2024-06-14,1.1096906387207237
2024-06-21,1.1102018848952357
2024-06-27,1.1155974617815103
2024-07-03,1.1125473393940748
2024-07-10,1.1085663520851028
2024-07-16,1.1154832351105923
2024-07-22,1.1122991571824192
2024-07-26,1.1042050540497554
2024-08-01,1.1133516689498142
2024-08-07,1.1195360822016311
2024-08-13,1.1215433668423305
2024-08-19,1.1191947099599246
2024-08-23,1.1198353256084654
2024-08-29,1.1207444016810093
2024-09-05,1.1216257128545248
2024-09-11,1.1230524506901451
2024-09-17,1.1278480577328034
2024-09-23,1.1182338972394177
2024-09-27,1.1258267742555061
2024-10-03,1.1323386292074358
2024-10-09,1.1307350729179173
2024-10-15,1.1297626753141365
2024-10-21,1.1308719789873571
2024-10-25,1.13334894795865
2024-10-31,1.1263678629044072
2024-11-06,1.1252769874667448
2024-11-12,1.1305243818909672
2024-11-18,1.1351757579145347
2024-11-22,1.1349781050786922
2024-11-29,1.1352550466266205
2024-12-05,1.129992713725153
2024-12-11,1.1274544352925377
2024-12-17,1.124707146889763
