date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.056028535006654424,0.06228180421728808
2020-04-02,-0.05980701889068317,0.06694828469022016
2020-04-03,-0.03319463223633403,0.05726039193781128
2020-04-06,-0.0335374785049246,0.05329213796955732
2020-04-07,-0.023886268896202805,0.04577456593585625
2020-04-08,-0.019346824132771986,0.04263836521901037
2020-04-09,-0.023948963109100017,0.04091025461993203
2020-04-13,-0.01454358624215174,0.04653679653679653
2020-04-14,-0.018215714268948455,0.055596285434995105
2020-04-15,-0.014316836885444812,0.058074989526602415
2020-04-16,-0.00603504508437883,0.057795698924731166
2020-04-17,-0.013045702683031624,0.06130428711073871
2020-04-20,-0.022919226694711737,0.06131010566494437
2020-04-21,-0.014233688010262617,0.0647721454173067
2020-04-22,-0.014043468665589413,0.06228762277149373
2020-04-23,-0.006659335428723329,0.06108318205092397
2020-04-24,0.0007003738041291511,0.0532223153190895
2020-04-27,-0.004051443872693134,0.04452939533584694
2020-04-28,0.005401401866393689,0.041067355583484594
2020-04-29,0.002796600405136465,0.05129637387701902
2020-04-30,-0.00332626586830526,0.041620118233021454
2020-05-01,-0.0054896043873004065,0.040811339198435964
2020-05-04,-0.009284149430899807,0.03652306474887119
2020-05-05,-0.017373617206734297,0.037279476795605816
2020-05-06,-0.0131264296481037,0.04311548666387375
2020-05-07,-0.005215201525400796,0.03783805799934831
2020-05-08,-0.01045912850438332,0.03256644788902852
2020-05-11,-0.016834922100423293,0.03780896522832006
2020-05-12,-0.025190374446985193,0.044389750034911316
2020-05-13,-0.019638183384268097,0.04303402690499464
2020-05-14,-0.01977560870737998,0.03601685053297955
2020-05-15,-0.005031084783751518,0.03829772378159474
2020-05-18,-0.01330720156791315,0.03364288041707395
2020-05-19,-0.0066086975186494335,0.0347774984871759
2020-05-20,-0.007138683012176973,0.02874365777591583
2020-05-21,0.0032188130943211486,0.023256761159986955
2020-05-22,0.02017356454367663,0.024554298747847123
2020-05-26,0.029844064482479518,0.02635223199739328
2020-05-27,0.04583962907456838,0.02890075873946841
2020-05-28,0.04879589480259132,0.025654005492715164
2020-05-29,0.03009316683298446,0.014499837080482232
2020-06-01,0.04445039904769148,0.02155774333193687
2020-06-02,0.03056733427191105,0.010391937811292641
2020-06-03,0.04456778695237189,0.009792626728110588
2020-06-04,0.057338515007661815,-0.00037820602336732215
2020-06-05,0.08700380547000933,-0.011788390820648892
2020-06-08,0.06506411847511928,-0.014697667923474381
2020-06-09,0.08962207458037924,-0.005556719266396693
2020-06-10,0.11626385582232117,0.0020306754177721845
2020-06-11,0.08528843430625431,0.008303076851463939
2020-06-12,0.1544519964338854,0.008989666247730755
2020-06-15,0.13922155351246482,0.010199925522506158
2020-06-16,0.17903163810489772,0.007569939021551914
2020-06-17,0.16029868102560227,-0.005574174929013648
2020-06-18,0.18431643173781315,-0.005708001675743621
2020-06-19,0.205431306168507,-0.008122701671088778
2020-06-22,0.16104757660813374,-0.017100730810408242
2020-06-23,0.12711278379386207,-0.026742075129171913
2020-06-24,0.09627017291687259,-0.026259135130102883
2020-06-25,0.10036454162614376,-0.024042265977749857
2020-06-26,0.08392872310039094,-0.028883303076851472
2020-06-29,0.10388696054754247,-0.033410138248847934
2020-06-30,0.13884783727225217,-0.04642042545268353
2020-07-01,0.12068499241594094,-0.047915793883535826
2020-07-02,0.14792662033939058,-0.053332867848996886
2020-07-06,0.09373143352675321,-0.04828236279849183
2020-07-07,0.10590663199097274,-0.039478890285341905
2020-07-08,0.07463909450118265,-0.033887259693711314
2020-07-09,0.076961801764867,-0.02834799608993158
2020-07-10,0.08928106854345583,-0.026934087417958393
2020-07-13,0.07226790420243198,-0.03322976306847275
2020-07-14,0.09363541478064333,-0.038099892938602616
2020-07-15,0.07454365279518958,-0.04901550062840386
2020-07-16,0.045400720863290264,-0.05213424568263278
2020-07-17,0.06841058191561905,-0.05230298375459666
2020-07-20,0.10967672351567533,-0.0528441092957222
2020-07-21,0.09026714837213681,-0.05699855699855701
2020-07-22,0.0745840400463739,-0.060885351207931857
2020-07-23,0.060887225637546435,-0.056620350975189686
2020-07-24,0.05981015046281099,-0.04158520690778756
2020-07-27,0.058501164108887546,-0.040514592933947775
2020-07-28,0.03991295088538789,-0.04620513894707443
2020-07-29,0.036962503451070446,-0.04880021412279477
2020-07-30,0.0778763398154099,-0.043604245217148445
2020-07-31,0.07843075380195272,-0.043848624493785786
2020-08-03,0.08387269951313339,-0.041276823534888055
2020-08-04,0.10579182657933761,-0.039956011730205285
2020-08-05,0.1007860999987657,-0.0418179490760136
2020-08-06,0.08605009752209528,-0.037145650048875864
2020-08-07,0.10478498292189663,-0.030477586929199833
2020-08-10,0.11415729611464305,-0.03861192570869991
2020-08-11,0.15074608007970405,-0.03774496113205791
2020-08-12,0.13205043657906512,-0.035382628124563616
2020-08-13,0.13351695012628678,-0.031193269096494905
2020-08-14,0.1080753928840699,-0.025904203323558167
2020-08-17,0.13444669224375358,-0.016553786715077047
2020-08-18,0.10993223725950808,-0.017065819485174327
2020-08-19,0.1167122353999617,-0.01941069683005167
2020-08-20,0.1299293165618809,-0.010304659498207892
2020-08-21,0.13176490737430777,-0.003520225294418849
2020-08-24,0.10567138892899572,-0.0067786156495833975
2020-08-25,0.1165801562648726,-0.0034911325233905953
2020-08-26,0.12609524723391538,0.0019026672252478625
2020-08-27,0.13442838778728816,0.004998138062654184
