,value
2020-01-02,0.9963761227415302
2020-01-27,0.9988755878897141
2020-02-19,0.9901035949516344
2020-03-12,0.9858297712489901
2020-04-03,0.9821833062969831
2020-04-28,0.9811063542655528
2020-05-20,0.9894757013338978
2020-06-12,0.9873761537691255
2020-07-07,0.9939787952304281
2020-07-29,0.9903178523425377
2020-08-20,0.9928715528184645
2020-09-14,0.9953227520275958
2020-10-06,0.9991348856046304
2020-10-28,1.002624307518393
2020-11-19,1.0018539665945014
2020-12-14,1.0035662508084922
2021-01-07,1.0068212473717215
2021-02-01,1.0080496617356158
2021-02-24,1.00495534566422
2021-03-18,1.0028644939591227
2021-04-12,1.0104945723748513
2021-05-04,1.012077341978279
2021-05-26,1.0132019410474609
2021-06-18,1.0153198097152214
2021-07-13,1.0189348987882594
2021-08-04,1.019014875478604
2021-08-26,1.017317868229901
2021-09-20,1.0196728861805937
2021-10-12,1.0204428926359617
2021-11-03,1.020981163891404
2021-11-26,1.015824384718389
2021-12-20,1.0182096084854537
2022-01-12,1.0082293945136276
2022-02-04,1.007319749117602
2022-03-01,1.0119026669966003
2022-03-23,1.0089553793301962
2022-04-14,1.020181975725252
2022-05-09,1.0238610907891421
2022-06-01,1.031423194628642
2022-06-24,1.0298525820930897
2022-07-19,1.0264451951787132
2022-08-10,1.0280202944830295
2022-09-01,1.0215576368697827
2022-09-26,1.0219506705311443
2022-10-18,1.020992767868743
2022-11-09,1.022208092421658
2022-12-02,1.0219205457438354
2022-12-27,1.0271220350883614
2023-01-20,1.0322346812296441
2023-02-13,1.0287875494332122
2023-03-08,1.0324566443074272
2023-03-30,1.0357106804634817
2023-04-24,1.0407921763831083
2023-05-16,1.0535053738512077
2023-06-08,1.0549273061838267
2023-07-03,1.0558474533715128
2023-07-26,1.058874738556163
2023-08-17,1.0617399126835771
2023-09-11,1.068185470996411
2023-10-03,1.0657715221799038
2023-10-25,1.0676056978282769
2023-11-16,1.0686574192908007
2023-12-11,1.062229171541088
2024-01-04,1.0618527950209973
2024-01-29,1.061287586715292
2024-02-21,1.0650847481742203
2024-03-14,1.0629276062414874
2024-04-08,1.0592923072947618
2024-04-30,1.0614722107778063
2024-05-22,1.0675346040481946
2024-06-14,1.0556683760619459
2024-07-10,1.0500766157880455
2024-08-01,1.0521854656474239
2024-08-23,1.0581739865800153
2024-09-17,1.0623480794140172
2024-10-09,1.0641632758434003
2024-10-31,1.0630851230335543
2024-11-22,1.0620482545329708
2024-12-17,1.0610405335684936
