date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.03201366997943671,0.06490015360983103
2020-04-02,-0.03518678213019639,0.07223153190895126
2020-04-03,-0.012174470475736087,0.062066517711679
2020-04-06,-0.009089590438775325,0.06843783456686682
2020-04-07,0.002193040283932441,0.06213634036214681
2020-04-08,0.009147003192257397,0.06172904156775124
2020-04-09,0.008963198676106962,0.07078853046594982
2020-04-13,0.01883636787572257,0.07478587720523204
2020-04-14,0.01082333387823266,0.07999930177349532
2020-04-15,0.008603961162658725,0.07814900153609831
2020-04-16,0.024105802724148095,0.08544546850998463
2020-04-17,0.014635931925039997,0.07618233021458828
2020-04-20,0.005134026633942871,0.07507098636130895
2020-04-21,0.014584346433441748,0.08004585020714053
2020-04-22,0.01548009397328097,0.0849508914025043
2020-04-23,0.024176436978821873,0.08403155983801143
2020-04-24,0.03874849909676688,0.095575571382023
2020-04-27,0.034619719784102776,0.10244728389889679
2020-04-28,0.04258385605361767,0.1053216496764884
2020-04-29,0.04051250469006079,0.11273448773448773
2020-04-30,0.03467162300734973,0.11173369641111576
2020-05-01,0.034977742470625094,0.11562630917469627
2020-05-04,0.03290492262421024,0.1155273937532002
2020-05-05,0.026578854379760514,0.12012405157566447
2020-05-06,0.027333220745201593,0.11548084531955499
2020-05-07,0.033549933973872854,0.1113845831587767
2020-05-08,0.029121742352883135,0.1080854629241726
2020-05-11,0.022500107338666645,0.112879951589629
2020-05-12,0.0158100606387278,0.1227074896429735
2020-05-13,0.02232476695454904,0.12184052506633151
2020-05-14,0.02219309837473636,0.1252385607224317
2020-05-15,0.029804074115758642,0.10724759111855885
2020-05-18,0.023953728245473736,0.10605478750640039
2020-05-19,0.030261586503178825,0.10285458269329237
2020-05-20,0.03165637435796974,0.10463506028022157
2020-05-21,0.04130269112405564,0.09160149885956337
2020-05-22,0.061153703419907314,0.09160149885956337
2020-05-26,0.07338182244364443,0.0994914583624261
2020-05-27,0.09246177574246493,0.1144451426709491
2020-05-28,0.09730601744946767,0.11916980868593773
2020-05-29,0.07920811509063187,0.1070032118419215
2020-06-01,0.09322062388750996,0.10698575617930457
2020-06-02,0.0807869101835446,0.10135921426244006
2020-06-03,0.09445013494287642,0.10472815714751198
2020-06-04,0.10972821384201531,0.10226690871852162
2020-06-05,0.1541280695719358,0.106328259554066
2020-06-08,0.13275896637565798,0.10822510822510822
2020-06-09,0.15950960225180855,0.11895452218032862
2020-06-10,0.18079705176345126,0.11495135688684076
2020-06-11,0.15319116217138357,0.12012987012987013
2020-06-12,0.22371771610483615,0.12071172555043522
2020-06-15,0.20756845564462723,0.1224805660289531
2020-06-16,0.2251561221993418,0.11178024484476096
2020-06-17,0.21065751850695008,0.10468160871386678
2020-06-18,0.22622841330779497,0.09519736535865568
2020-06-19,0.24918656535504768,0.10245892100730809
2020-06-22,0.2149428966243309,0.09081017548759483
2020-06-23,0.17647021049512673,0.06915933528836754
2020-06-24,0.15492879015999256,0.076036866359447
2020-06-25,0.16939922893523787,0.0863415258576549
2020-06-26,0.15408107635187684,0.0813433877950007
2020-06-29,0.1778343813454285,0.07890541358283291
2020-06-30,0.20052286588742219,0.06216543313317506
2020-07-01,0.18635327288662368,0.06888004468649629
2020-07-02,0.21536795397634964,0.07086417167062327
2020-07-06,0.17278339540907742,0.08148303309593631
2020-07-07,0.17731406799742722,0.07473932877158683
2020-07-08,0.15204229207779799,0.08738886561467206
2020-07-09,0.13738414794645107,0.07416911045943303
2020-07-10,0.1402237401315696,0.07104454685099845
2020-07-13,0.12406972668761575,0.06316622445654704
2020-07-14,0.14452536019569284,0.05027812689103011
2020-07-15,0.14437552531110998,0.05388563049853371
2020-07-16,0.10194730361813434,0.0380417073965461
2020-07-17,0.13284409127940675,0.047444490992878084
2020-07-20,0.16548782144321697,0.03698273053111762
2020-07-21,0.14451582986921815,0.025595819950658658
2020-07-22,0.12729228276113932,0.0186950146627566
2020-07-23,0.11083199464117796,0.02129590839268258
2020-07-24,0.09455116819368889,0.017135642135642132
2020-07-27,0.08806441621638528,0.00439882697947214
2020-07-28,0.07583147409081653,0.004771214448633803
2020-07-29,0.06353045596371751,-0.009100218777638131
2020-07-30,0.10299638828628811,-0.00606875203649397
2020-07-31,0.10373155564008282,-0.012143322627193594
2020-08-03,0.10333854717476701,-0.015011869850579526
2020-08-04,0.12271847635368024,-0.02007983056370153
2020-08-05,0.12162819101716234,-0.023605874412326023
2020-08-06,0.11518776811698643,-0.012265512265512266
2020-08-07,0.1316566588467348,-0.004241726015919564
2020-08-10,0.14850513419556446,0.0007622306009402777
2020-08-11,0.17158148357117411,-0.01145673323092678
2020-08-12,0.1539104839560266,-0.004200996136480009
2020-08-13,0.14992538557745216,-0.014587115393567008
2020-08-14,0.13607439039132507,0.00612693757855048
2020-08-17,0.15887358769971247,0.016449052739375317
2020-08-18,0.13849190763690036,0.017618582134711163
2020-08-19,0.14980470303952648,0.026090397058138988
2020-08-20,0.15620031707965829,0.027609039705813895
2020-08-21,0.14286908527979905,0.021406460922589948
2020-08-24,0.11102492193734803,0.008675464320625608
2020-08-25,0.11356217465760443,-0.0017979332495461537
2020-08-26,0.10656003401939852,-0.013813247684215426
2020-08-27,0.11644067006755462,-0.006877531071079458
2020-08-28,0.09980247637505221,-0.005155239026206768
2020-08-31,0.09582509172961311,0.00014546385514127436
2020-09-01,0.11258695960342754,-0.004294093003770423
