,value
2020-01-02,0.9949652481189742
2020-01-03,0.9953442363238881
2020-01-06,0.9900660467734623
2020-01-07,0.9952900155997697
2020-01-08,0.9986913234154727
2020-01-09,0.9964577260412049
2020-01-10,1.000509841495127
2020-01-13,0.9987672571233233
2020-01-14,0.9977993674085626
2020-01-15,1.0053347640278902
2020-01-16,1.004017687342932
2020-01-17,1.0021061784343548
2020-01-21,1.0008493148660145
2020-01-22,1.0011188946870213
2020-01-23,0.9915866765263379
2020-01-24,0.9801831942928538
2020-01-27,0.9875176160857367
2020-01-28,0.9841993812769683
2020-01-29,0.9861001004597719
2020-01-30,0.9679930566766065
2020-01-31,0.9742572613583574
2020-02-03,0.9899017969755041
2020-02-04,1.005660918182824
2020-02-05,1.0076572760984799
2020-02-06,1.0026154605309123
2020-02-07,1.0078928892460268
2020-02-10,1.007039296831051
2020-02-11,1.0157246576408023
2020-02-12,1.016444099331569
2020-02-13,1.0182155150387675
2020-02-14,1.0178558597621359
2020-02-18,1.02184071934572
2020-02-19,1.0208253050890124
2020-02-20,1.0116544510787173
2020-02-21,0.9704729228326368
2020-02-24,0.9437316563315413
2020-02-25,0.9399774947116788
2020-02-26,0.9015204217868983
2020-02-27,0.9000110600607055
2020-02-28,0.9360480082704471
2020-03-02,0.906781077904506
2020-03-03,0.9428336534902703
2020-03-04,0.9014276513444185
2020-03-05,0.8788695511322135
2020-03-06,0.7916425242736661
2020-03-09,0.82165937338229
2020-03-10,0.776778978113228
2020-03-11,0.7078263444622902
2020-03-12,0.7865571464416243
2020-03-13,0.7035277845493719
2020-03-16,0.7386334548670936
2020-03-17,0.6867184511924879
2020-03-18,0.702042794829119
2020-03-19,0.6821047331537013
2020-03-20,0.6653853037602817
2020-03-23,0.731350807142677
2020-03-24,0.7369618283321957
2020-03-25,0.7756119979028665
2020-03-26,0.7544448134657035
2020-03-27,0.781844641274316
2020-03-30,0.7710754949684637
2020-03-31,0.7459417752169164
2020-04-01,0.7635732178921516
2020-04-02,0.7539417732752968
2020-04-03,0.7991682088409299
2020-04-06,0.7961853535477452
2020-04-07,0.8132177077470489
2020-04-08,0.8225987842435527
2020-04-09,0.8184571104693682
2020-04-13,0.8357509741771236
2020-04-14,0.8166022547017332
2020-04-15,0.821330807426051
2020-04-16,0.8449824672851267
2020-04-17,0.8323836088589656
