date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.06981487880325024,0.0341840059581995
2020-04-02,-0.07242782669684664,0.043959177023693154
2020-04-03,-0.04768793114759532,0.03036703439929246
2020-04-06,-0.04381633016807246,0.035091700414281064
2020-04-07,-0.03552027571509998,0.024967416096448352
2020-04-08,-0.028827404425874035,0.030279756086207695
2020-04-09,-0.03230685851651416,0.02934296885909789
2020-04-13,-0.029602507019838086,0.020940976586137878
2020-04-14,-0.037920927345842806,0.01594865707768934
2020-04-15,-0.04194541470934088,0.007878322394451428
2020-04-16,-0.025446223184308146,0.01152655588139459
2020-04-17,-0.03486734960117005,0.003549318065447097
2020-04-20,-0.04663311999637618,0.002595075175720336
2020-04-21,-0.033660894527371185,0.01301610575804124
2020-04-22,-0.03150867410798902,0.017525485267420746
2020-04-23,-0.020932315785172524,0.025904203323558157
2020-04-24,-0.006312234689908455,0.03425964716287296
2020-04-27,-0.011962570911194662,0.03412582041614299
2020-04-28,-0.0019657731573038506,0.032944653912395844
2020-04-29,-0.004753497742004104,0.042306707629288266
2020-04-30,-0.011149912360218107,0.03343923101987617
2020-05-01,-0.013371905837785657,0.02860983102918586
2020-05-04,-0.016325265522866724,0.031344551505841825
2020-05-05,-0.023826148286056652,0.03096052692826886
2020-05-06,-0.02113106393763228,0.025171065493646134
2020-05-07,-0.01454631828240074,0.020609318996415764
2020-05-08,-0.019629870448184063,0.018700833216962243
2020-05-11,-0.027916252198598356,0.01957361634780989
2020-05-12,-0.03920559975961482,0.020731508634734434
2020-05-13,-0.03215760689314525,0.02449029465158497
2020-05-14,-0.030705924328761153,0.029616440906763478
2020-05-15,-0.017325118576180056,0.02603221151608248
2020-05-18,-0.021481229817642992,0.03572010426849136
2020-05-19,-0.013323001552822657,0.040177116790020014
2020-05-20,-0.011935148175002566,0.04630987292277614
2020-05-21,0.0015922131040437431,0.04198668714797746
2020-05-22,0.01968054158648527,0.043220220639575466
2020-05-26,0.030840092612742506,0.0446515849741656
2020-05-27,0.053540130902373445,0.062258530000465474
2020-05-28,0.05476086695602445,0.053420146162081635
2020-05-29,0.03920148418865058,0.05640506446958059
2020-06-01,0.05279806315372246,0.05390308616115067
2020-06-02,0.04161049971792307,0.05111599869664385
2020-06-03,0.05347728734776035,0.05249499604338313
2020-06-04,0.06898522159133502,0.05091234929944606
2020-06-05,0.116735389594561,0.0550027929060187
2020-06-08,0.09407303136379744,0.0570683796490248
2020-06-09,0.11126701892248482,0.04717683749941814
2020-06-10,0.13262739532785017,0.04285365172461946
2020-06-11,0.10140089436171638,0.047869245449890595
2020-06-12,0.1630402219852177,0.04384280593958012
2020-06-15,0.1467991314063763,0.041335009076944554
2020-06-16,0.1686980233419875,0.03282828282828282
2020-06-17,0.15976502991783134,0.029662989340408688
2020-06-18,0.1728085083314529,0.02300074477493832
2020-06-19,0.18960056073162654,0.018543732253409665
2020-06-22,0.14343894667924223,0.009292231066424609
2020-06-23,0.12235697218283645,0.005917469627147042
2020-06-24,0.09538692224986428,0.00971698552343713
2020-06-25,0.1127953779933519,0.026142764045989846
2020-06-26,0.10331721776902786,0.02880766187217799
2020-06-29,0.12906827582183356,0.03428873993390122
2020-06-30,0.16970373516809267,0.03809989293860261
2020-07-01,0.15245887669480193,0.040788064981613366
2020-07-02,0.17410430578446282,0.027102825489922253
2020-07-06,0.12500801125542585,0.031012893916119715
2020-07-07,0.12556147625510236,0.02866801657124237
2020-07-08,0.09583457280698156,0.03260135921426243
2020-07-09,0.09056541609123457,0.03190895126378997
2020-07-10,0.09567960714017804,0.0282490806684355
2020-07-13,0.09715666626207824,0.036918726434855456
2020-07-14,0.118570103525691,0.03556300330493878
2020-07-15,0.12330489904062988,0.04423846762556439
2020-07-16,0.07553587223771642,0.021412279476795602
2020-07-17,0.0995042495493895,0.026166038262812448
2020-07-20,0.13744522508839682,0.020533677791742304
2020-07-21,0.11462259609184418,0.007808499743983612
2020-07-22,0.10330948899761933,0.002728901922450307
2020-07-23,0.08440648566043149,-0.002769631801889868
2020-07-24,0.06678306287962486,-0.01418563515337709
2020-07-27,0.06601021100361294,-0.01608248382441931
2020-07-28,0.0528964602034654,-0.013871433226271936
2020-07-29,0.03931173362538807,-0.03157147511986221
2020-07-30,0.07123200809822498,-0.023768793930084256
2020-07-31,0.07520338103367881,-0.02010892333472979
2020-08-03,0.07986380396369683,-0.020184564539403246
2020-08-04,0.09950536169619346,-0.023803705255318157
2020-08-05,0.0965900306354358,-0.02131336405529954
2020-08-06,0.08903333789717893,-0.010048643113159244
2020-08-07,0.09930875711732792,-0.014581296839361357
2020-08-10,0.11192143943772462,-0.0183982683982684
2020-08-11,0.15359274714776558,-0.009682074198203229
2020-08-12,0.13084563194074017,-0.011986221663641019
2020-08-13,0.12354505891011187,-0.017787320206675044
2020-08-14,0.09336765859534293,-0.0115963785318624
2020-08-17,0.1016775949514399,-0.018828841409486572
2020-08-18,0.07668383773853205,-0.025339803565610015
2020-08-19,0.09164795767523871,-0.01640832285993576
2020-08-20,0.09928340572936235,-0.011794209374854535
2020-08-21,0.09654269249803667,-0.012428431783270494
2020-08-24,0.07106478900395997,-0.018450635386119258
2020-08-25,0.06652118035134395,-0.029191686449750964
2020-08-26,0.07847482624815774,-0.016728343341246565
2020-08-27,0.07554598732944431,-0.024932504771214444
2020-08-28,0.06216321344761034,-0.0186950146627566
2020-08-31,0.060775502044034216,-0.011322906484196805
