,value
2020-01-02,0.9920240171399155
2020-01-03,0.9970236677922784
2020-01-06,0.9941444615078584
2020-01-07,0.9985312058944821
2020-01-08,1.0055707032036851
2020-01-09,1.004463868392744
2020-01-10,1.0115124552582488
2020-01-13,1.007648968996481
2020-01-14,1.00987275232072
2020-01-15,1.0173340860081583
2020-01-16,1.0208515971623207
2020-01-17,1.0198532973403733
2020-01-21,1.0181107336333766
2020-01-22,1.0201134925608675
2020-01-23,1.008395783118125
2020-01-24,0.9921075933556606
2020-01-27,1.000770855297102
2020-01-28,1.000372381008155
2020-01-29,1.0030493454198717
2020-01-30,0.9850664132024581
2020-01-31,0.9860388846999975
2020-02-03,0.9970102555916355
2020-02-04,1.0107163940655735
2020-02-05,1.009974259591441
2020-02-06,1.0069775856801466
2020-02-07,1.0134079612514595
2020-02-10,1.0154744959564197
2020-02-11,1.024418226111162
2020-02-12,1.0242542193203847
2020-02-13,1.026078966126687
2020-02-14,1.0272507910938797
2020-02-18,1.031623568522207
2020-02-19,1.0267695171583007
2020-02-20,1.0159220831236084
2020-02-21,0.9776278858537951
2020-02-24,0.9502517334213318
2020-02-25,0.950601611711474
2020-02-26,0.9088544697800037
2020-02-27,0.9045936891256678
2020-02-28,0.9480197732174446
2020-03-02,0.9240714404991367
2020-03-03,0.9538684496561232
2020-03-04,0.918513301026871
2020-03-05,0.8992998819709022
2020-03-06,0.8181993503089245
2020-03-09,0.8641086749259991
2020-03-10,0.8166920470097929
2020-03-11,0.733023242821595
2020-03-12,0.8159398915989421
2020-03-13,0.7098401455264352
2020-03-16,0.7502406256396061
2020-03-17,0.6994408021521946
2020-03-18,0.7177106742816485
2020-03-19,0.688679591101928
2020-03-20,0.6665831797182445
2020-03-23,0.7530732066328856
2020-03-24,0.7711910519926617
2020-03-25,0.8229722901502543
2020-03-26,0.7899292735535957
2020-03-27,0.8164305069468015
2020-03-30,0.8033210485226074
2020-03-31,0.7752023562281227
2020-04-01,0.7938144189934648
2020-04-02,0.7760744593499661
2020-04-03,0.8270073958562302
2020-04-06,0.8321887750291397
2020-04-07,0.862946328163469
2020-04-08,0.8924653027564736
2020-04-09,0.8785804703348823
2020-04-13,0.8949075560446178
2020-04-14,0.8756780285771922
2020-04-15,0.8778546597355577
2020-04-16,0.9050811190426777
2020-04-17,0.8872766132699527
2020-04-20,0.8627697728715714
2020-04-21,0.886841686705985
2020-04-22,0.8897468142537495
2020-04-23,0.9005568399176681
2020-04-24,0.9120806312808378
2020-04-27,0.9050164330574838
2020-04-28,0.9172215733511159
2020-04-29,0.9146473345370368
2020-04-30,0.898855851997433
2020-05-01,0.9043425996691311
2020-05-04,0.9097713514809399
2020-05-05,0.9008691396496274
2020-05-06,0.9071904237867823
2020-05-07,0.9201106045794832
2020-05-08,0.9143007858111764
2020-05-11,0.8986028427128926
2020-05-12,0.8845837489167835
2020-05-13,0.8963055435601671
2020-05-14,0.8981183186064339
2020-05-15,0.9267395805875982
2020-05-18,0.9177576320311507
2020-05-19,0.9329753953168956
2020-05-20,0.9251456325315194
2020-05-21,0.9250130657731854
2020-05-22,0.9331803358451122
2020-05-26,0.9423961064523279
2020-05-27,0.9446461917292543
2020-05-28,0.9511793631536286
2020-05-29,0.9492024687461192
2020-06-01,0.9535429353259068
2020-06-02,0.9556593968613425
2020-06-03,0.9506477276271449
2020-06-04,0.9683271069637259
2020-06-05,0.9757457926774867
2020-06-08,0.9730924536311972
2020-06-09,0.9739533300751291
2020-06-10,0.9074613449751932
2020-06-11,0.9276282235440234
2020-06-12,0.9367102434536005
2020-06-15,0.9533109898959718
2020-06-16,0.9410200422841383
2020-06-17,0.939082829561793
2020-06-18,0.9311177528680853
2020-06-19,0.9340025118342645
2020-06-22,0.9366154019961879
2020-06-23,0.9114404984760948
2020-06-24,0.9262839971951176
2020-06-25,0.8981845342910227
2020-06-26,0.9112422544961061
2020-06-29,0.9209450720106799
2020-06-30,0.9215633916224308
2020-07-01,0.9279345503107995
2020-07-02,0.9438275660583555
2020-07-06,0.9261622553853669
2020-07-07,0.9324148373903615
2020-07-08,0.9212957201442327
2020-07-09,0.9338279733838277
2020-07-10,0.9234307227457889
2020-07-13,0.9346741110356467
2020-07-14,0.9387056459244735
2020-07-15,0.9342728870021764
2020-07-16,0.9325645619283733
2020-07-17,0.9324386624405866
2020-07-20,0.9486265704591023
2020-07-21,0.9536939488725817
2020-07-22,0.9480067199989802
2020-07-23,0.9446993514854698
2020-07-24,0.9486938478373382
2020-07-27,0.9448482729162333
2020-07-28,0.952181634005625
2020-07-29,0.9469122591790589
2020-07-30,0.9541090550747047
2020-07-31,0.9564538591294215
2020-08-03,0.9626325925549424
2020-08-04,0.9758514251178493
2020-08-05,0.9834307964353679
2020-08-06,0.9895698769840291
2020-08-07,0.9957172859071495
2020-08-10,0.9913536739135842
2020-08-11,0.9984837217611283
2020-08-12,0.9941597277187889
2020-08-13,0.9950951611210591
2020-08-14,0.9885171539042031
2020-08-17,0.983171720351749
2020-08-18,0.9779404462468165
2020-08-19,0.9749661964205837
2020-08-20,0.9773991512625236
2020-08-21,0.9924320212060127
2020-08-24,0.9930912548523765
2020-08-25,0.9981036217471737
2020-08-26,0.9991828739493207
2020-08-27,1.008676961634292
2020-08-28,1.0036776335639657
2020-08-31,1.0149278975959906
2020-09-01,1.0292022193860921
2020-09-02,0.9996949778968365
2020-09-03,0.9900983504315596
2020-09-04,0.9656468508044449
2020-09-08,0.9866132017481075
2020-09-09,0.9690923356139763
2020-09-10,0.9709651411509738
2020-09-11,0.9823361147567979
2020-09-14,0.9849644487388979
2020-09-15,0.9838431055020171
2020-09-16,0.9759038532494696
2020-09-17,0.9657306250504698
2020-09-18,0.9561036479419319
2020-09-21,0.9657846851483226
2020-09-22,0.9477856554934135
2020-09-23,0.9517887005244283
2020-09-24,0.9604587881196587
2020-09-25,0.9769411623908444
2020-09-28,0.9695703371692218
2020-09-29,0.9757749257973122
2020-09-30,0.9748123553450359
2020-10-01,0.9765324784047228
2020-10-02,0.992250407319762
2020-10-05,0.9815358375607613
2020-10-06,0.995606308374395
2020-10-07,1.0056539123918316
2020-10-08,1.0107645870532818
2020-10-09,1.0251737644031476
2020-10-12,1.0199347744096638
2020-10-13,1.0134818773921503
2020-10-14,1.0133824956695212
2020-10-15,1.0141263169825216
2020-10-16,0.9989034526155396
2020-10-19,1.0021772800735667
2020-10-20,0.9987088172697832
2020-10-21,1.0087491840709242
2020-10-22,1.0125441545296179
2020-10-23,0.9919976533082726
2020-10-26,0.9851614800795607
2020-10-27,0.9500512505042386
2020-10-28,0.9639088131304075
2020-10-29,0.9559443947997965
2020-10-30,0.971895563303374
2020-11-02,0.9915929672991562
2020-11-03,0.9973590816592671
2020-11-04,1.0176206123281781
2020-11-05,1.0143684879569175
2020-11-06,1.0397850706883052
2020-11-09,1.0394415665475305
2020-11-10,1.0461650664054643
2020-11-11,1.0380799685901512
2020-11-12,1.0479359424216577
2020-11-13,1.0678249575441559
2020-11-16,1.0655043782578428
2020-11-17,1.0543873732114446
2020-11-18,1.0602410936621136
2020-11-19,1.0536549358231093
2020-11-20,1.0662836314487005
2020-11-23,1.0949763213042067
2020-11-24,1.0915221835108724
2020-11-25,1.0920010600234613
2020-11-27,1.0799031943641264
2020-11-30,1.0917483886317725
2020-12-01,1.1054860767246941
2020-12-02,1.1026989359296833
2020-12-03,1.1152499910906497
2020-12-04,1.1123125292371183
2020-12-07,1.1152324392616746
2020-12-08,1.110499463974876
2020-12-09,1.1155834327474643
2020-12-10,1.11188662822805
2020-12-11,1.102405530866914
2020-12-14,1.1167732166290651
2020-12-15,1.1145101032319364
2020-12-16,1.1195979998265597
2020-12-17,1.111094436690851
2020-12-18,1.1181009025032431
2020-12-21,1.1093597961041033
2020-12-22,1.1205710181825814
2020-12-23,1.1199411670427795
2020-12-24,1.1305694356293807
2020-12-28,1.127583958554027
2020-12-29,1.1285777971964528
2020-12-30,1.130945191518537
2020-12-31,1.122435316035727
2021-01-04,1.1317361731710245
2021-01-05,1.1284139631087222
2021-01-06,1.1379715179901846
2021-01-07,1.1389186726097824
2021-01-08,1.143369000646074
2021-01-11,1.148810335786643
2021-01-12,1.1472296186091315
2021-01-13,1.1397917369170127
2021-01-14,1.1366949466040397
2021-01-15,1.143232362265583
2021-01-19,1.1572791247934542
2021-01-20,1.1591650050095708
2021-01-21,1.1505800745069812
2021-01-22,1.1505761719944847
2021-01-25,1.1506468226600788
2021-01-26,1.118159168915887
2021-01-27,1.129094863894865
2021-01-28,1.1083521925570794
2021-01-29,1.1197074979786603
2021-02-01,1.1377216365285103
2021-02-02,1.1491435033145465
2021-02-03,1.1568539196771899
2021-02-04,1.1608879806227341
2021-02-05,1.169175071405304
2021-02-08,1.1705386893584984
2021-02-09,1.1714819713132079
2021-02-10,1.1710067483496134
2021-02-11,1.1679533311177273
2021-02-12,1.169533899062022
2021-02-16,1.1734170589860127
2021-02-17,1.1658585148982663
2021-02-18,1.1617191289668392
2021-02-19,1.1600791787871851
2021-02-22,1.162945615810802
2021-02-23,1.1759912721033405
2021-02-24,1.1534743423464329
2021-02-25,1.1413702517152386
2021-02-26,1.1678045279515952
2021-03-01,1.1612894333534372
2021-03-02,1.1560825572701134
2021-03-03,1.1488730507580658
2021-03-04,1.1633422362047652
2021-03-05,1.1674756229284806
2021-03-08,1.1733587626630049
2021-03-09,1.1916984758720741
2021-03-10,1.194734918310925
2021-03-11,1.2069270660090181
2021-03-12,1.2145641449054478
2021-03-15,1.2120435644449743
2021-03-16,1.2192425469446795
2021-03-17,1.2075043420612703
2021-03-18,1.2013343983995806
2021-03-19,1.1993830982385152
2021-03-22,1.1894636485902605
2021-03-23,1.189548020981142
2021-03-24,1.195929254708059
2021-03-25,1.2130604247512498
2021-03-26,1.2158212931330317
2021-03-29,1.211460240302166
2021-03-30,1.2144995560377088
2021-03-31,1.2292776355381452
2021-04-01,1.245204039285182
2021-04-05,1.2442999702019077
2021-04-06,1.2496396280603927
2021-04-07,1.2520500372446048
2021-04-08,1.2615111365792484
2021-04-09,1.2641679057579467
2021-04-12,1.264029160847196
2021-04-13,1.2682058543041397
2021-04-14,1.2814734824179335
2021-04-15,1.2873766782511276
2021-04-16,1.282248509030735
2021-04-19,1.2795799239111094
2021-04-20,1.2845012290345048
2021-04-21,1.2692383891530392
2021-04-22,1.2822267813849535
2021-04-23,1.2844314189087613
2021-04-26,1.2876721839681047
2021-04-27,1.291313246811685
2021-04-28,1.301932987888898
2021-04-29,1.2899537771221603
2021-04-30,1.297596564290847
2021-05-03,1.2943042300121939
2021-05-04,1.300291150363068
2021-05-05,1.3126687353441915
2021-05-06,1.3231370298146976
