,value
2020-01-02,0.9929446144365407
2020-01-03,0.9975046634070603
2020-01-06,0.9949534563603304
2020-01-07,0.9998059790420722
2020-01-08,1.0036028253304834
2020-01-09,0.9994652894530305
2020-01-10,1.00223970934029
2020-01-13,0.9989883180302846
2020-01-14,0.9995383203371309
2020-01-15,1.0058231912850693
2020-01-16,1.0068112822667525
2020-01-17,1.004466283822578
2020-01-21,1.0015922558488113
2020-01-22,1.0015672178060804
2020-01-23,0.9918777851611175
2020-01-24,0.9793493328066838
2020-01-27,0.9898759594013989
2020-01-28,0.9864200204181768
2020-01-29,0.9903460392604395
2020-01-30,0.9749597621433458
2020-01-31,0.978962593387618
2020-02-03,0.9864240324537927
2020-02-04,1.0024704070687689
2020-02-05,1.0042448531214907
2020-02-06,1.0008541111460059
2020-02-07,1.004185855422013
2020-02-10,1.0068423183275235
2020-02-11,1.0129701759320235
2020-02-12,1.0124917571200882
2020-02-13,1.0093606232300216
2020-02-14,1.006016109409747
2020-02-18,1.0114003285961355
2020-02-19,1.0108224169498194
2020-02-20,1.0027521110387323
2020-02-21,0.9722345170560873
2020-02-24,0.9405449039472666
2020-02-25,0.9373507836873249
2020-02-26,0.8944391473198959
2020-02-27,0.8902613694551822
2020-02-28,0.9284640940770897
2020-03-02,0.8997130251983068
2020-03-03,0.9368796275333814
2020-03-04,0.9026375176094468
2020-03-05,0.8831233953584386
2020-03-06,0.8072631819029573
2020-03-09,0.8523892523294537
2020-03-10,0.8084751758149513
2020-03-11,0.7252441716998262
2020-03-12,0.8073034059425725
2020-03-13,0.7137542863773901
2020-03-16,0.75500448646747
2020-03-17,0.7106326478065277
2020-03-18,0.7301760918164266
2020-03-19,0.7104469098941111
2020-03-20,0.6860495740911356
2020-03-23,0.7700154713604435
2020-03-24,0.7893090701338259
2020-03-25,0.8397890482699558
2020-03-26,0.8105155015773671
2020-03-27,0.8388333313491532
2020-03-30,0.827544403490359
2020-03-31,0.7932407766547974
2020-04-01,0.813263124076935
2020-04-02,0.7929880700974992
2020-04-03,0.8513938671962047
2020-04-06,0.8557673382775093
2020-04-07,0.8880882755798675
2020-04-08,0.8969380705076038
2020-04-09,0.8953244639615034
2020-04-13,0.9135154474231605
2020-04-14,0.8979130141334041
2020-04-15,0.9017914328928309
2020-04-16,0.934053783660112
2020-04-17,0.9190923664295881
2020-04-20,0.8915915839345229
2020-04-21,0.9095690251973704
2020-04-22,0.9122694572485603
2020-04-23,0.9244166604023666
2020-04-24,0.9410268863084625
2020-04-27,0.933583375496231
2020-04-28,0.9525557055366002
2020-04-29,0.9413484365716667
2020-04-30,0.9140243641252415
2020-05-01,0.9184829940538858
2020-05-04,0.9207096162471959
2020-05-05,0.9101544290170016
2020-05-06,0.9217564697530785
2020-05-07,0.9380921913178625
2020-05-08,0.9330111809401395
2020-05-11,0.9136018685073207
2020-05-12,0.8983163536855401
2020-05-13,0.916183324696709
2020-05-14,0.9145340857150609
2020-05-15,0.9610550567616555
2020-05-18,0.9459138404105297
2020-05-19,0.9640249370902655
2020-05-20,0.9580400331309713
2020-05-21,0.9572620382744216
2020-05-22,0.9774463010921063
2020-05-26,0.9979866268701921
2020-05-27,0.9951168853091109
2020-05-28,0.9941180041275296
2020-05-29,0.9974617303867651
2020-06-01,1.0050387570446286
2020-06-02,1.0205754551275956
2020-06-03,1.0170008646299362
2020-06-04,1.0415662836904709
2020-06-05,1.0503339734460386
2020-06-08,1.0500018079733393
2020-06-09,1.0501843132838693
2020-06-10,0.9976851832086221
2020-06-11,1.0217632867958337
2020-06-12,1.0278634895269918
2020-06-15,1.0479852767690405
2020-06-16,1.0386787005537208
2020-06-17,1.0394845168168994
2020-06-18,1.033688946024123
2020-06-19,1.0399942585124424
2020-06-22,1.0413652998160499
2020-06-23,1.0122129809024625
2020-06-24,1.0280928093250314
2020-06-25,0.9970967719504445
2020-06-26,1.0139520973930443
2020-06-29,1.0229017252556134
2020-06-30,1.023638650290419
2020-07-01,1.0263418054997437
2020-07-02,1.0450794588543246
2020-07-06,1.033438603159865
2020-07-07,1.0412332262332533
2020-07-08,1.03253859502731
2020-07-09,1.055818472154679
2020-07-10,1.0581270290258606
2020-07-13,1.0705131138519561
2020-07-14,1.0791192856192569
2020-07-15,1.0758863424499256
2020-07-16,1.0711553134705818
2020-07-17,1.0780972991170734
