,value
2020-03-30,1.0
2020-03-31,0.9827069644263899
2020-04-01,0.9423690280643849
2020-04-02,0.965759441577649
2020-04-03,0.9471215782921144
2020-04-06,1.007421597400511
2020-04-07,1.0077040027952242
2020-04-08,1.039828014247877
2020-04-09,1.0595466876531372
2020-04-13,1.046579013935577
2020-04-14,1.0677215406492173
2020-04-15,1.0457526573870954
2020-04-16,1.0476916951251256
2020-04-17,1.0780659724277037
2020-04-20,1.0578372235193259
2020-04-21,1.0297729498351753
2020-04-22,1.0510838525545747
2020-04-23,1.052623482431636
2020-04-24,1.065411214073719
2020-04-27,1.0816611941182956
2020-04-28,1.0774358132397228
2020-04-29,1.1011991832921337
2020-04-30,1.0886129913552587
2020-05-01,1.0597801731209866
2020-05-04,1.0628984681617737
2020-05-05,1.0664875809714545
2020-05-06,1.058158820319596
2020-05-07,1.067410913649915
2020-05-08,1.0844710877552974
2020-05-11,1.0791120411905244
2020-05-12,1.0572231230479257
2020-05-13,1.0371083469861573
2020-05-14,1.0535807443666707
2020-05-15,1.0560763826845136
2020-05-18,1.0908722869465517
2020-05-19,1.0771672218607433
2020-05-20,1.0956853625274496
2020-05-21,1.0889819868694435
2020-05-22,1.0887881081927595
2020-05-26,1.1102287010998233
2020-05-27,1.1300636592735824
2020-05-28,1.1233052442072342
2020-05-29,1.1223972680899073
2020-06-01,1.1272009921934507
2020-06-02,1.1356880457016827
2020-06-03,1.1537172832013307
2020-06-04,1.1516176774872415
2020-06-05,1.179102488930744
2020-06-08,1.1941267785335976
2020-06-09,1.186356958304346
2020-06-10,1.1732587319493466
2020-06-11,1.1012590539598097
2020-06-12,1.1191346829159432
2020-06-15,1.1265285244582042
2020-06-16,1.1445111046365557
2020-06-17,1.135087336086567
2020-06-18,1.134877978081756
2020-06-19,1.1281898562765698
2020-06-22,1.1349648187483374
2020-06-23,1.1385457405581134
2020-06-24,1.1120318056153615
2020-06-25,1.125619350485791
2020-06-26,1.0911446148318558
2020-06-29,1.1069476051056868
2020-06-30,1.1198101585819105
2020-07-01,1.1224718581940505
2020-07-02,1.1275540404617244
2020-07-06,1.14490931540494
2020-07-07,1.1328383811022205
2020-07-08,1.1412674708631885
2020-07-09,1.1350534797903407
2020-07-10,1.1531493466090303
2020-07-13,1.14945279152793
2020-07-14,1.1629212641092324
2020-07-15,1.1707431459577755
2020-07-16,1.1669132296896114
2020-07-17,1.1638511933238553
2020-07-20,1.1683672923200001
2020-07-21,1.1819692140166582
2020-07-22,1.187072712759853
2020-07-23,1.1773711371589441
2020-07-24,1.1734423369208298
2020-07-27,1.1767516819842065
2020-07-28,1.1720540385461942
2020-07-29,1.1823500159257214
2020-07-30,1.1708381408231772
2020-07-31,1.1739530615226168
2020-08-03,1.1793335526676858
2020-08-04,1.18699927780817
2020-08-05,1.1988394822227153
2020-08-06,1.205707008088887
2020-08-07,1.209191776475344
2020-08-10,1.215589951400011
2020-08-11,1.2072254056186906
2020-08-12,1.2187338406332122
2020-08-13,1.214591569373442
2020-08-14,1.2149213199066706
2020-08-17,1.215600817699378
2020-08-18,1.214759316283756
2020-08-19,1.209310554727692
2020-08-20,1.208538195599802
2020-08-21,1.2128022067970046
2020-08-24,1.22689154546927
2020-08-25,1.2267555374640002
2020-08-26,1.2311122127055156
2020-08-27,1.2337373023624598
2020-08-28,1.2437597434460324
2020-08-31,1.2346614835874818
2020-09-01,1.2434028215532194
2020-09-02,1.262450648541456
2020-09-03,1.2288176223588567
2020-09-04,1.2215918323603334
2020-09-08,1.195417223089929
2020-09-09,1.213961706166695
2020-09-10,1.1977965437786764
2020-09-11,1.2008196307686934
2020-09-14,1.2110299414250274
2020-09-15,1.2105233103151691
2020-09-16,1.2089346551387934
2020-09-17,1.1995239425289352
2020-09-18,1.1880644978627375
2020-09-21,1.172460650335534
2020-09-22,1.1772020934835132
2020-09-23,1.153827825272309
2020-09-24,1.1588174369766484
2020-09-25,1.1701046595432059
2020-09-28,1.1864219145549486
2020-09-29,1.1808390443532213
2020-09-30,1.1887297714728045
2020-10-01,1.1903797423407552
2020-10-02,1.1861170854441196
2020-10-05,1.203232408019501
2020-10-06,1.1908018005862162
2020-10-07,1.2077742595694192
2020-10-08,1.2199605948983738
2020-10-09,1.2253394411246803
2020-10-12,1.2420713142095625
2020-10-13,1.233025804147501
2020-10-14,1.2213559676158676
2020-10-15,1.2211195236016048
2020-10-16,1.2230676019089943
2020-10-19,1.2060146691768423
2020-10-20,1.210977232101199
2020-10-21,1.2067365660571527
2020-10-22,1.2172743502314365
2020-10-23,1.2211831790341023
2020-10-26,1.198388935793076
2020-10-27,1.1891126289021838
2020-10-28,1.1481817929968863
2020-10-29,1.1607694129524275
2020-10-30,1.1535571974443766
2020-11-02,1.1697482359855056
2020-11-03,1.1882687855816734
2020-11-04,1.1998080914211624
2020-11-05,1.2212435745229084
2020-11-06,1.2182156521966776
2020-11-09,1.245245373018572
2020-11-10,1.245327856881272
2020-11-11,1.2511877950817634
2020-11-12,1.2402646253666065
2020-11-13,1.2535006290695994
