date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.07633613342484022,-0.00603384071126006
2020-04-02,-0.08144224029109949,-0.012131685518782286
2020-04-03,-0.05365711351836826,-0.009082763115021174
2020-04-06,-0.04941603196978468,0.0034038542103058283
2020-04-07,-0.03709555193307489,0.009181678536517251
2020-04-08,-0.031511431922698896,0.012795000698226509
2020-04-09,-0.03612500406567816,0.01280081925243216
2020-04-13,-0.029083438556275085,0.02301820043755528
2020-04-14,-0.03623486159230266,0.02215705441511893
2020-04-15,-0.03474231741181434,0.017932784061816323
2020-04-16,-0.025943404540000617,0.02081296839361356
2020-04-17,-0.03312708972375967,0.013696876600102409
2020-04-20,-0.04195232453742395,0.019468882372108177
2020-04-21,-0.035255745728634026,0.021342456826327797
2020-04-22,-0.03459860697955551,0.028912395847879722
2020-04-23,-0.027240168908631023,0.029680445003025652
2020-04-24,-0.014695132249807804,0.0353709910161523
2020-04-27,-0.017765886617510104,0.030250663315179446
2020-04-28,-0.010928862970944024,0.026550062840385424
2020-04-29,-0.014078018003217663,0.027114462598333566
2020-04-30,-0.01620522246690545,0.029110226690871852
2020-05-01,-0.01831081286156547,0.02486850067495229
2020-05-04,-0.02355580256875421,0.033200670297444494
2020-05-05,-0.03214632349014407,0.03114090210864405
2020-05-06,-0.03044118107893926,0.026910813201135787
2020-05-07,-0.02331595808315283,0.026747893683377558
2020-05-08,-0.026782613671601875,0.020568589116976215
2020-05-11,-0.033452140731712564,0.019236140203882143
2020-05-12,-0.041165398472090484,0.02493250477121445
2020-05-13,-0.03617836577568694,0.024211004049713727
2020-05-14,-0.03422480636979967,0.02556672717963041
2020-05-15,-0.02364213959075461,0.03268863752734721
2020-05-18,-0.029948634485877312,0.02619513103384071
2020-05-19,-0.02100247295353187,0.036616161616161616
2020-05-20,-0.019218380670821072,0.03933342643020062
2020-05-21,-0.007911028967396903,0.03461457896941768
2020-05-22,0.015582149140111468,0.03603430619559651
2020-05-26,0.027839722094741632,0.044878508588186004
2020-05-27,0.04284138687614612,0.05236698785085882
2020-05-28,0.04613867078379484,0.05342596471628729
2020-05-29,0.03213473081699661,0.05056905460131267
2020-06-01,0.043984093217714425,0.05296629893404086
2020-06-02,0.03779521363633957,0.058947772657450076
2020-06-03,0.05302660946692167,0.06836219336219336
2020-06-04,0.0721369003446007,0.07287739142577852
2020-06-05,0.11430558583817704,0.08132011357817809
2020-06-08,0.08759258291914694,0.07504771214448633
2020-06-09,0.10077935968108002,0.08236745333519528
2020-06-10,0.12550075522716125,0.089140250430573
2020-06-11,0.0925859710194637,0.0810931899641577
2020-06-12,0.18184323851121567,0.079621095750128
2020-06-15,0.16443195980287945,0.07806172322301354
2020-06-16,0.21351091284059834,0.09376018246985988
2020-06-17,0.19971484493071753,0.08879113717823395
2020-06-18,0.22483458852241728,0.09022250151282407
2020-06-19,0.24996705257248983,0.08701065959130473
2020-06-22,0.2142674256513844,0.07417492901363867
2020-06-23,0.18230998526384304,0.08694665549504259
2020-06-24,0.15469785231350613,0.08489270586044778
2020-06-25,0.15228598473600263,0.09939254294093003
2020-06-26,0.14321815158685094,0.10439068100358423
2020-06-29,0.16643605988580654,0.10935972629521015
2020-06-30,0.202197251460989,0.11162896243541402
2020-07-01,0.1879172753577665,0.11449750965879997
2020-07-02,0.21885567562572503,0.1152073732718894
2020-07-06,0.16960309612990518,0.11975748266070846
2020-07-07,0.16894512856946164,0.1114311315924219
2020-07-08,0.1374911707749025,0.10510054461667365
2020-07-09,0.13765380632307647,0.10703812316715541
2020-07-10,0.1509007889420872,0.1105176185821347
2020-07-13,0.14157348441106535,0.10572894847088395
2020-07-14,0.17373988529971174,0.1102325094260578
2020-07-15,0.17100239139801232,0.11168132942326489
2020-07-16,0.14005538952146307,0.09495880463622398
2020-07-17,0.16387669871084518,0.10297677233161102
2020-07-20,0.20707011738967132,0.09845575571382022
2020-07-21,0.1911223887318859,0.09414420704743284
2020-07-22,0.17984356646182065,0.08600986826793278
2020-07-23,0.1656939942549283,0.08684774007354651
2020-07-24,0.14889796306183245,0.09087417958385699
2020-07-27,0.14618111425695662,0.09281757668854441
2020-07-28,0.14116948337774357,0.09871177209886886
2020-07-29,0.13530135631560053,0.09791463017269468
2020-07-30,0.17003408694809471,0.09769352511287994
2020-07-31,0.1727529371403334,0.09586649909230553
2020-08-03,0.1756463743873541,0.09316087138667783
2020-08-04,0.19400231882922664,0.09273611692966531
2020-08-05,0.19530070403745978,0.09140948657077688
2020-08-06,0.1827556677525879,0.08673718754363915
2020-08-07,0.19505709546463004,0.09637271330819716
2020-08-10,0.2036382645176881,0.09558138993622863
2020-08-11,0.22805710406653007,0.09362635572312991
2020-08-12,0.21369460674013485,0.09838011450914676
2020-08-13,0.21151374035212514,0.10009076944560816
2020-08-14,0.1829614710445569,0.09062398175301399
2020-08-17,0.19354984629027083,0.09829283619606198
2020-08-18,0.170277986105571,0.09380091234929942
2020-08-19,0.17117601842785882,0.09370199692780339
2020-08-20,0.17482583835830787,0.10039915281850764
2020-08-21,0.156693026944586,0.10344225666806312
2020-08-24,0.12625104119949293,0.09265465717078619
2020-08-25,0.1354193148093497,0.09383582367453333
2020-08-26,0.13722789015031345,0.08565493646138807
2020-08-27,0.13478935880712278,0.0784922962342317
2020-08-28,0.11937333145910536,0.0828271191174417
2020-08-31,0.10731252351491172,0.07054996974351813
2020-09-01,0.12191744109819388,0.05918633337988176
