date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.07295274067941077,-0.00603384071126006
2020-04-02,-0.08027801147214035,-0.012131685518782286
2020-04-03,-0.05157397702740129,-0.009082763115021174
2020-04-06,-0.04649377762228114,0.0034038542103058283
2020-04-07,-0.03156961472509302,0.009181678536517251
2020-04-08,-0.025378000757716596,0.012795000698226509
2020-04-09,-0.03082332003298391,0.01280081925243216
2020-04-13,-0.021931046848711645,0.02301820043755528
2020-04-14,-0.02869239874260152,0.02215705441511893
2020-04-15,-0.03014930363854665,0.017932784061816323
2020-04-16,-0.01622671291771657,0.02081296839361356
2020-04-17,-0.025802372444914394,0.013696876600102409
2020-04-20,-0.034944260962358725,0.019468882372108177
2020-04-21,-0.026337824021395638,0.021342456826327797
2020-04-22,-0.025021398783267174,0.028912395847879722
2020-04-23,-0.016499556514515623,0.029680445003025652
2020-04-24,-0.0036811984958354943,0.0353709910161523
2020-04-27,-0.009805048809100872,0.030250663315179446
2020-04-28,-0.00303340459807141,0.026550062840385424
2020-04-29,-0.007833018347935634,0.027114462598333566
2020-04-30,-0.011758698525118846,0.029110226690871852
2020-05-01,-0.013452935814942285,0.02486850067495229
2020-05-04,-0.013576549556042136,0.033200670297444494
2020-05-05,-0.021083272652014644,0.03114090210864405
2020-05-06,-0.018740135607644905,0.026910813201135787
2020-05-07,-0.011488009596357924,0.026747893683377558
2020-05-08,-0.017945433170479367,0.020568589116976215
2020-05-11,-0.026244532857786537,0.019236140203882143
2020-05-12,-0.03414784683218998,0.02493250477121445
2020-05-13,-0.028877815055642134,0.024211004049713727
2020-05-14,-0.029513031785787992,0.02556672717963041
2020-05-15,-0.014203518821592341,0.03268863752734721
2020-05-18,-0.021171960844815818,0.02619513103384071
2020-05-19,-0.011615654644979528,0.036616161616161616
2020-05-20,-0.009951254090428093,0.03933342643020062
2020-05-21,0.0006042239263564352,0.03461457896941768
2020-05-22,0.020226119554467983,0.03603430619559651
2020-05-26,0.03358540593523543,0.044878508588186004
2020-05-27,0.04994490553778291,0.05236698785085882
2020-05-28,0.052718769830494824,0.05342596471628729
2020-05-29,0.03633510892159099,0.05056905460131267
2020-06-01,0.04858497721752198,0.05296629893404086
2020-06-02,0.042690729189402275,0.058947772657450076
2020-06-03,0.05689270488734988,0.06836219336219336
2020-06-04,0.07418669416963734,0.07287739142577852
2020-06-05,0.11932041840688185,0.08132011357817809
2020-06-08,0.09606199384261277,0.07504771214448633
2020-06-09,0.11999996603451032,0.08236745333519528
2020-06-10,0.14469938304166494,0.089140250430573
2020-06-11,0.11002443608362847,0.0810931899641577
2020-06-12,0.17394462428225688,0.079621095750128
2020-06-15,0.15797530269825585,0.07806172322301354
2020-06-16,0.20567007143565294,0.09376018246985988
2020-06-17,0.19127803165829835,0.08879113717823395
2020-06-18,0.20845649946225714,0.09022250151282407
2020-06-19,0.23139481264920927,0.08701065959130473
2020-06-22,0.19153558788040476,0.07417492901363867
2020-06-23,0.17632283848617858,0.08694665549504259
2020-06-24,0.1498199991541326,0.08489270586044778
2020-06-25,0.16759710403303596,0.09939254294093003
2020-06-26,0.15798665933261122,0.10439068100358423
2020-06-29,0.1818219881852636,0.10935972629521015
2020-06-30,0.21885306152432435,0.11162896243541402
2020-07-01,0.20598892014465572,0.11449750965879997
2020-07-02,0.2399464197331834,0.1152073732718894
2020-07-06,0.19883208739201944,0.11975748266070846
2020-07-07,0.19597839843988663,0.1114311315924219
2020-07-08,0.16144983828112655,0.10510054461667365
2020-07-09,0.1616065395533309,0.10703812316715541
2020-07-10,0.17668791452025356,0.1105176185821347
2020-07-13,0.16846667865256232,0.10572894847088395
2020-07-14,0.19796330301659043,0.1102325094260578
2020-07-15,0.19441596577257517,0.11168132942326489
2020-07-16,0.15481254880036946,0.09495880463622398
2020-07-17,0.18807131082446138,0.10297677233161102
2020-07-20,0.23079330207992377,0.09845575571382022
2020-07-21,0.21546122200131168,0.09414420704743284
2020-07-22,0.200091786868674,0.08600986826793278
2020-07-23,0.1845325093079506,0.08684774007354651
2020-07-24,0.17355384001230456,0.09087417958385699
2020-07-27,0.17462971703592162,0.09281757668854441
2020-07-28,0.16595990816297596,0.09871177209886886
2020-07-29,0.1683457764545998,0.09791463017269468
2020-07-30,0.21109104809541446,0.09769352511287994
2020-07-31,0.20967261339726212,0.09586649909230553
2020-08-03,0.20902346552703935,0.09316087138667783
2020-08-04,0.22801673078823467,0.09273611692966531
2020-08-05,0.22586551788997503,0.09140948657077688
2020-08-06,0.2106088584158088,0.08673718754363915
2020-08-07,0.23521926984740438,0.09637271330819716
2020-08-10,0.2540989398252969,0.09558138993622863
2020-08-11,0.2847209238603056,0.09362635572312991
2020-08-12,0.26363316733176495,0.09838011450914676
2020-08-13,0.2656481438370235,0.10009076944560816
2020-08-14,0.23063448829312866,0.09062398175301399
2020-08-17,0.25046549686692055,0.09829283619606198
2020-08-18,0.22326049133723963,0.09380091234929942
2020-08-19,0.22957642265356096,0.09370199692780339
2020-08-20,0.23747230964712032,0.10039915281850764
2020-08-21,0.2297882187580617,0.10344225666806312
2020-08-24,0.19904282851934682,0.09265465717078619
2020-08-25,0.2108744604089263,0.09383582367453333
2020-08-26,0.20930315347554096,0.08565493646138807
2020-08-27,0.20709919121430506,0.0784922962342317
2020-08-28,0.19292330832243654,0.0828271191174417
2020-08-31,0.16917372841929185,0.07054996974351813
2020-09-01,0.1816228395816445,0.05918633337988176
