date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.06741137084160123,0.020981706465577434
2020-04-02,-0.06865784115352858,0.02892985151049667
2020-04-03,-0.04512930877658255,0.015407531536563789
2020-04-06,-0.043200203180113174,0.014831494670204344
2020-04-07,-0.025673011347848506,0.025811106456267743
2020-04-08,-0.01729013449066532,0.032223153190895124
2020-04-09,-0.023350840650644356,0.025665642601126464
2020-04-13,-0.0196429488595274,0.02009146767211283
2020-04-14,-0.029861414685595583,0.015913745752455424
2020-04-15,-0.025590705835630084,0.018956849602010887
2020-04-16,-0.020711222659724,0.006976446492575518
2020-04-17,-0.027104907526000255,0.011869850579527991
2020-04-20,-0.03836445894370399,0.0045559279430247126
2020-04-21,-0.028179361616825802,0.005818554205650975
2020-04-22,-0.02766352479330445,0.00627240143369175
2020-04-23,-0.0188770216471002,0.00930386817483591
2020-04-24,-0.010253490113050484,0.005242517339291527
2020-04-27,-0.01797307257844679,-0.00965298142717498
2020-04-28,-0.008399962860720438,-0.010618861425313044
2020-04-29,-0.015845470660705272,-0.021028254899222647
2020-04-30,-0.02186266155991172,-0.028557464041335013
2020-05-01,-0.02444918152636892,-0.03169366475818088
2020-05-04,-0.02606504298580198,-0.03158893078247917
2020-05-05,-0.032816172579927146,-0.019730717311362476
2020-05-06,-0.03270626439262453,-0.028732020667504538
2020-05-07,-0.026399360746085326,-0.03505678908904715
2020-05-08,-0.027860538486787344,-0.028359633198342872
2020-05-11,-0.03387577109926574,-0.01940487827584602
2020-05-12,-0.04098926441383864,-0.00812270167108877
2020-05-13,-0.03514063381590341,-0.009571521668295864
2020-05-14,-0.03212809855769012,0.00020946795140343332
2020-05-15,-0.02349572223155567,-0.012149141181399247
2020-05-18,-0.030527282012354908,-0.010217381185123125
2020-05-19,-0.02027861876781251,-0.0027289019224503125
2020-05-20,-0.016697857447612197,0.006237490108457848
2020-05-21,-0.0023081054719988345,0.006202578783223942
2020-05-22,0.011153020684426175,-0.004806125773867712
2020-05-26,0.022710299420244735,0.001408090117767534
2020-05-27,0.03679853344273551,0.002385607224316896
2020-05-28,0.03777890072376522,-0.010060280221570548
2020-05-29,0.018592730175063278,-0.01203858865149188
2020-06-01,0.0328005721858318,-0.004800307219662061
2020-06-02,0.024582411887444665,0.00039566168598426365
2020-06-03,0.035955097626967816,0.001710654936461384
2020-06-04,0.05996622965690312,0.01693781129265
2020-06-05,0.11040828912973857,0.03233952427500814
2020-06-08,0.08035267713566169,0.013190662384210768
2020-06-09,0.09174745901653847,-0.004329004329004329
2020-06-10,0.10581664834325813,-0.011410184797281571
2020-06-11,0.07183839008518209,-0.005161057580412416
2020-06-12,0.13505508034498798,-0.00791905227389098
2020-06-15,0.11788440853200668,-0.0027929060187124677
2020-06-16,0.14569400203261595,-0.010013731787925334
2020-06-17,0.13007607209080205,-0.017496392496392496
2020-06-18,0.13949562059790388,-0.031181631988083595
2020-06-19,0.15834177290974438,-0.03024484476097379
2020-06-22,0.10953744829147222,-0.03862938137131685
2020-06-23,0.08672923078331081,-0.041975050039566156
2020-06-24,0.057960804007388185,-0.03910650281618023
2020-06-25,0.06902693916112053,-0.028324721873108964
2020-06-26,0.05719458904333768,-0.02568309826374342
2020-06-29,0.0812341677864934,-0.017810594423497646
2020-06-30,0.11467443146706181,-0.021499557789880372
2020-07-01,0.10164056206618266,-0.01945724526369688
2020-07-02,0.12287595249467047,-0.0249499604338314
2020-07-06,0.07994449410870105,-0.006982265046781173
2020-07-07,0.08614016333476722,-0.00227505469440953
2020-07-08,0.05714416164840554,0.00043639156542382837
2020-07-09,0.0396408687550717,-0.016169762137504068
2020-07-10,0.048297026661854765,-0.018351719964623182
2020-07-13,0.0464400949316426,-0.011887306242144945
2020-07-14,0.07918411176442429,-0.001978308429921327
2020-07-15,0.06490609102600116,-0.00822161709258483
2020-07-16,0.040341135628854184,-0.004829399990690307
2020-07-17,0.06096568434128623,-0.0034329469813340714
2020-07-20,0.09633720336639334,0.00198412698412699
2020-07-21,0.08292382736322387,0.0039740725224596245
2020-07-22,0.06874244435392186,-0.004299911557976066
2020-07-23,0.055605992995296394,-0.0062374901084578434
2020-07-24,0.057749533585224756,0.012841549131871717
2020-07-27,0.057923627794336366,0.00793068938230229
2020-07-28,0.04635457688863915,0.009565703114090216
2020-07-29,0.0602940359557862,0.029884094400223434
2020-07-30,0.09942167848804112,0.03776823534888052
2020-07-31,0.10216933626233865,0.033363589815202724
2020-08-03,0.10644906560483662,0.0386119257086999
2020-08-04,0.12335884554390723,0.03350905367034399
2020-08-05,0.12670937861468737,0.03949634594795885
2020-08-06,0.12567946613636458,0.05691709723967789
2020-08-07,0.12940255523537572,0.044238467625564395
2020-08-10,0.13823376170791088,0.03277009728622632
2020-08-11,0.1599046634585159,0.027155192477773125
2020-08-12,0.14037982042600602,0.024152818507657218
2020-08-13,0.13169766838343527,0.01614648792068147
2020-08-14,0.11861789361704152,0.034160731741376904
2020-08-17,0.1293929697596747,0.028074524042265982
2020-08-18,0.10526286792014206,0.0258052879020621
2020-08-19,0.1145318284306155,0.038140622818042175
2020-08-20,0.1147987589791721,0.032066052227342545
2020-08-21,0.1250913007077291,0.05090071219103477
2020-08-24,0.10044272827990419,0.04383698738537448
2020-08-25,0.12682950735522924,0.06380626541916865
2020-08-26,0.13891398738384061,0.07673509286412512
2020-08-27,0.14222067515199935,0.07060815528557464
