feature,importance
emb_5,0.05088966
rsi_14,0.049909253
emb_1,0.049015988
vol_z_20,0.04777674
emb_4,0.045677874
vol_z_5,0.0449827
emb_0,0.042761777
emb_3,0.042290237
volume_pct_change,0.041706454
mom_10,0.041656777
emb_2,0.041322377
emb_6,0.041236755
ret_5d,0.038630035
vol_60d,0.037546996
mom_21d,0.035192624
emb_7,0.035114974
macd_signal,0.035080414
mom_3d,0.034575995
macd_hist,0.033861812
vol_20d,0.033514947
drawdown_20d,0.03312674
vol_5d,0.033063885
log_ret_1d,0.029122394
macd_line,0.02763944
ret_20d,0.027423877
ret_1d,0.026879143
