feature,importance
vol_z_20,0.049502533
rsi_14,0.047477223
vol_z_5,0.046921525
volume_pct_change,0.045616865
emb_5,0.042832926
macd_hist,0.04275435
emb_2,0.0423013
macd_line,0.04144932
emb_6,0.041144248
vol_60d,0.040893506
macd_signal,0.039952703
emb_4,0.039868493
drawdown_20d,0.039668553
emb_1,0.039512094
emb_7,0.038839057
emb_3,0.037642945
emb_0,0.036768075
vol_20d,0.03669043
vol_5d,0.035106078
mom_21d,0.034498986
mom_3d,0.03386255
mom_10,0.033122357
ret_5d,0.029473696
ret_20d,0.028912969
log_ret_1d,0.027737133
ret_1d,0.027450101
