date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.07520120771653399,-0.0069613296906912096
2020-04-02,-0.08078297107770925,-0.01192486040830527
2020-04-03,-0.051770077580206596,-0.014351451670161042
2020-04-06,-0.050735489524973296,-0.009291223192416397
2020-04-07,-0.04286049658381469,-0.021688350359622903
2020-04-08,-0.03588180069948296,-0.017591012625245404
2020-04-09,-0.03680985069339511,-0.012028910155861794
2020-04-13,-0.02787463337598755,-0.010628253022024641
2020-04-14,-0.034005411737134,-0.012301279076990813
2020-04-15,-0.03438152900392882,-0.016089802800204705
2020-04-16,-0.023390379117035946,-0.011621981191210176
2020-04-17,-0.03044622148319919,-0.0012110338954870882
2020-04-20,-0.03788456905171799,0.003959728521251378
2020-04-21,-0.02755556538020277,0.009362921757280937
2020-04-22,-0.025664070082250873,0.01563587378221991
2020-04-23,-0.015932455290576353,0.01915230738389744
2020-04-24,-0.004887616483096854,0.01997647819848724
2020-04-27,-0.011300591795230892,0.013829142882353969
2020-04-28,-0.005573219975078866,0.0035504234272671995
2020-04-29,-0.0085037168841509,0.011446160936918148
2020-04-30,-0.011319533861068888,0.01817242133121956
2020-05-01,-0.013337579145245384,0.014914030976055013
2020-05-04,-0.014662142664203372,0.021285781402992907
2020-05-05,-0.023048857778578083,0.020674833211399554
2020-05-06,-0.022267465502225376,0.014372919300692696
2020-05-07,-0.014882747321820197,0.01191914159099739
2020-05-08,-0.01913720249343965,0.012210095966209217
2020-05-11,-0.026068971606851756,0.020711107120590898
2020-05-12,-0.032959138371166506,0.029928098188367152
2020-05-13,-0.02891669748519731,0.01958089384861307
2020-05-14,-0.026382050885260532,0.029748669384745116
2020-05-15,-0.014261930864239181,0.03537070551739835
2020-05-18,-0.017923081588978214,0.04409558995122172
2020-05-19,-0.012248571555934692,0.034456128670857365
2020-05-20,-0.011442780498212814,0.03991146783261247
2020-05-21,0.004609934284981234,0.05267228462487579
2020-05-22,0.021198330422755558,0.04537581765098946
2020-05-26,0.02824401500423083,0.03979582416777017
2020-05-27,0.04739305463582857,0.05401055209217551
2020-05-28,0.051170151302342266,0.057571507266033904
2020-05-29,0.03271513399353971,0.05492406510246271
2020-06-01,0.044719337814763026,0.05170025862720053
2020-06-02,0.034684701603117915,0.0479377305875058
2020-06-03,0.04681153155299207,0.04190040010363252
2020-06-04,0.05891919028360203,0.03359150469796292
2020-06-05,0.10137545759513787,0.03171211168953766
2020-06-08,0.07926188382425858,0.035354526622275166
2020-06-09,0.10612532479951184,0.04377397455785213
2020-06-10,0.12305169644013225,0.041743299140079945
2020-06-11,0.08991260215712707,0.04466421335131673
2020-06-12,0.1577285451562209,0.04668325166067762
2020-06-15,0.14031255855472857,0.050215272986486266
2020-06-16,0.18436515868970688,0.06222476886694989
2020-06-17,0.17264650836210993,0.05756428666984679
2020-06-18,0.19639359652640206,0.05922811574296476
2020-06-19,0.21579092370094696,0.05865207887660531
2020-06-22,0.1740923188447487,0.045001449929745856
2020-06-23,0.14954205333597126,0.04472369372751316
2020-06-24,0.12515953744177086,0.04996107968462077
2020-06-25,0.1401687472375362,0.06437708071435064
2020-06-26,0.12559270142323967,0.06397560047416072
2020-06-29,0.14643896476280596,0.059038610827173724
2020-06-30,0.18778083905680834,0.0604059710655017
2020-07-01,0.1725896649093581,0.06176156620375784
2020-07-02,0.2023206837563599,0.058717602558670395
2020-07-06,0.1533743354909,0.05950063567081992
2020-07-07,0.16070880738945412,0.05545927086635026
2020-07-08,0.1253822580628726,0.058380185077587056
2020-07-09,0.12111908835938952,0.058031071825248
2020-07-10,0.124436332267401,0.05414981664295241
2020-07-13,0.11443493045245089,0.053032654235467415
2020-07-14,0.13709079714148276,0.046853349669066076
2020-07-15,0.13386251060736706,0.04760387969906337
2020-07-16,0.10104471853203548,0.040994012787415574
2020-07-17,0.12561687911904498,0.03651954460326996
2020-07-20,0.17231132251496942,0.038480397370574355
2020-07-21,0.15674222296929094,0.03737487207150066
2020-07-22,0.14022357640237054,0.031937372103631775
2020-07-23,0.1224714040990759,0.03278131001610495
2020-07-24,0.10826486361918944,0.03330378267876204
2020-07-27,0.11314986020120431,0.04029724119976054
2020-07-28,0.10570671871119637,0.04914771243629663
2020-07-29,0.10710289212487527,0.04771293891772605
2020-07-30,0.1438598296261079,0.04350634341275906
2020-07-31,0.14822334648257396,0.046107237142685054
2020-08-03,0.14966574298028834,0.04503662316884526
2020-08-04,0.16770418269985984,0.04748079884360312
2020-08-05,0.1672284411150581,0.05161285583650038
2020-08-06,0.16278366930421195,0.06597061203543961
2020-08-07,0.1745549560938545,0.06597599891341953
2020-08-10,0.18025035414322751,0.05059609230836538
2020-08-11,0.21518952566206986,0.05514620169718444
2020-08-12,0.1976910828379213,0.06076089958578643
2020-08-13,0.19416005353567217,0.06044851520724955
2020-08-14,0.17100253852074568,0.068043256610977
2020-08-17,0.17922624395306033,0.06155556867167616
2020-08-18,0.16046399341960096,0.07488638565697177
2020-08-19,0.16854160235600027,0.07507286847913222
2020-08-20,0.17111097746457093,0.07024346795514332
2020-08-21,0.17169326841481797,0.08188114166294598
2020-08-24,0.15615176606711267,0.08469668159300911
2020-08-25,0.15883458098780429,0.07580583205224514
2020-08-26,0.1593145788162131,0.07102458318522584
2020-08-27,0.16775437870833526,0.07160084190379688
2020-08-28,0.15636186125724416,0.08267969655668789
2020-08-31,0.1485785700371753,0.08607565568142661
