,value
2020-01-02,0.9946131715290576
2020-01-03,0.9969792582365088
2020-01-06,0.992366002128877
2020-01-07,0.9957561131469105
2020-01-08,0.9990916578573747
2020-01-09,0.9965487947535105
2020-01-10,1.0010958376713932
2020-01-13,1.000685541207587
2020-01-14,1.0011958534200012
2020-01-15,1.0080196643874695
2020-01-16,1.0084531361841522
2020-01-17,1.00568498772071
2020-01-21,1.0034085256742182
2020-01-22,1.0035184672676705
2020-01-23,0.9930106620867832
2020-01-24,0.9777100421523518
2020-01-27,0.9889750465785303
2020-01-28,0.9903779419734952
2020-01-29,0.9942887569771942
2020-01-30,0.9785768811223732
2020-01-31,0.9862230575763735
2020-02-03,0.9941240228977847
2020-02-04,1.0067173240037208
2020-02-05,1.0080504887097221
2020-02-06,1.0037603017934758
2020-02-07,1.0064810471715258
2020-02-10,1.0067401701510623
2020-02-11,1.012159879053496
2020-02-12,1.0122971514038634
2020-02-13,1.0090116766571944
2020-02-14,1.0025098638085568
2020-02-18,1.0069191313684496
2020-02-19,1.0055402224750247
2020-02-20,0.9952306343654621
2020-02-21,0.9544565441485879
2020-02-24,0.9216653483986093
2020-02-25,0.9183043876208044
2020-02-26,0.872985748171047
2020-02-27,0.8698412856127309
2020-02-28,0.9102878901348843
2020-03-02,0.8893307086980339
2020-03-03,0.915706819244122
2020-03-04,0.8838361061452097
2020-03-05,0.8721799066610098
2020-03-06,0.7920255480459615
2020-03-09,0.835785473904899
2020-03-10,0.790676237536207
2020-03-11,0.7083825680752306
2020-03-12,0.7784285086842581
2020-03-13,0.7045838374335721
2020-03-16,0.7431367413218563
2020-03-17,0.6918061488331773
2020-03-18,0.7085038420503542
2020-03-19,0.6858861025029678
2020-03-20,0.6665541459665866
2020-03-23,0.749788293081218
2020-03-24,0.7537422453471101
2020-03-25,0.790287586333741
2020-03-26,0.7642314946156874
2020-03-27,0.792215011112972
2020-03-30,0.7818071403157082
2020-03-31,0.752736432068762
2020-04-01,0.7689022889815601
2020-04-02,0.7599161068996289
2020-04-03,0.8079137974810552
2020-04-06,0.80508744807483
2020-04-07,0.8227958848870043
2020-04-08,0.8329162779777077
2020-04-09,0.8303967524970559
2020-04-13,0.851655535112849
2020-04-14,0.8358368362331372
2020-04-15,0.8302579245738361
2020-04-16,0.8619372003531416
2020-04-17,0.8483733342390962
2020-04-20,0.8271829622251881
2020-04-21,0.8444410545588311
2020-04-22,0.843327905042623
2020-04-23,0.852986235783539
2020-04-24,0.8627317236387969
2020-04-27,0.8575702116555242
2020-04-28,0.8713483501674446
2020-04-29,0.865712241784192
2020-04-30,0.848330410866181
2020-05-01,0.8525234972375855
2020-05-04,0.856711252468442
2020-05-05,0.8498428591637837
2020-05-06,0.8531881557860744
2020-05-07,0.863875645406138
2020-05-08,0.8614291110330109
2020-05-11,0.8464733912624365
2020-05-12,0.835813694773526
2020-05-13,0.8446099242901093
2020-05-14,0.848081889114669
2020-05-15,0.8741282188268792
2020-05-18,0.8683294148221806
2020-05-19,0.8769673570788282
2020-05-20,0.8704876588539009
2020-05-21,0.8716390222052741
2020-05-22,0.88046072125295
2020-05-26,0.8881797582290845
2020-05-27,0.8905144075092961
2020-05-28,0.895952252842686
2020-05-29,0.8974196606494157
2020-06-01,0.9018036941546189
2020-06-02,0.9097186165633436
2020-06-03,0.9021472531391298
2020-06-04,0.9169116362249284
2020-06-05,0.9229064598717382
2020-06-08,0.9253276546525209
2020-06-09,0.9274696505786121
2020-06-10,0.8719233169771563
2020-06-11,0.8935248883085407
2020-06-12,0.8982019186058736
2020-06-15,0.9116286532632881
2020-06-16,0.9063967495363867
2020-06-17,0.9048190419779263
2020-06-18,0.8989987764130644
2020-06-19,0.9068817289892823
2020-06-22,0.9087190244129111
2020-06-23,0.8892953548186734
2020-06-24,0.9021264381817437
2020-06-25,0.8844927212011596
2020-06-26,0.8980129046442686
2020-06-29,0.9087426113723733
2020-06-30,0.912951487195152
2020-07-01,0.9170281821903933
2020-07-02,0.9273448953642711
2020-07-06,0.9220455166268422
2020-07-07,0.9291764584876608
2020-07-08,0.9200712563642057
2020-07-09,0.9378012509947515
2020-07-10,0.9378304510110522
2020-07-13,0.9531054360592014
2020-07-14,0.9558220941425178
2020-07-15,0.9540608216731692
2020-07-16,0.9535401571595512
2020-07-17,0.9586342104284663
2020-07-20,0.9747632960027355
2020-07-21,0.9813321139880238
2020-07-22,0.9746126640802462
2020-07-23,0.9717808310282628
2020-07-24,0.9712210956852053
2020-07-27,0.9703049192103247
2020-07-28,0.9758358044281032
2020-07-29,0.9712679820994038
2020-07-30,0.969121874834199
2020-07-31,0.9730258862471052
2020-08-03,0.9809196218727637
2020-08-04,0.9881614855710356
2020-08-05,0.9912673409376875
2020-08-06,0.9964970851301024
2020-08-07,1.0007214207755486
2020-08-10,0.9890155350618047
2020-08-11,1.0047333986987084
2020-08-12,1.0003863099088408
2020-08-13,1.0006528721033998
2020-08-14,1.001164946783264
2020-08-17,0.9965668458343457
2020-08-18,0.9924653840504688
2020-08-19,0.9902282415116023
2020-08-20,0.9907078802946337
2020-08-21,1.0062204095074485
2020-08-24,1.005145358456749
2020-08-25,1.0056644489571753
2020-08-26,1.011938489904024
2020-08-27,1.0205922985614044
2020-08-28,1.016515894873815
2020-08-31,1.0188224611654781
2020-09-01,1.0344428381645518
2020-09-02,1.010731845116014
2020-09-03,1.009500395708323
2020-09-04,0.9891958753547107
2020-09-08,1.0103913319045148
2020-09-09,0.9984004819208311
2020-09-10,0.9985244073596771
2020-09-11,1.0049160565304138
2020-09-14,1.0063163849302352
2020-09-15,1.012920813975331
2020-09-16,1.003427779669983
2020-09-17,0.9938068247764111
2020-09-18,0.9830167549186116
2020-09-21,0.9882798758616296
2020-09-22,0.9663828729453402
2020-09-23,0.9715530521733307
2020-09-24,0.9791393480253529
2020-09-25,0.9940126945791599
2020-09-28,0.9862860059275916
2020-09-29,0.9928500614953053
2020-09-30,0.9959104341204092
2020-10-01,0.997961101436959
2020-10-02,1.0104435442378392
2020-10-05,1.0013230900415735
2020-10-06,1.0162308945265983
2020-10-07,1.0269705043433204
2020-10-08,1.0346464902040766
2020-10-09,1.049447879641045
2020-10-12,1.0464305310585311
2020-10-13,1.034937896674656
2020-10-14,1.0355596180737985
2020-10-15,1.0374346085735704
2020-10-16,1.0234724784737845
2020-10-19,1.0292816219941356
2020-10-20,1.0228061027336692
2020-10-21,1.0349324974191012
2020-10-22,1.0372007344780778
2020-10-23,1.0189311777654244
2020-10-26,1.0092316056566306
2020-10-27,0.9727215184997164
2020-10-28,0.9823622998227008
2020-10-29,0.9824277309568282
2020-10-30,0.9955848968031628
2020-11-02,1.0128720474756303
2020-11-03,1.0114252401764807
2020-11-04,1.024781388445882
2020-11-05,1.021981829849076
2020-11-06,1.0617111253094194
2020-11-09,1.055174413479896
2020-11-10,1.0670528684388454
2020-11-11,1.0627670933934044
2020-11-12,1.0716162299883976
2020-11-13,1.0771591221735506
2020-11-16,1.0729213995737517
2020-11-17,1.0628955510689395
2020-11-18,1.0637536512638126
2020-11-19,1.0594187624214737
2020-11-20,1.0679239725019558
2020-11-23,1.0771794358777542
2020-11-24,1.0774569228805935
2020-11-25,1.0817343939076303
2020-11-27,1.0764877168323392
2020-11-30,1.083539064707072
2020-12-01,1.0816702032132202
2020-12-02,1.0767611481108517
2020-12-03,1.0808639776628406
2020-12-04,1.0806344910604568
2020-12-07,1.0808592522537337
2020-12-08,1.0781364561988704
2020-12-09,1.077733458996225
2020-12-10,1.0775206566265667
2020-12-11,1.0691036042845017
2020-12-14,1.0804855830663822
2020-12-15,1.0793817619888977
2020-12-16,1.0832334091547147
2020-12-17,1.0776025022275895
2020-12-18,1.0819505316038216
2020-12-21,1.0745411406956875
2020-12-22,1.0860580888553188
2020-12-23,1.0877265707328103
2020-12-24,1.095120024963175
2020-12-28,1.0914074764833204
2020-12-29,1.0925871881294105
2020-12-30,1.0981994403825746
2020-12-31,1.08902862889348
2021-01-04,1.097208422357063
2021-01-05,1.0982838723153459
2021-01-06,1.1067649866238058
2021-01-07,1.108824036605823
2021-01-08,1.1027793853294507
2021-01-11,1.0987373751128182
2021-01-12,1.0994311471880254
2021-01-13,1.09968976585748
2021-01-14,1.0977222534613749
2021-01-15,1.1025129716376973
2021-01-19,1.104711085571794
2021-01-20,1.101864433717513
2021-01-21,1.0997157596982192
2021-01-22,1.0953015150924277
2021-01-25,1.0928422509817663
2021-01-26,1.0654449654314937
2021-01-27,1.0828133554460375
2021-01-28,1.0669967977941717
2021-01-29,1.0775207708450951
2021-02-01,1.0912547277749314
2021-02-02,1.090624989805361
2021-02-03,1.0943185293795126
2021-02-04,1.0995183465674803
2021-02-05,1.1060146592751248
2021-02-08,1.107997241933845
2021-02-09,1.1112362547912924
2021-02-10,1.1068014207319608
2021-02-11,1.1095095932275352
2021-02-12,1.1042148717222027
2021-02-16,1.1060444343774969
2021-02-17,1.102042805844244
2021-02-18,1.1016860431942785
2021-02-19,1.0952212933551866
2021-02-22,1.0941926954431755
2021-02-23,1.0961370631632297
2021-02-24,1.0740471215767924
2021-02-25,1.0661170174841261
2021-02-26,1.0895698557743871
2021-03-01,1.085139780865249
2021-03-02,1.0704166216106579
2021-03-03,1.0599966187925627
2021-03-04,1.072252989693653
2021-03-05,1.067794228847836
2021-03-08,1.0871029197022424
2021-03-09,1.1044991229130223
2021-03-10,1.1163587393813805
2021-03-11,1.1267278532357317
2021-03-12,1.1327815163457688
2021-03-15,1.127480805212366
2021-03-16,1.1313001088785963
2021-03-17,1.1165583964536494
2021-03-18,1.1141611448702988
2021-03-19,1.117076339562375
2021-03-22,1.108309664543219
2021-03-23,1.1071586651665142
2021-03-24,1.1127150422762044
2021-03-25,1.12619265601543
2021-03-26,1.126636129762394
2021-03-29,1.1282175887596029
2021-03-30,1.1328197936824413
2021-03-31,1.1406411690940164
2021-04-01,1.1474395566518367
2021-04-05,1.1478721252999773
2021-04-06,1.150735750868178
2021-04-07,1.1509506505127833
2021-04-08,1.157507145504818
2021-04-09,1.1586121128238935
2021-04-12,1.1593885106738797
2021-04-13,1.165897187526307
2021-04-14,1.1814418995223925
2021-04-15,1.1867898337716174
2021-04-16,1.1822679410708
2021-04-19,1.1768938596517795
2021-04-20,1.188771261787546
2021-04-21,1.1785023315439682
2021-04-22,1.1893901259288433
2021-04-23,1.1875521554219066
2021-04-26,1.18842284197227
2021-04-27,1.1884151231819298
2021-04-28,1.199621389530574
2021-04-29,1.1949524700408247
2021-04-30,1.201680258224493
2021-05-03,1.1959544378352331
2021-05-04,1.1971151082423428
2021-05-05,1.2069661968358876
2021-05-06,1.216120486413045
2021-05-07,1.2111459307474781
2021-05-10,1.2010662941598846
2021-05-11,1.1802171100138654
2021-05-12,1.1929122665448342
2021-05-13,1.2072895531667736
2021-05-14,1.2076300806558007
2021-05-17,1.2034691809560425
2021-05-18,1.1978922266012835
2021-05-19,1.2023129828269805
2021-05-20,1.2059110969129951
2021-05-21,1.214363306228832
2021-05-24,1.2109016633794796
2021-05-25,1.212964415876764
2021-05-26,1.214963610858897
2021-05-27,1.2181416596544088
2021-05-28,1.222043519112503
2021-06-01,1.2250271156972918
2021-06-02,1.2224712343148232
2021-06-03,1.231494895389165
2021-06-04,1.2246338434671553
2021-06-07,1.2264947975044105
2021-06-08,1.2213410655988184
2021-06-09,1.2162916011613158
2021-06-10,1.2189327889852162
2021-06-11,1.2168391040654598
2021-06-14,1.2157600051763466
2021-06-15,1.2036692519974523
2021-06-16,1.1973924099411408
2021-06-17,1.177204728171257
2021-06-18,1.2012674512975403
2021-06-21,1.2073224122066113
2021-06-22,1.204003103748321
2021-06-23,1.2087127889437246
2021-06-24,1.217638720802479
2021-06-25,1.221615153310836
2021-06-28,1.2156513677167553
2021-06-29,1.2211292377563971
2021-06-30,1.2271430964524273
2021-07-01,1.2303439396378708
2021-07-02,1.2179850338180442
2021-07-06,1.219441769585975
2021-07-07,1.2078611831842816
2021-07-08,1.2255799346313756
2021-07-09,1.232075347216028
2021-07-12,1.2275980592193683
2021-07-13,1.2269071047824975
2021-07-14,1.2231534321182085
2021-07-15,1.2074341198259289
2021-07-16,1.190759342943269
2021-07-19,1.2086140404559194
2021-07-20,1.2186788345533677
2021-07-21,1.2248106477525729
2021-07-22,1.227996280874081
2021-07-23,1.2357806715202193
2021-07-26,1.238110020812571
2021-07-27,1.2382872302767545
2021-07-28,1.2414610315779593
2021-07-29,1.2316725957542383
2021-07-30,1.2332279078918793
2021-08-02,1.2433281990879614
2021-08-03,1.2395996596796466
2021-08-04,1.2502054169489054
2021-08-05,1.250388804035413
2021-08-06,1.2473835575610155
2021-08-09,1.2481228710747834
2021-08-10,1.249760873880676
2021-08-11,1.2529808689855133
2021-08-12,1.2541874486871414
2021-08-13,1.2531802887829588
2021-08-16,1.241657798121571
2021-08-17,1.2275385225838729
