date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.06411056609190217,-0.016664700335450845
2020-04-02,-0.06838126732271049,-0.019590831890015606
2020-04-03,-0.04316676635976156,-0.019521299487240386
2020-04-06,-0.04303858964461823,-0.016945145870046623
2020-04-07,-0.03236447317072502,-0.02804371337833229
2020-04-08,-0.0288594748085123,-0.02055949760376651
2020-04-09,-0.029001721608933145,-0.014408674313738361
2020-04-13,-0.02144824866230259,-0.007474234653439817
2020-04-14,-0.027740791655606875,-0.009174989061368903
2020-04-15,-0.026350120670907657,-0.01910995588554586
2020-04-16,-0.019059113877074176,-0.011845259137622645
2020-04-17,-0.026491157477174086,-0.0023796500786379756
2020-04-20,-0.034983435811420036,0.003811552206796252
2020-04-21,-0.0251511552712221,0.008659396077029351
2020-04-22,-0.024391465100537798,0.009797208050496683
2020-04-23,-0.01666893029118511,0.015926059897546998
2020-04-24,-0.007459856026080651,0.015987539123202336
2020-04-27,-0.01464174846010218,0.010080911569456398
2020-04-28,-0.008263542458189365,0.00358255937600508
2020-04-29,-0.010081460912685265,0.009586245274724481
2020-04-30,-0.011082497402504667,0.01661637900163471
2020-05-01,-0.014104316367342627,0.009848055220877795
2020-05-04,-0.017281309072232607,0.019604459714419105
2020-05-05,-0.025049508171055623,0.02024998763335913
2020-05-06,-0.02407800123405428,0.014448847654553808
2020-05-07,-0.01832631816675082,0.010170614689996211
2020-05-08,-0.020306114391635256,0.01306935779328808
2020-05-11,-0.027705349587091182,0.023772964634521658
2020-05-12,-0.03415916381597734,0.03422676087787203
2020-05-13,-0.030494145318697246,0.023819760525072314
2020-05-14,-0.02914394190641171,0.036670652713566156
2020-05-15,-0.01784273278043442,0.042869896036625194
2020-05-18,-0.022007273574629328,0.052767122139315725
2020-05-19,-0.015458737786349621,0.04225365970001018
2020-05-20,-0.014567888135805996,0.04916427462340023
2020-05-21,-0.0022832804259281777,0.059126571892333016
2020-05-22,0.012011175110998033,0.049215975061018616
2020-05-26,0.01605730765110291,0.03871543165962376
2020-05-27,0.03363951778425953,0.05581034391582633
2020-05-28,0.03905547185749199,0.05655576361213961
2020-05-29,0.019981869184413043,0.0502193580821857
2020-06-01,0.032193246234428985,0.04809215648240011
2020-06-02,0.022839949083235084,0.045786550778138244
2020-06-03,0.03294994754632835,0.03779924265048424
2020-06-04,0.04533169801739684,0.02777880756599978
2020-06-05,0.08154175257539477,0.02645121726965733
2020-06-08,0.05865634499438743,0.02992489413043096
2020-06-09,0.08298640871211017,0.0369614045426306
2020-06-10,0.09950674564106474,0.0335637050873979
2020-06-11,0.06493713526441222,0.037410789084228825
2020-06-12,0.15321172336820413,0.03763797188136179
2020-06-15,0.137080204401569,0.03748576328363777
2020-06-16,0.17579043225510244,0.05301434210080111
2020-06-17,0.16311032648989007,0.046605333185908815
2020-06-18,0.18750597726033685,0.05002113043498763
2020-06-19,0.21468630054796856,0.05144362214770332
2020-06-22,0.17414862064707673,0.03757672703087606
2020-06-23,0.1422410475296477,0.03402752109690004
2020-06-24,0.11229653291212907,0.043250849637725866
2020-06-25,0.11612177670277092,0.05363730131477417
2020-06-26,0.10634047320823244,0.053532752978027474
2020-06-29,0.1256772133859974,0.04877636371675403
2020-06-30,0.1604191021251493,0.051174757090600355
2020-07-01,0.14130485715333702,0.05066394327580842
2020-07-02,0.16727915438891047,0.04556203552514425
2020-07-06,0.11864597822177944,0.046453202768776194
2020-07-07,0.1272672535913544,0.04692926581563805
2020-07-08,0.09491410940113411,0.049603499034267654
2020-07-09,0.10227876073271508,0.05109198914885358
2020-07-10,0.10710443259229259,0.04877697198513146
2020-07-13,0.0978089581849776,0.046057927440994816
2020-07-14,0.12954752251287927,0.039696284075473556
2020-07-15,0.1237543904137565,0.045958267507056304
2020-07-16,0.10032404139094342,0.0395220669211485
2020-07-17,0.13359367966266436,0.03736833335815156
2020-07-20,0.16748281898597134,0.03997234305587582
2020-07-21,0.15103604162590603,0.03851523253783121
2020-07-22,0.13504015326164792,0.037909271263060706
2020-07-23,0.11855022729176286,0.038101363120740486
2020-07-24,0.11251641884615467,0.03933539000033051
2020-07-27,0.11509620078404721,0.04459665405836783
2020-07-28,0.10339389618577254,0.05266807125230523
2020-07-29,0.09830244667453707,0.04950008918433977
2020-07-30,0.12077133824836084,0.04302796200910036
2020-07-31,0.12256653438488777,0.043337395924772176
2020-08-03,0.12476546400092053,0.04269691742689542
2020-08-04,0.1495730864233164,0.04419599508935837
2020-08-05,0.14765909827727802,0.046242832790847274
2020-08-06,0.14196629160397442,0.057619021945059815
2020-08-07,0.1541564309875096,0.05775294750492104
2020-08-10,0.1744634467750555,0.04106567093558165
2020-08-11,0.19699315052625874,0.04453003328483254
2020-08-12,0.1795696366510197,0.048028106933652996
2020-08-13,0.1759845524151415,0.046425147922155206
2020-08-14,0.1494577776642434,0.04884205254600375
2020-08-17,0.1540380016085273,0.039322593891715586
2020-08-18,0.1331884324820225,0.05181118783292686
2020-08-19,0.13478994659394805,0.041773489683879256
2020-08-20,0.13404642764382366,0.033415099769912505
2020-08-21,0.13956236480840037,0.04962402266739211
2020-08-24,0.12291573978190087,0.0552212349282042
2020-08-25,0.11696414130403257,0.041666884506888664
2020-08-26,0.11966962150478389,0.04162298957744601
2020-08-27,0.12972300931498099,0.047225015473948265
2020-08-28,0.11776973002866928,0.05675587220911374
2020-08-31,0.1149518459756354,0.055100012494187715
