,value
2020-01-02,0.9892047311600713
2020-01-03,0.9933124982178393
2020-01-06,0.990787633578708
2020-01-07,0.9960180519671084
2020-01-08,1.0019281104392268
2020-01-09,0.9993902211145165
2020-01-10,1.002831684171723
2020-01-13,0.99863144510586
2020-01-14,1.0002400629042694
2020-01-15,1.0076227237304551
2020-01-16,1.0099936676157069
2020-01-17,1.0091026497306381
2020-01-21,1.0091332249331049
2020-01-22,1.0107728144463022
2020-01-23,1.0030249457322107
2020-01-24,0.9884572318715681
2020-01-27,0.9975692284699401
2020-01-28,0.9990617678079259
2020-01-29,1.000377707590169
2020-01-30,0.9867983276319212
2020-01-31,0.9914521684636066
2020-02-03,1.0044744496604168
2020-02-04,1.0179291010816973
2020-02-05,1.0198105530681179
2020-02-06,1.0146679509439058
2020-02-07,1.0186159010900182
2020-02-10,1.0201803903915163
2020-02-11,1.0292406790656636
2020-02-12,1.0301670782890389
2020-02-13,1.033068470619404
2020-02-14,1.0327280956158562
2020-02-18,1.034613566945112
2020-02-19,1.0321414537382885
2020-02-20,1.0256359875414542
2020-02-21,0.9935610347815634
2020-02-24,0.9623759595791661
2020-02-25,0.961660012117974
2020-02-26,0.9194094190786704
2020-02-27,0.9115818644852711
2020-02-28,0.9484030237610541
2020-03-02,0.9192780322696439
2020-03-03,0.9572850231230794
2020-03-04,0.9167723806194604
2020-03-05,0.8973159268061843
2020-03-06,0.815602961408703
2020-03-09,0.8619600601601366
2020-03-10,0.8160643751635724
2020-03-11,0.7345493610776505
2020-03-12,0.813338714752318
2020-03-13,0.7080875695775525
2020-03-16,0.7427915394196934
2020-03-17,0.7071182578814625
2020-03-18,0.7141296123432355
2020-03-19,0.69142969989072
2020-03-20,0.6763379689921807
2020-03-23,0.7670233909922448
2020-03-24,0.7828028278616979
2020-03-25,0.8332460134635559
2020-03-26,0.7950935340916163
2020-03-27,0.8202245218808311
2020-03-30,0.8083608742097728
2020-03-31,0.7782835251129957
2020-04-01,0.8009262282795867
2020-04-02,0.7871172048770823
2020-04-03,0.835217227947868
2020-04-06,0.8381790413316826
2020-04-07,0.8745821004301972
2020-04-08,0.9000135664336434
2020-04-09,0.8849363596013122
2020-04-13,0.9003121310618526
2020-04-14,0.8898641283437877
2020-04-15,0.9003688110532962
2020-04-16,0.9108456112177443
2020-04-17,0.8992060538708885
2020-04-20,0.8781148841004798
2020-04-21,0.8991439152641978
2020-04-22,0.8988547898149631
2020-04-23,0.9090980046513839
2020-04-24,0.9166961626779603
2020-04-27,0.911052674965453
2020-04-28,0.9278883218220698
2020-04-29,0.9230966218555006
2020-04-30,0.9047524051574996
2020-05-01,0.9066267471369948
2020-05-04,0.9108753065027352
2020-05-05,0.9039609607285236
2020-05-06,0.9097468497009955
2020-05-07,0.9218471030986803
2020-05-08,0.9192848438601372
2020-05-11,0.9031289969129499
2020-05-12,0.8928987465161577
2020-05-13,0.9066836722199153
2020-05-14,0.912091801192805
2020-05-15,0.9337457658484747
2020-05-18,0.923626200734063
2020-05-19,0.9362890771146801
2020-05-20,0.9304019432836542
2020-05-21,0.9285688717452482
2020-05-22,0.9546412633309689
2020-05-26,0.9763973959570177
2020-05-27,0.9741896179198136
2020-05-28,0.9736863294640049
2020-05-29,0.9747192746159273
2020-06-01,0.9816824284316195
2020-06-02,0.9972791748205667
2020-06-03,1.0025798859842336
2020-06-04,1.0258425228095738
2020-06-05,1.0398434395013831
2020-06-08,1.0324137810254976
2020-06-09,1.0179661483001505
2020-06-10,0.9684164724125599
2020-06-11,0.977753796880221
2020-06-12,0.9835934394667161
2020-06-15,0.9975233025839055
2020-06-16,0.9927162754507632
2020-06-17,0.991276026935395
2020-06-18,0.9826241287245421
2020-06-19,0.9849242838631385
2020-06-22,0.9897601635702153
2020-06-23,0.9618318129369543
2020-06-24,0.9750232213457979
2020-06-25,0.9453900992687672
2020-06-26,0.9588293981412
2020-06-29,0.9682773832111957
2020-06-30,0.9709140355664371
2020-07-01,0.9743813109897268
2020-07-02,0.9924277329938215
2020-07-06,0.9804182739951346
2020-07-07,0.9869741676396546
2020-07-08,0.9805886522852996
2020-07-09,0.9886103226346653
2020-07-10,0.9826262549076551
2020-07-13,0.9948536196263852
