date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.09073122674410787,-0.032112600660987756
2020-04-02,-0.09731499614712459,-0.028377088860959822
2020-04-03,-0.06661860988655846,-0.030256481869385093
2020-04-06,-0.06408875159341154,-0.02955243681050132
2020-04-07,-0.047824294742667584,-0.026078759949727685
2020-04-08,-0.03975656317744703,-0.02067914164688358
2020-04-09,-0.04399366052993677,-0.01765349345994507
2020-04-13,-0.03870627403233195,-0.01736256574966252
2020-04-14,-0.04553492973979498,-0.017641856351533765
2020-04-15,-0.044892026092769835,-0.019218684541265182
2020-04-16,-0.03436625115176377,-0.010007913233719683
2020-04-17,-0.04152011416197161,-0.015064236838430386
2020-04-20,-0.05114872064153119,-0.021057347670250894
2020-04-21,-0.04191106086529346,-0.020661685984266626
2020-04-22,-0.039953925478592466,-0.017182190569287343
2020-04-23,-0.03103154843989538,-0.016321044546850995
2020-04-24,-0.01718778776564356,-0.008023786249592702
2020-04-27,-0.022036717475922132,-0.00716845878136201
2020-04-28,-0.015510044696889325,-0.0044395568589117
2020-04-29,-0.016937349325925246,-0.0006342224084159597
2020-04-30,-0.01877728141665096,-0.001274263371037568
2020-05-01,-0.018550174270443833,-0.0035551366196527527
2020-05-04,-0.02129273447950978,-0.014965321416934322
2020-05-05,-0.030913440175846706,-0.021633384536610345
2020-05-06,-0.026963244503608503,-0.016326863101056653
2020-05-07,-0.018200942793910234,-0.014953684308523021
2020-05-08,-0.023662989552897872,-0.014499837080482244
2020-05-11,-0.033025459964676984,-0.012719359493553045
2020-05-12,-0.04156718697488025,-0.015355164548712937
2020-05-13,-0.034779939355904815,-0.008215798538379187
2020-05-14,-0.03233255998235464,-0.0035493180654471014
2020-05-15,-0.019637860355056047,-0.0011520737327188975
2020-05-18,-0.026084759413311745,-0.004026439510310482
2020-05-19,-0.017023909696155123,0.0035144067402131875
2020-05-20,-0.014854157110096163,0.011480007447749376
2020-05-21,-0.001033652820732155,0.017176372015081688
2020-05-22,0.02073685550057954,0.01660033514872224
2020-05-26,0.029636774716015325,0.01980635851603593
2020-05-27,0.04339197641516481,0.021493739235674714
2020-05-28,0.042451316274324274,0.013667783829074145
2020-05-29,0.028846879812967463,0.006068752036493967
2020-06-01,0.0426363303699399,0.009734441186054084
2020-06-02,0.03606015923253409,0.010310478052413532
2020-06-03,0.05122681292175686,0.01946888237210817
2020-06-04,0.06871463552464571,0.017176372015081685
2020-06-05,0.10792172882884248,0.02612530838337289
2020-06-08,0.08596775874786508,0.028464367174044585
2020-06-09,0.10429087185010978,0.0368896336638272
2020-06-10,0.12210347340570128,0.03148419680677744
2020-06-11,0.08989002724285718,0.03914141414141413
2020-06-12,0.16989895378681732,0.04435483870967741
2020-06-15,0.14971156898996502,0.04220197365358655
2020-06-16,0.18559938350808014,0.04199832425638876
2020-06-17,0.17761656228339212,0.034055997765675174
2020-06-18,0.19969128806131461,0.037215472699343645
2020-06-19,0.2219354890584454,0.03623795559279428
2020-06-22,0.18177529870039616,0.027958152958152942
2020-06-23,0.1522420559003175,0.014406740213191814
2020-06-24,0.12618017880930982,0.01336521901038029
2020-06-25,0.12483291897081272,0.016489782618814865
2020-06-26,0.11301270924973814,0.02048712935809709
2020-06-29,0.1363573532054606,0.02101079923660568
2020-06-30,0.18367494992729755,0.020562770562770553
2020-07-01,0.1650128470229392,0.018217893217893206
2020-07-02,0.19713742055090092,0.02305893031699482
2020-07-06,0.14727799198092242,0.014680212260857414
2020-07-07,0.14786894921380747,0.0015942838523483609
2020-07-08,0.11008895888281575,-0.007284829865475034
2020-07-09,0.10078099619694197,-0.012760089372992604
2020-07-10,0.11401315155285595,-0.006516780710329106
2020-07-13,0.10646110653992301,-0.005219243122468937
2020-07-14,0.1319625500786836,-0.011125075641204681
2020-07-15,0.12894123108115155,-0.003083833728995027
2020-07-16,0.10083141259943891,-0.014069264069264075
2020-07-17,0.12628506584335442,-0.0019957640925382927
2020-07-20,0.163938064473761,-0.009356235162686782
2020-07-21,0.1470395322467038,-0.012451706000093102
2020-07-22,0.1340950196882397,-0.01914886189079738
2020-07-23,0.11842034744311673,-0.017828050086114607
2020-07-24,0.10548825144960493,-0.01625704045058884
2020-07-27,0.10015786731277124,-0.020458036587068847
2020-07-28,0.09214513742324389,-0.02009146767211284
2020-07-29,0.08803145594802073,-0.026090397058138995
2020-07-30,0.11399687703471907,-0.02462412139831495
2020-07-31,0.11210971060547638,-0.019288507191733
2020-08-03,0.11257358132818056,-0.009839175161755812
2020-08-04,0.13735242742521922,-0.0010706139738397864
2020-08-05,0.13271829748002906,-0.0004189359028068768
2020-08-06,0.11538884261529436,-0.004567565051436026
2020-08-07,0.13122793706452668,-0.004195177582274364
2020-08-10,0.1485281593640872,-0.008175068658939631
2020-08-11,0.1817548637920373,-0.011730205278592379
2020-08-12,0.16249506101037126,-0.013801610575804129
2020-08-13,0.15657831888238316,-0.01653051249825444
2020-08-14,0.1275684002578263,-0.015424987199180753
2020-08-17,0.14105668913552574,-0.017525485267420756
2020-08-18,0.11490341335734984,-0.01855536936182098
2020-08-19,0.11991667077905403,-0.019102313457152173
2020-08-20,0.1213422550895679,-0.023582600195503425
2020-08-21,0.10833544435015298,-0.01653633105246009
2020-08-24,0.08705988073012895,-0.02788833030768515
2020-08-25,0.10489893032697781,-0.022093050318856777
2020-08-26,0.11339752151584208,-0.021691570078666858
2020-08-27,0.1177236760619818,-0.015331890331890337
