,value
2020-01-02,0.9900353993466943
2020-01-03,0.9949962841698196
2020-01-06,0.991795406386354
2020-01-07,0.9963261125041839
2020-01-08,1.0027153208163087
2020-01-09,1.0014705298397848
2020-01-10,1.0069499346186352
2020-01-13,1.0058584403894062
2020-01-14,1.0102699208527426
2020-01-15,1.0187070099851576
2020-01-16,1.020406012173105
2020-01-17,1.0198124278311582
2020-01-21,1.019613375503551
2020-01-22,1.019270733380999
2020-01-23,1.0093584643714355
2020-01-24,0.9949484403573786
2020-01-27,1.0027268646421528
2020-01-28,1.004599595209684
2020-01-29,1.0027100452121929
2020-01-30,0.9876675282941951
2020-01-31,0.9956479559904352
2020-02-03,1.006793647781486
2020-02-04,1.0160008429152476
2020-02-05,1.02015270857072
2020-02-06,1.0176258435806786
2020-02-07,1.0198691716821229
2020-02-10,1.0244177109659738
2020-02-11,1.034359068985774
2020-02-12,1.0339828982547876
2020-02-13,1.0359972128528736
2020-02-14,1.032477727199073
2020-02-18,1.0385491774129139
2020-02-19,1.0340504283098078
2020-02-20,1.0242648602607272
2020-02-21,0.9903776442945482
2020-02-24,0.9647434383457004
2020-02-25,0.9639518789411808
2020-02-26,0.9257440212841017
2020-02-27,0.9200773788351133
2020-02-28,0.958038045628272
2020-03-02,0.9358081034336934
2020-03-03,0.96841464237502
2020-03-04,0.9409124004147019
2020-03-05,0.9305357543520266
2020-03-06,0.8723925244306779
2020-03-09,0.9221974529537098
2020-03-10,0.871221689294711
2020-03-11,0.7824855602367102
2020-03-12,0.8733651569334305
2020-03-13,0.7562332065250968
2020-03-16,0.7986460101964964
2020-03-17,0.7481620516840023
2020-03-18,0.7623336058892538
2020-03-19,0.7315312988030397
2020-03-20,0.707825467483085
2020-03-23,0.7962678456952426
2020-03-24,0.8161298974720002
2020-03-25,0.8706521991148908
2020-03-26,0.8355685540547203
2020-03-27,0.86477721694065
2020-03-30,0.8491265176627456
2020-03-31,0.8187169656827836
2020-04-01,0.8426053571518001
2020-04-02,0.8302234449000556
2020-04-03,0.8802845769914535
2020-04-06,0.8828336860359243
2020-04-07,0.9132421407634932
2020-04-08,0.9385826124592795
2020-04-09,0.9248135402088894
2020-04-13,0.9445113028052579
2020-04-14,0.9281699309638969
2020-04-15,0.9280035993136776
2020-04-16,0.9517862101463813
2020-04-17,0.9369904993852642
2020-04-20,0.9116272579871201
2020-04-21,0.9341823249045875
2020-04-22,0.9349986493686214
2020-04-23,0.9487355147289629
2020-04-24,0.9685992040945548
2020-04-27,0.965818765487551
2020-04-28,0.9785673638151169
2020-04-29,0.9773157134092526
2020-04-30,0.9607629152262231
2020-05-01,0.9687858939174444
2020-05-04,0.9753901673341702
2020-05-05,0.9706152584355905
2020-05-06,0.9778925196613328
2020-05-07,0.9887233616447825
2020-05-08,0.9911669241643967
2020-05-11,0.9755352603002052
2020-05-12,0.9605295701716706
2020-05-13,0.971222123623785
2020-05-14,0.9757643964542096
2020-05-15,1.005185150040436
2020-05-18,0.9952645563875605
2020-05-19,1.0107364140489692
2020-05-20,1.0054800275597782
2020-05-21,1.0024308633180425
2020-05-22,1.0348210759280914
2020-05-26,1.0630913830764732
2020-05-27,1.0681193480685494
2020-05-28,1.0762081526934628
2020-05-29,1.0731069105066204
2020-06-01,1.0780984671229066
2020-06-02,1.0828170769326886
2020-06-03,1.0771650501980228
2020-06-04,1.0965281160186997
2020-06-05,1.1082027539390729
2020-06-08,1.1058234747298237
2020-06-09,1.1064826546635202
2020-06-10,1.0286846705419497
2020-06-11,1.0517624776491077
2020-06-12,1.061278050094632
2020-06-15,1.0819330850751536
2020-06-16,1.0667836449320642
2020-06-17,1.0632129170311688
2020-06-18,1.0562083216970013
2020-06-19,1.059327289638896
2020-06-22,1.0630634273950519
2020-06-23,1.033696120509309
2020-06-24,1.048155819528078
2020-06-25,1.0179826853775014
2020-06-26,1.033549745139525
2020-06-29,1.043322709696959
2020-06-30,1.039039475180289
2020-07-01,1.0449874331299547
2020-07-02,1.062897145905118
2020-07-06,1.0487586100530393
2020-07-07,1.054781898349385
2020-07-08,1.0454965148874165
2020-07-09,1.0680584621955995
2020-07-10,1.0660846105254336
2020-07-13,1.0764270878556021
2020-07-14,1.086696664618047
2020-07-15,1.0853531753751327
2020-07-16,1.0789104080363014
2020-07-17,1.0837681350695703
2020-07-20,1.102573407803982
2020-07-21,1.1036516889617412
2020-07-22,1.0945477678014828
2020-07-23,1.0899983547776957
2020-07-24,1.0900951493969713
2020-07-27,1.085833910635624
2020-07-28,1.0958721681888535
2020-07-29,1.0822619357838072
2020-07-30,1.0891664141266235
2020-07-31,1.091561458696113
2020-08-03,1.0978862662290763
2020-08-04,1.1119352989156097
2020-08-05,1.1196867053664452
2020-08-06,1.1272855539705269
2020-08-07,1.1347270523561512
2020-08-10,1.1349740429618551
2020-08-11,1.1410565460195699
2020-08-12,1.1327786772648951
2020-08-13,1.1329715116922063
2020-08-14,1.1291546045035923
2020-08-17,1.1248571425224745
2020-08-18,1.1180999858011509
2020-08-19,1.1151632870226467
2020-08-20,1.1206603019032617
2020-08-21,1.1309790006252856
2020-08-24,1.1300539418245517
2020-08-25,1.1396032445208029
2020-08-26,1.1394747080809478
2020-08-27,1.1494630045500367
2020-08-28,1.1403038293070111
2020-08-31,1.1521318088503596
2020-09-01,1.16923300699499
2020-09-02,1.1366231422488213
2020-09-03,1.1309721953469654
2020-09-04,1.1042251092633881
2020-09-08,1.1274505191286934
2020-09-09,1.112293916235959
2020-09-10,1.1169562783397167
2020-09-11,1.1265588296682343
2020-09-14,1.1231428335859375
2020-09-15,1.123350378307782
2020-09-16,1.1132207309841535
