date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.05630288467672375,0.06645952613694549
2020-04-02,-0.060143447719984554,0.07555392636037797
2020-04-03,-0.03313306443419149,0.06570893264441652
2020-04-06,-0.032624714222325074,0.060175487594842425
2020-04-07,-0.023103840849217457,0.05233789507983056
2020-04-08,-0.017678458335333692,0.05653889121631057
2020-04-09,-0.017952567266021333,0.06281711120420798
2020-04-13,-0.005302665976261753,0.0677861564958339
2020-04-14,-0.011972695875786362,0.0748498813014942
2020-04-15,-0.015585949106900887,0.0690080528790206
2020-04-16,0.0007472098301472731,0.07891123213703857
2020-04-17,-0.005222943144299202,0.0926779313876088
2020-04-20,-0.015466825053336875,0.09561630126146255
2020-04-21,-0.005643906050016252,0.09604105571847506
2020-04-22,-0.004956274286921795,0.09802518270260205
2020-04-23,0.004588057936963235,0.09658799981380627
2020-04-24,0.015455461308900008,0.09321323837452869
2020-04-27,0.006430798517066375,0.07756132756132755
2020-04-28,0.010802554355988014,0.05890704277801052
2020-04-29,0.00825630303890759,0.06474305264627844
2020-04-30,0.0032586439007992293,0.06989247311827956
2020-05-01,0.0020658467651017234,0.06853093143415723
2020-05-04,0.0009664086595734701,0.07795117069310617
2020-05-05,-0.0066380475951512375,0.08408974538006794
2020-05-06,-0.005468855857175944,0.08025531815854396
2020-05-07,0.0017170913716363027,0.07263301214914118
2020-05-08,0.0011368169728696597,0.08666154633896568
2020-05-11,-0.006777415584145468,0.09600614439324116
2020-05-12,-0.013610493062172557,0.10937718195782711
2020-05-13,-0.0078070266487937435,0.10351207931853092
2020-05-14,-0.007264510559296126,0.10554275473630312
2020-05-15,0.0003705883485813497,0.0912174742819904
2020-05-18,-0.004017772876715756,0.10671228413163897
2020-05-19,0.003867784766112332,0.0991132523390588
2020-05-20,0.006679313088482049,0.1025287436577759
2020-05-21,0.021622209467196393,0.1046176046176046
2020-05-22,0.0355484779396488,0.08960573476702507
2020-05-26,0.03943031821111093,0.07137620444072056
2020-05-27,0.05899230705426757,0.08229763068472744
2020-05-28,0.06667996031872532,0.08859912488944746
2020-05-29,0.04857864399239165,0.07945235767816412
2020-06-01,0.06105620853555673,0.07219080202951171
2020-06-02,0.046237007455105374,0.06144975096587999
2020-06-03,0.05560922375611702,0.04775287436577758
2020-06-04,0.0702449276995871,0.043226039193781124
2020-06-05,0.09965731895396965,0.023728064050644693
2020-06-08,0.07889695471795069,0.02658497416561932
2020-06-09,0.10620119935458189,0.031978773914257776
2020-06-10,0.11966996533524063,0.021406460922589948
2020-06-11,0.0838942703639339,0.02604966717869943
2020-06-12,0.15709088217984937,0.017286924544989056
2020-06-15,0.13723326805242023,0.01381906623842107
2020-06-16,0.17286524845882217,0.016891262859004788
2020-06-17,0.1667695079200178,0.021173718754363906
2020-06-18,0.18749954143995276,0.01519806358516035
2020-06-19,0.20482951731712468,0.011770935158031926
2020-06-22,0.16179845548193025,0.012294605036540516
2020-06-23,0.1386585502337124,0.013324489130940738
2020-06-24,0.1162487826852763,0.02890075873946841
2020-06-25,0.12390930017279804,0.035190615835777116
2020-06-26,0.10667778265891562,0.025590001396453
2020-06-29,0.1322468050610598,0.023012381883349618
2020-06-30,0.16865484864496003,0.019183773216031274
2020-07-01,0.15429668849603517,0.019969278033794155
2020-07-02,0.1820739927141216,0.009111855886049429
2020-07-06,0.13717597428247746,0.02576455802262253
2020-07-07,0.14662805054496,0.03151910813201135
2020-07-08,0.13035514981665713,0.04952753339850113
2020-07-09,0.12468090789587946,0.04274309919471209
2020-07-10,0.11921035552316733,0.027207559465623976
2020-07-13,0.10354248604971023,0.021080621887073495
2020-07-14,0.11882173041216569,0.005905832518735739
2020-07-15,0.12017389652227688,0.007249918540241115
2020-07-16,0.07588644787106168,-0.003962435414048322
2020-07-17,0.09958582013916407,-0.007046269143043344
2020-07-20,0.13758651429940283,-0.01622212912535494
2020-07-21,0.1182161672315307,-0.022575990317925808
2020-07-22,0.10582399755190851,-0.025403807661872183
2020-07-23,0.08966724883957687,-0.0246299399525206
2020-07-24,0.08551554861477412,-0.010339570823441798
2020-07-27,0.09177653222725937,-0.0027114462598333638
2020-07-28,0.08869407291786133,0.007983056370153138
2020-07-29,0.07991338440382086,-0.0026358050551599007
2020-07-30,0.11460867444233937,-0.00982171949913886
2020-07-31,0.11000436677835014,-0.01701927105152912
2020-08-03,0.11370248819157175,-0.015064236838430393
2020-08-04,0.13076888097405126,-0.025863473444118608
2020-08-05,0.13597392849345222,-0.020027463575850675
2020-08-06,0.13002692006807232,-0.004427919750500402
2020-08-07,0.1346706287078275,-0.010461760461760469
2020-08-10,0.14258461853624374,-0.022797095377740544
2020-08-11,0.17344496152217018,-0.020987525019783092
2020-08-12,0.15442808056644083,-0.018281897314155388
2020-08-13,0.14787568083077088,-0.01920122887864824
2020-08-14,0.13456603535362,0.0006458595168272503
2020-08-17,0.13713814114040615,-0.016257040450588844
2020-08-18,0.11509968345797225,-0.010473397570171772
2020-08-19,0.12424887313001018,-0.006499325047712152
2020-08-20,0.12393634829844113,-0.01860191779546619
2020-08-21,0.12988972415384312,-0.003997346739282229
2020-08-24,0.12206500564575101,0.008628915886980396
2020-08-25,0.1246540412307899,0.0009309686729041497
2020-08-26,0.11991937276281016,-0.006167667457990043
2020-08-27,0.1289290030151594,0.0039042498719918006
2020-08-28,0.10637291507705858,0.0032176604757249865
2020-08-31,0.10720244705569022,0.011718568170181066
