,value
2020-01-02,0.992338056100669
2020-01-03,0.9960392714272245
2020-01-06,0.9926848734934433
2020-01-07,0.9974700797990362
2020-01-08,1.001509005887395
2020-01-09,0.9997627814886181
2020-01-10,1.0072062990221458
2020-01-13,1.0069823746731619
2020-01-14,1.010790226126917
2020-01-15,1.0166885198163593
2020-01-16,1.018913914877863
2020-01-17,1.017624178457972
2020-01-21,1.0174875866784299
2020-01-22,1.0165814713429246
2020-01-23,1.0078915891622222
2020-01-24,0.9918012208500043
2020-01-27,1.0043944468766508
2020-01-28,1.0062303502237282
2020-01-29,1.0120424080893995
2020-01-30,1.0026344363185977
2020-01-31,1.0108460065514155
2020-02-03,1.017175904261952
2020-02-04,1.0277870444444948
2020-02-05,1.0307396630536199
2020-02-06,1.0246527984365927
2020-02-07,1.0289754282197274
2020-02-10,1.0290824201583855
2020-02-11,1.0330685463429885
2020-02-12,1.0325181006650328
2020-02-13,1.0340670374983874
2020-02-14,1.0323722569558893
2020-02-18,1.0348303033610384
2020-02-19,1.0316866738062747
2020-02-20,1.0207607769925409
2020-02-21,0.9873708114155136
2020-02-24,0.9645249473293984
2020-02-25,0.9632631332569358
2020-02-26,0.917418964078037
2020-02-27,0.9103627515022701
2020-02-28,0.9518344307313994
2020-03-02,0.9307301617190963
2020-03-03,0.9670576105570462
2020-03-04,0.9397680906173581
2020-03-05,0.9181498366604086
2020-03-06,0.8611552892506306
2020-03-09,0.9107604819812379
2020-03-10,0.8685961042286572
2020-03-11,0.7838048202691835
2020-03-12,0.8709558221425151
2020-03-13,0.7895360130216666
2020-03-16,0.8312410937659993
2020-03-17,0.7951979033573169
2020-03-18,0.8126522140535172
2020-03-19,0.7849329353099159
2020-03-20,0.7749391005965423
2020-03-23,0.849363019452293
2020-03-24,0.8440281645857464
2020-03-25,0.8888873928619495
2020-03-26,0.8591511128975015
2020-03-27,0.8908439357054925
2020-03-30,0.8786106271991103
2020-03-31,0.8532997144535472
2020-04-01,0.8746112323785112
2020-04-02,0.8617863353824978
2020-04-03,0.9090308634016205
2020-04-06,0.9090783909808395
2020-04-07,0.9316539324050277
2020-04-08,0.9453295226204537
2020-04-09,0.9443819892232959
2020-04-13,0.9734907652579584
2020-04-14,0.9622349292473602
2020-04-15,0.9589318806803496
2020-04-16,0.9910946679280238
2020-04-17,0.9793126626471393
2020-04-20,0.9552593074718033
2020-04-21,0.978443550329469
2020-04-22,0.9813118221759606
2020-04-23,0.9922108833525388
2020-04-24,0.998933267725004
2020-04-27,0.99227978018271
2020-04-28,1.0078282938304142
2020-04-29,1.0051453096020175
2020-04-30,0.9873653974861358
2020-05-01,0.9917899229629634
2020-05-04,0.9978038397296075
2020-05-05,0.9917223088287349
2020-05-06,0.9976344515166675
2020-05-07,1.0083919318412558
2020-05-08,1.009066008282046
2020-05-11,0.9940248845401277
2020-05-12,0.9843606055728533
2020-05-13,0.9943889944194717
2020-05-14,0.9992245905802307
2020-05-15,1.013103699741564
2020-05-18,1.0046041220134658
2020-05-19,1.017572548992029
2020-05-20,1.013583130988542
2020-05-21,1.016094172652593
2020-05-22,1.020215479062469
2020-05-26,1.0286182124466243
2020-05-27,1.029859611765617
2020-05-28,1.0367559222619787
2020-05-29,1.0345570214754585
2020-06-01,1.0405205700214564
2020-06-02,1.0433042874553562
2020-06-03,1.0337818217603147
2020-06-04,1.0470965789480426
2020-06-05,1.0553651472971233
2020-06-08,1.0584930761825537
2020-06-09,1.06183680671512
2020-06-10,0.9910625360772158
2020-06-11,1.0154686317455304
2020-06-12,1.0238737671394706
2020-06-15,1.0404603458350976
2020-06-16,1.0384318118729725
2020-06-17,1.0397631523550068
2020-06-18,1.027842604418752
2020-06-19,1.0373063861798697
2020-06-22,1.0396062560545698
2020-06-23,1.0105406299075437
2020-06-24,1.0284818692411748
2020-06-25,1.0049324043455856
2020-06-26,1.0175276145180372
2020-06-29,1.0290282908819328
2020-06-30,1.0368615561674464
2020-07-01,1.041829806381271
2020-07-02,1.057542477666141
2020-07-06,1.0526061121648114
2020-07-07,1.0621068078561984
2020-07-08,1.0682059935609511
2020-07-09,1.0729942085817672
2020-07-10,1.064199496374368
2020-07-13,1.079167703524836
2020-07-14,1.0792172872443222
2020-07-15,1.0745698047518486
2020-07-16,1.0693885846459863
2020-07-17,1.081149908719041
2020-07-20,1.0846456151179669
2020-07-21,1.0877275015732495
2020-07-22,1.077554764977536
2020-07-23,1.0744970159802896
2020-07-24,1.0808144406596838
2020-07-27,1.0765808495140603
2020-07-28,1.0871116156062504
2020-07-29,1.0792348226704291
2020-07-30,1.0871876066195618
2020-07-31,1.0872692473028867
2020-08-03,1.0952065524610641
2020-08-04,1.1009729020203514
2020-08-05,1.109763910082937
2020-08-06,1.113856212476891
2020-08-07,1.1196631480440946
2020-08-10,1.1068732000043013
2020-08-11,1.1236934344605338
2020-08-12,1.1162311790671287
2020-08-13,1.116804615421055
2020-08-14,1.121251854486167
2020-08-17,1.115246759385242
2020-08-18,1.109687407198628
2020-08-19,1.1150084493895867
2020-08-20,1.1126281830209357
2020-08-21,1.1282304058041037
2020-08-24,1.130363126511776
2020-08-25,1.1357608310644556
2020-08-26,1.1413286458490188
2020-08-27,1.1509293937581302
2020-08-28,1.1366131030847968
2020-08-31,1.1455694496890492
2020-09-01,1.1621594183854784
2020-09-02,1.1283368560688323
2020-09-03,1.1134961825927936
2020-09-04,1.0917366868449465
2020-09-08,1.114736465674295
2020-09-09,1.1039583760987652
2020-09-10,1.1018473457561588
2020-09-11,1.1151499107005183
2020-09-14,1.1134354260628747
2020-09-15,1.1178814916401154
2020-09-16,1.1069932719591127
2020-09-17,1.093900670355758
2020-09-18,1.0783345073243482
2020-09-21,1.0746034728224485
2020-09-22,1.060158244870739
2020-09-23,1.0658021227874994
2020-09-24,1.0710807872981776
2020-09-25,1.0860207270805402
2020-09-28,1.0863421943836158
2020-09-29,1.0940134408606272
2020-09-30,1.0978925351057622
2020-10-01,1.0882529047168223
2020-10-02,1.1036733235440557
2020-10-05,1.0923886548486594
2020-10-06,1.1090050024856046
2020-10-07,1.120541225558897
2020-10-08,1.1224155221036143
2020-10-09,1.1393661934634036
2020-10-12,1.126295280992092
2020-10-13,1.1143819279844056
2020-10-14,1.1116461634755963
2020-10-15,1.1125332304257596
2020-10-16,1.0992651041447747
2020-10-19,1.1028382144803182
2020-10-20,1.1037842654706673
2020-10-21,1.111831191752598
2020-10-22,1.11718930317499
2020-10-23,1.097188887688526
2020-10-26,1.0925159762765115
2020-10-27,1.059112074508962
2020-10-28,1.0718328922825295
2020-10-29,1.0666769009469785
2020-10-30,1.0761796017729932
2020-11-02,1.0925724823502303
2020-11-03,1.0929919966328054
2020-11-04,1.112114861799846
2020-11-05,1.1116379533153908
2020-11-06,1.1175813850195786
2020-11-09,1.1115207419984916
2020-11-10,1.107892204484783
2020-11-11,1.0937156205433132
2020-11-12,1.1066346048872144
2020-11-13,1.1193333855970697
2020-11-16,1.1147513220717395
2020-11-17,1.1049007034736689
2020-11-18,1.105831817134551
2020-11-19,1.1010434040483965
2020-11-20,1.099793832605746
2020-11-23,1.113826784690837
2020-11-24,1.1155439799674487
2020-11-25,1.1188561686364389
2020-11-27,1.1154120004437413
2020-11-30,1.1231941201852758
2020-12-01,1.1371798261060426
2020-12-02,1.132617905417075
2020-12-03,1.1452259725746672
2020-12-04,1.140690122018371
2020-12-07,1.143198578791424
