date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.0869620552056926,0.03688963366382721
2020-04-02,-0.09052021606857193,0.05293720616301261
2020-04-03,-0.061975377297549435,0.044482846902201736
2020-04-06,-0.0584088630869474,0.0493180654470977
2020-04-07,-0.04333941240507579,0.055404273146208625
2020-04-08,-0.035781171092734536,0.05981473723409208
2020-04-09,-0.03959562644375332,0.0623632639761672
2020-04-13,-0.03364542358851669,0.060396592654657175
2020-04-14,-0.04056110114433193,0.06531327095843224
2020-04-15,-0.03763507852833751,0.06495252059768189
2020-04-16,-0.030947090385590476,0.05134874086486989
2020-04-17,-0.038190886096915344,0.042568542568542575
2020-04-20,-0.0484197951110253,0.042312526183493925
2020-04-21,-0.038313353527021525,0.049748638458315876
2020-04-22,-0.03817252300525741,0.0513371037564586
2020-04-23,-0.02840885220281075,0.05588139459107201
2020-04-24,-0.018297307979535247,0.0543278406181632
2020-04-27,-0.027077927375730934,0.040642601126472104
2020-04-28,-0.02052075954558442,0.03779732811990877
2020-04-29,-0.024509932080724526,0.03936251920122888
2020-04-30,-0.02494515424875865,0.03021575198994554
2020-05-01,-0.02827841870078795,0.026323139226365037
2020-05-04,-0.03097477986185491,0.029063678257226645
2020-05-05,-0.037140519478915585,0.03957198715263231
2020-05-06,-0.03705468583639391,0.029418610063771358
2020-05-07,-0.031576451152839094,0.020760601405762698
2020-05-08,-0.03218769362388372,0.03161802355350743
2020-05-11,-0.03825658533869052,0.03339850114043663
2020-05-12,-0.047869738053291616,0.04232416329190523
2020-05-13,-0.03943363520766806,0.03580738258157614
2020-05-14,-0.039207931473969816,0.041998324256388775
2020-05-15,-0.028480760759960356,0.02723083368244659
2020-05-18,-0.03518958400849798,0.021185355862775222
2020-05-19,-0.02459484263374148,0.03684308523018201
2020-05-20,-0.023689233587018976,0.036249592701205605
2020-05-21,-0.012611872006811714,0.032438439696504215
2020-05-22,0.010866844190594555,0.026171856817018117
2020-05-26,0.020543030819187652,0.03368942885071918
2020-05-27,0.03930244086578766,0.046245868826514
2020-05-28,0.045347662809959784,0.038577014383466
2020-05-29,0.026489952640804417,0.02163338453661035
2020-06-01,0.040081924526951265,0.01807242936275195
2020-06-02,0.025404767114992823,0.011555648652422852
2020-06-03,0.03793123407511286,0.014726760694502636
2020-06-04,0.05916850433528155,0.01747893683377555
2020-06-05,0.0965682009327874,0.008553274682306948
2020-06-08,0.06878564264225086,0.012882279011311275
2020-06-09,0.08239978052717704,-0.003910068426197451
2020-06-10,0.09522313957724979,-0.013923800214122784
2020-06-11,0.0639745134361973,-0.006784434203789033
2020-06-12,0.15266556436600837,-0.007226644323418507
2020-06-15,0.13922603457651242,-0.005539263603779722
2020-06-16,0.18132242584117889,-0.004474468184145594
2020-06-17,0.1674868003344435,-0.00854745612810128
2020-06-18,0.1871506902608012,-0.01562281804217287
2020-06-19,0.21063008947393086,-0.0098508122701671
2020-06-22,0.1707505630728849,-0.00830889540566959
2020-06-23,0.14672877810229773,-0.022005772005771994
2020-06-24,0.1221661709092233,-0.017141460689847777
2020-06-25,0.11586494473393225,-0.005969836614997896
2020-06-26,0.10592591354842133,0.0004014802401899243
2020-06-29,0.12902126746628612,0.008902387934646006
2020-06-30,0.1695980579233219,0.02610785272075595
2020-07-01,0.15284921723846145,0.02709700693571662
2020-07-02,0.18206115849997587,0.022052320439417215
2020-07-06,0.13499138901936636,0.0391705069124424
2020-07-07,0.13624961220667903,0.03192058837220127
2020-07-08,0.10354141613041218,0.03705255318158544
2020-07-09,0.088289306540301,0.02647442163571196
2020-07-10,0.09274257051915036,0.030716147651631522
2020-07-13,0.08922992879001687,0.03313084764697667
2020-07-14,0.10735789209440773,0.02059186333379882
2020-07-15,0.09878503823268721,0.010607224316901738
2020-07-16,0.07719300532613432,0.02295419634129312
2020-07-17,0.0996447975061461,0.04059605269282689
2020-07-20,0.13705003585103034,0.03425964716287297
2020-07-21,0.11979312147666533,0.024187729832891122
2020-07-22,0.10697625956838466,0.02113880742913001
2020-07-23,0.09203931217437032,0.02442629055532281
2020-07-24,0.08827574796236454,0.041620118233021454
2020-07-27,0.0951549331124499,0.03543499511241447
2020-07-28,0.08985653312023303,0.04260345389377647
2020-07-29,0.09385035957819775,0.038099892938602616
2020-07-30,0.12384934929792427,0.04882348833961736
2020-07-31,0.1287850944019215,0.044314108830237856
2020-08-03,0.1296513427789643,0.045000698226504675
2020-08-04,0.14176343938282962,0.029360424521714838
2020-08-05,0.14693559473859452,0.032351161383419445
2020-08-06,0.1343020332374769,0.03373015873015872
2020-08-07,0.13053432173493015,0.017513848159009446
2020-08-10,0.1290190731328977,0.0029209142112367912
2020-08-11,0.15909585718774238,0.004963226737420285
2020-08-12,0.14314475749057454,0.019707443094539867
2020-08-13,0.1405757904127408,0.014173998044965785
2020-08-14,0.11261912660545483,0.012963738770190383
2020-08-17,0.12302539599667102,0.011939673229995808
2020-08-18,0.09788503804556377,0.003712237583205326
2020-08-19,0.09926003895293263,0.014127449611320578
2020-08-20,0.10625214446501884,0.008890750826234698
2020-08-21,0.09428538715371979,0.00510869059256156
2020-08-24,0.06783002435369488,-0.005801098543034024
2020-08-25,0.06406448390960479,-0.005737094446771863
2020-08-26,0.06274957227301849,-0.004072987943955683
2020-08-27,0.07189670863479615,0.008687101429036915
2020-08-28,0.058074537299624474,0.013743425033747616
2020-08-31,0.06220501244249765,0.020562770562770564
