,value
2020-01-02,0.9965352040117695
2020-01-03,1.0008569495270607
2020-01-06,0.9954549490142591
2020-01-07,0.9989580177591506
2020-01-08,1.0009503942504572
2020-01-09,0.9987871982699356
2020-01-10,1.0018598147011257
2020-01-13,1.0007933003235432
2020-01-14,1.0033832619489291
2020-01-15,1.0119041026151012
2020-01-16,1.0106256037107875
2020-01-17,1.007015940336629
2020-01-21,1.0045473099540547
2020-01-22,1.0032999042755049
2020-01-23,0.992501324445766
2020-01-24,0.9778315271043836
2020-01-27,0.9874817500229194
2020-01-28,0.9870207346442581
2020-01-29,0.9905638023812958
2020-01-30,0.9794609380851308
2020-01-31,0.9872419041978882
2020-02-03,0.9958616020469702
2020-02-04,1.0091308617486776
2020-02-05,1.0115013020307326
2020-02-06,1.0069905469434144
2020-02-07,1.0095175152522489
2020-02-10,1.0089189065653488
2020-02-11,1.0151222354853293
2020-02-12,1.0148533477489163
2020-02-13,1.0145863698933355
2020-02-14,1.0085511296588952
2020-02-18,1.0107380009553921
2020-02-19,1.0089163323419261
2020-02-20,0.9985013320016828
2020-02-21,0.9639563794307073
2020-02-24,0.9407769846404621
2020-02-25,0.9389419144664791
2020-02-26,0.8971824913417155
2020-02-27,0.8927567755796251
2020-02-28,0.9353937938555332
2020-03-02,0.9103191065683497
2020-03-03,0.9430810847040897
2020-03-04,0.9122697834139057
2020-03-05,0.8907486561790295
2020-03-06,0.8311390969673079
2020-03-09,0.8754339270781426
2020-03-10,0.8362721551804726
2020-03-11,0.7553616903312215
2020-03-12,0.8379012170397564
2020-03-13,0.7563827758679095
2020-03-16,0.7944541639518078
2020-03-17,0.7470624919103757
2020-03-18,0.7630975767507898
2020-03-19,0.7346055971642876
2020-03-20,0.719206657517368
2020-03-23,0.7918747703388083
2020-03-24,0.8000020070073824
2020-03-25,0.8434711306510903
2020-03-26,0.8162242705946824
2020-03-27,0.8431238864893202
2020-03-30,0.8334069386652551
2020-03-31,0.8067543309035735
2020-04-01,0.8217039498568719
2020-04-02,0.8059821181256475
2020-04-03,0.8625570193221351
2020-04-06,0.8613177548711256
2020-04-07,0.8854260213144429
2020-04-08,0.9025919985947564
2020-04-09,0.8970510957001433
2020-04-13,0.916019562188769
2020-04-14,0.8994653287790528
2020-04-15,0.90182023912212
2020-04-16,0.94080750686191
2020-04-17,0.9241761580179845
2020-04-20,0.8998798623709451
2020-04-21,0.9212277367966164
2020-04-22,0.9188520971164058
2020-04-23,0.9287597570861386
2020-04-24,0.9465695201294968
2020-04-27,0.94691063143323
2020-04-28,0.9639623002514208
2020-04-29,0.9626413853809115
2020-04-30,0.941050363615819
2020-05-01,0.9420491838637028
2020-05-04,0.9441241696493158
2020-05-05,0.9391585150754114
2020-05-06,0.9454394985987132
2020-05-07,0.9576195994472176
2020-05-08,0.9493031489972948
2020-05-11,0.9332350807348634
2020-05-12,0.9236685843543281
2020-05-13,0.934707493500754
2020-05-14,0.9366764911218339
2020-05-15,0.9645275372290172
2020-05-18,0.9529805659377555
2020-05-19,0.9657171663669505
2020-05-20,0.9598299333171849
2020-05-21,0.9596568988336952
2020-05-22,0.9790243855952714
2020-05-26,0.9989530919839377
2020-05-27,0.9996159465706338
2020-05-28,1.000760175268883
2020-05-29,1.010850535037997
2020-06-01,1.0153906338320362
2020-06-02,1.0262904635052612
2020-06-03,1.0230533855360537
2020-06-04,1.0407134453520905
2020-06-05,1.0463653512348576
2020-06-08,1.0504116416795857
2020-06-09,1.0514597287781684
2020-06-10,0.993124974131955
2020-06-11,1.0120854171090297
2020-06-12,1.018918218947354
2020-06-15,1.0359674556335956
2020-06-16,1.024255549378204
2020-06-17,1.0225115387151522
2020-06-18,1.0152078161828881
2020-06-19,1.0196358271348267
2020-06-22,1.0201015678472063
2020-06-23,0.9976676382189777
2020-06-24,1.0089943949536604
2020-06-25,0.9823399597560019
2020-06-26,0.99449351396178
2020-06-29,1.0055567327661084
2020-06-30,1.0115197810216625
2020-07-01,1.0163793136866048
2020-07-02,1.0284668971702449
2020-07-06,1.022982613805075
2020-07-07,1.03025418883031
2020-07-08,1.0181354602837365
2020-07-09,1.0266265097673744
2020-07-10,1.0267231056728845
2020-07-13,1.0409025632133513
2020-07-14,1.0446551058675537
2020-07-15,1.0422739105613434
2020-07-16,1.041672510763209
2020-07-17,1.0471916890178394
2020-07-20,1.0584936070551343
2020-07-21,1.0612265704707542
2020-07-22,1.0525630291096202
2020-07-23,1.0484621231960154
2020-07-24,1.0495279542644407
2020-07-27,1.0442400400137628
2020-07-28,1.0536762636624224
2020-07-29,1.0472285626615856
2020-07-30,1.0510010754531336
2020-07-31,1.0575100079376905
2020-08-03,1.061806808382148
2020-08-04,1.0761421587223365
2020-08-05,1.080596707400343
2020-08-06,1.0879500395085653
2020-08-07,1.091020683966408
2020-08-10,1.0818456607825995
2020-08-11,1.097771719770782
2020-08-12,1.0927919080603765
2020-08-13,1.0938226882888038
2020-08-14,1.0940603684959194
2020-08-17,1.0897009953740198
2020-08-18,1.0864271760899467
2020-08-19,1.0891785639531077
2020-08-20,1.0916555944670314
2020-08-21,1.1040112067677927
2020-08-24,1.1028392321023013
2020-08-25,1.1046524603856407
2020-08-26,1.1084015232753572
2020-08-27,1.1174185639077265
2020-08-28,1.1089534701360144
2020-08-31,1.1155606874209192
2020-09-01,1.1320670724988602
2020-09-02,1.1110273344636192
2020-09-03,1.1098988286480356
2020-09-04,1.0929566533946833
2020-09-08,1.1160166009511774
2020-09-09,1.1022713154912178
2020-09-10,1.1042322255922132
2020-09-11,1.1113208550793956
2020-09-14,1.113939723775946
2020-09-15,1.11453126943208
2020-09-16,1.1049200770541605
2020-09-17,1.0945143329864269
2020-09-18,1.0841821029100702
2020-09-21,1.0899029813076277
2020-09-22,1.0669073673765728
2020-09-23,1.0718076144923783
2020-09-24,1.0792789336403008
2020-09-25,1.0947414624811893
2020-09-28,1.0911017945568937
2020-09-29,1.0978079522349578
2020-09-30,1.100387788890381
2020-10-01,1.098167701094562
2020-10-02,1.1125403683048578
2020-10-05,1.1009602095296998
2020-10-06,1.1161522966690114
2020-10-07,1.1284504973237686
2020-10-08,1.1392620267518025
2020-10-09,1.154125242804122
2020-10-12,1.1451325151685416
2020-10-13,1.1353937964626954
2020-10-14,1.1344644870511953
2020-10-15,1.139214900212465
2020-10-16,1.1241702000787457
2020-10-19,1.1267699466754018
2020-10-20,1.1250276840178557
2020-10-21,1.133588714646968
2020-10-22,1.1374848763315841
2020-10-23,1.1179344564432783
2020-10-26,1.110616396651779
2020-10-27,1.0759206723420989
2020-10-28,1.0835021787341415
2020-10-29,1.0803564913287556
2020-10-30,1.0920241694894899
2020-11-02,1.1103103895871569
2020-11-03,1.116517274735679
2020-11-04,1.129431188441945
2020-11-05,1.1268845665558576
2020-11-06,1.169257783590758
2020-11-09,1.1715686199335482
2020-11-10,1.1785144786321682
2020-11-11,1.1695581960582202
2020-11-12,1.1854202876988875
2020-11-13,1.1904883843415133
2020-11-16,1.186513990203856
2020-11-17,1.1746619425653142
2020-11-18,1.179101825935986
2020-11-19,1.1743111693563226
2020-11-20,1.1876553432905712
2020-11-23,1.2073693280959366
2020-11-24,1.2097488005786046
2020-11-25,1.2149049485193715
2020-11-27,1.2135502363594763
2020-11-30,1.2238383895200762
2020-12-01,1.222417262035871
2020-12-02,1.219682767956545
2020-12-03,1.2265695368017564
2020-12-04,1.2272399614057146
2020-12-07,1.227557372319695
2020-12-08,1.221601526802028
2020-12-09,1.2213898494618383
2020-12-10,1.231351036110193
2020-12-11,1.2169762811909193
2020-12-14,1.2322353867541955
2020-12-15,1.2306472773048607
2020-12-16,1.2330199612075305
2020-12-17,1.2270951565699424
2020-12-18,1.228990488293368
2020-12-21,1.2181693397997442
2020-12-22,1.2274747718839587
2020-12-23,1.230706508794564
2020-12-24,1.2403068508353514
2020-12-28,1.2379175276589525
2020-12-29,1.240475605382665
2020-12-30,1.247410017821377
2020-12-31,1.2371455444684498
2021-01-04,1.247417104415046
2021-01-05,1.2580889104337247
2021-01-06,1.2716919407301486
2021-01-07,1.2738124568280085
2021-01-08,1.268535296969934
2021-01-11,1.2676773601532592
2021-01-12,1.2702111655821078
2021-01-13,1.2606454648591503
2021-01-14,1.2538244547140958
2021-01-15,1.2618484829443368
2021-01-19,1.2693534448625774
2021-01-20,1.2637519037365967
2021-01-21,1.2553735097182743
2021-01-22,1.2506483115414921
2021-01-25,1.2494185600351329
2021-01-26,1.2147005291314976
2021-01-27,1.2262843676774173
2021-01-28,1.209123096041319
2021-01-29,1.223399242963985
2021-02-01,1.2381504145492268
2021-02-02,1.2356791984920141
2021-02-03,1.2389712839853522
2021-02-04,1.2437595484293624
2021-02-05,1.2534613779843915
2021-02-08,1.2556094128145119
2021-02-09,1.260444690826678
2021-02-10,1.2550244130001118
2021-02-11,1.2557306330533762
2021-02-12,1.2517197006936724
2021-02-16,1.2553345416522645
2021-02-17,1.2477062374377976
2021-02-18,1.2437479498472905
2021-02-19,1.2419650649322025
2021-02-22,1.2453520711389818
2021-02-23,1.253858347672902
2021-02-24,1.231344114463182
2021-02-25,1.2225264466805112
2021-02-26,1.250372360481022
2021-03-01,1.2426634947627748
2021-03-02,1.2260552696892055
2021-03-03,1.2134909999178374
2021-03-04,1.2255139855365074
2021-03-05,1.2357968014291671
2021-03-08,1.2503808243573595
2021-03-09,1.271975873687111
2021-03-10,1.278370948151067
2021-03-11,1.2867963073804685
2021-03-12,1.296498227349663
2021-03-15,1.2928535768080667
2021-03-16,1.297709091381054
2021-03-17,1.2846848375216726
2021-03-18,1.2814039717674517
2021-03-19,1.284020910448077
2021-03-22,1.2746008621854712
2021-03-23,1.269901404413043
