source_ledger,run_tag,experiment_id,timestamp,model_family,model_name,edge_type,directed,graph_window,lookback_window,target_type,target_horizon,split_train_end,split_val_start,split_test_start,rebalance_freq,baseline_version,prediction_rows,prediction_unique_pairs,prediction_rmse,prediction_mae,prediction_rank_ic,portfolio_final_value,portfolio_cumulative_return,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe_annualized,portfolio_sortino_annualized,portfolio_max_drawdown,portfolio_turnover,runtime_train_seconds,runtime_inference_seconds,out_dir,run_key,config_hash
results/results.jsonl,xgb_raw,xgb_raw_1771422490_reb1,2026-02-18 13:48:10,xgboost,xgb_raw,none,False,,60,regression,1,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,40192,40192,0.019947379740142,0.013107034237569001,0.008801086458617,1.503081825414194,0.509559545848257,0.086135395987986,0.202698861092434,0.504663737480047,0.6306350451168601,-0.31174350295177905,0.582722929936305,0.622444868087768,0.019186973571777,experiments/xgb_raw,,
results/results.jsonl,xgb_raw,xgb_raw_1771422491_reb5,2026-02-18 13:48:11,xgboost,xgb_raw,none,False,,60,regression,1,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,40192,40192,0.019947379740142,0.013107034237569001,0.008801086458617,1.833378628074269,0.841279804179022,0.13029764839830302,0.206133527933018,0.6935574558215141,0.8224140648386361,-0.33124778924294,0.13925159235668702,0.622444868087768,0.019186973571777,experiments/xgb_raw,,
results/results_retune.jsonl,graphlasso_linear_retune_medium,graphlasso_linear_retune_medium_1772040946_reb1,2026-02-25 17:35:46,xgboost,graphlasso_linear,graphlasso,False,2010-01-01..2020-01-01,60,regression,1,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,40192,40192,0.020002283050528,0.013127531253621,0.006435047221727001,1.401273809829456,0.414350072454211,0.07203084071039201,0.22193672901048303,0.415966338140386,0.531119450934259,-0.32232673502708303,0.555095541401273,25.50920796394348,0.000696182250976,experiments_retune/graphlasso_linear,bf9a5e43e198,ac817b3b8ca4
results/results_retune.jsonl,graphlasso_linear_retune_medium,graphlasso_linear_retune_medium_1772040947_reb5,2026-02-25 17:35:47,xgboost,graphlasso_linear,graphlasso,False,2010-01-01..2020-01-01,60,regression,1,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,40192,40192,0.020002283050528,0.013127531253621,0.006435047221727001,1.720628900385555,0.7366852879547511,0.11711250581207601,0.22146125309826803,0.602923245858214,0.7369788606180081,-0.357221223063237,0.135987261146496,25.50920796394348,0.000696182250976,experiments_retune/graphlasso_linear,e7ba2d09b1d2,ac817b3b8ca4
results/results_tuned_all.jsonl,mlp_tuned_all,mlp_tuned_all_1772203207_reb1,2026-02-27 14:40:07,mlp,mlp,none,False,,60,regression,1,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v2,40192,40192,0.019975198214740003,0.013146037612126,-0.0028926887542900003,2.220050429438613,1.232759773899911,0.17487210424978,0.20892689616984503,0.8702984391604671,1.121565885043492,-0.28062674388166003,0.509952229299363,35.315099000930786,19.4992458820343,experiments_tuned_all/mlp,9eb683c0b5de,2f660908496d
results/results_tuned_all.jsonl,xgb_node2vec_corr_tuned_all,xgb_node2vec_corr_tuned_all_1771427144_reb1,2026-02-18 15:05:44,xgboost,xgb_node2vec,node2vec_correlation,False,2000-03-29..2015-12-31,60,regression,1,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,40192,40192,0.020150503013505003,0.013203828907202002,0.016009222498116,1.7477071345368551,0.7587939828469491,0.119951413221014,0.20000081259429703,0.6601739988995341,0.826519055097465,-0.29483872443435605,0.5656847133757961,80.5479748249054,0.088141202926635,experiments_tuned_all/xgb_node2vec_corr,75fe00a1eac3,legacy_config
results/results_tuned_all.jsonl,gcn_sector_only_tuned_all,gcn_sector_only_tuned_all_1771427780_reb1,2026-02-18 15:16:20,gnn,gcn,sector,False,2000-06-26..2024-12-27,60,regression,1,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,40192,40192,0.019992852014898,0.013149809836557001,0.005828628484046,1.684794165307252,0.701806088025791,0.11257447259433001,0.208652924290701,0.6060515515289381,0.744592648830779,-0.31936000946327303,0.576990445859872,31.151485204696655,20.529932975769043,experiments_tuned_all/gcn_sector_only,66e308f98ffa,legacy_config
results/results_tuned_all.jsonl,gat_corr_only_tuned_all,gat_corr_only_tuned_all_1771429248_reb1,2026-02-18 15:40:48,gnn,gat,corr,False,2000-06-26..2024-12-27,60,regression,1,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,40192,40192,0.020076720531110002,0.013168452906317001,0.015159966113284,1.631072910204374,0.648872936840449,0.10554334286004101,0.21610450715078103,0.562531025672602,0.6843661687554,-0.351065433535357,0.514570063694267,65.78625512123108,20.894680976867676,experiments_tuned_all/gat_corr_only,70c479a4422f,legacy_config
results/results_tuned_all.jsonl,gcn_granger_only_tuned_all,gcn_granger_only_tuned_all_1771428065_reb1,2026-02-18 15:21:05,gnn,gcn,granger,True,2000-06-26..2024-12-27,250,regression,1,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,40192,40192,0.019999401545765003,0.01314469514397,-0.00160778863588,1.564397468012839,0.574771535345945,0.09539089700938601,0.19708354714963502,0.554129052999207,0.7086442693787971,-0.29018493241855203,0.477945859872611,35.172977924346924,20.678525924682617,experiments_tuned_all/gcn_granger_only,3591d70c5c82,legacy_config
results/results_tuned_all.jsonl,xgb_node2vec_corr_tuned_all,xgb_node2vec_corr_tuned_all_1771427144_reb5,2026-02-18 15:05:44,xgboost,xgb_node2vec,node2vec_correlation,False,2000-03-29..2015-12-31,60,regression,1,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,40192,40192,0.020150503013505003,0.013203828907202002,0.016009222498116,2.011157102306581,1.023915185901033,0.15194962775870702,0.198616588934712,0.8058302190730461,0.952996280690607,-0.32841801947119004,0.136146496815286,80.5479748249054,0.088141202926635,experiments_tuned_all/xgb_node2vec_corr,64952c498bf0,legacy_config
