decision_rank,run_tag,model_name,edge_type,rebalance_freq,portfolio_sharpe_annualized,portfolio_annualized_return,portfolio_max_drawdown,prediction_rank_ic,portfolio_turnover,portfolio_final_value,test_final_value,delta_final_value_vs_test_bh,ratio_final_value_vs_test_bh,delta_annualized_return_vs_test_bh,test_start_date,test_end_date
1,xgb_raw,xgb_raw,none,5,0.6935574558215141,0.13029764839830302,-0.33124778924294,0.008801086458617,0.13925159235668702,1.833378628074269,5.049288556044275,-3.2159099279700065,0.3630964259072923,-0.2539263707026759,2020-01-02,2024-12-27
2,xgb_raw,xgb_raw,none,1,0.504663737480047,0.086135395987986,-0.31174350295177905,0.008801086458617,0.582722929936305,1.503081825414194,5.049288556044275,-3.5462067306300815,0.29768190285241725,-0.2980886231129929,2020-01-02,2024-12-27
3,gcn_corr_sector_granger,gcn,corr+sector+granger,1,,0.115965947781237,-0.27260297612254203,0.009274505206869,0.5269108280254771,1.7107648418350752,5.049288556044275,-3.3385237142092,0.33881304719398453,-0.2682580713197419,2020-01-02,2024-12-27
4,tgcn_static_corr_only,tgcn_static,corr,1,,0.100142280793426,-0.289306420868491,0.009905304465764,0.560429936305732,1.5960490314665992,5.049288556044275,-3.4532395245776764,0.316093844459739,-0.2840817383075529,2020-01-02,2024-12-27
5,gcn_granger_only,gcn,granger,1,,0.11901985934974,-0.29260598780463803,0.016541811477636,0.5936305732484071,1.7376416965657782,5.049288556044275,-3.311646859478497,0.3441359465356215,-0.2652041597512389,2020-01-02,2024-12-27
6,gcn_corr_only,gcn,corr,1,,0.091277776105187,-0.29541496548940105,0.00423778012653,0.5341560509554141,1.530758503102158,5.049288556044275,-3.5185300529421175,0.30316320529349744,-0.2929462429957919,2020-01-02,2024-12-27
7,tgat_static_corr_only,tgat_static,corr,1,,0.11336091029073601,-0.30300840703206805,0.010112771971143,0.609474522292993,1.69796229090714,5.049288556044275,-3.3513262651371356,0.3362775313909493,-0.2708631088102429,2020-01-02,2024-12-27
8,lstm,lstm,none,1,,0.128139159894537,-0.31588249454780903,0.002284211950072,0.23749999999999902,1.815768392670026,5.049288556044275,-3.233520163374249,0.35960875923726954,-0.2560848592064419,2020-01-02,2024-12-27
9,gat_sector_only,gat,sector,5,,0.12171438591214301,-0.31599319939013004,-0.0020282225656,0.142356687898089,1.7536773785700521,5.049288556044275,-3.295611177474223,0.3473117765216258,-0.2625096331888359,2020-01-02,2024-12-27
10,gat_sector_only,gat,sector,1,,0.06907434379702501,-0.317845736989675,-0.0020282225656,0.556847133757961,1.380095459217998,5.049288556044275,-3.6691930968262776,0.2733247355344642,-0.3151496753039539,2020-01-02,2024-12-27
