experiment_id,timestamp,seed,model_name,model_family,edge_type,directed,graph_window,target_type,target_horizon,lookback_window,protocol_version,split_train_end,split_val_start,split_test_start,rebalance_freq,baseline_version,target_policy_hash,prediction_rows,prediction_unique_pairs,prediction_rmse,prediction_mae,prediction_rank_ic,portfolio_final_value,portfolio_cumulative_return,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe,portfolio_max_drawdown,portfolio_turnover,runtime_train_seconds,runtime_inference_seconds,run_tag,out_dir,artifact_prefix,portfolio_sharpe_daily,portfolio_sharpe_annualized,portfolio_sortino_annualized
xgb_raw_1771422490_reb1,2026-02-18 13:48:10,42,xgb_raw,xgboost,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019947379740142,0.013107034237569001,0.008801086458617,1.503081825414194,0.509559545848257,0.086135395987986,0.202698861092434,0.031790827263918,-0.31174350295177905,0.582722929936305,0.622444868087768,0.019186973571777,xgb_raw,experiments/xgb_raw,xgb_raw,0.031790827263918,0.504663737480047,0.6306350451168601
xgb_raw_1771282536_reb1,2026-02-16 22:55:36,42,xgb_raw,xgboost,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019947379740142,0.013107034237569001,0.008801086458617,1.503081825414194,0.509559545848257,0.086135395987986,0.202698861092434,0.031790827263918,-0.31174350295177905,0.582722929936305,0.861003160476684,0.015546083450317001,xgb_raw,experiments/xgb_raw,xgb_raw,,,
lstm_1771282799_reb1,2026-02-16 22:59:59,42,lstm,lstm,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.020037655371170002,0.013169270970445,0.002284211950072,1.815768392670026,0.8238210331083171,0.128139159894537,0.20316496122098301,0.04350945388044301,-0.31588249454780903,0.23749999999999902,243.98795676231384,11.100013971328735,lstm,experiments/lstm,lstm,,,
xgb_node2vec_corr_1771283062_reb1,2026-02-16 23:04:22,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2015-12-31,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019940051816401003,0.013097941587464001,0.013589118640618,1.538667396708434,0.548339563489055,0.091677039332131,0.203281853248566,0.033201220880064004,-0.320670824958871,0.586305732484076,248.54894089698792,0.049585819244384,xgb_node2vec_corr,experiments/xgb_node2vec_corr,xgb_node2vec,,,
gcn_corr_only_1771283202_reb1,2026-02-16 23:06:42,42,gcn,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.020009058674316002,0.013168537576304,0.00423778012653,1.530758503102158,0.54551920681665,0.091277776105187,0.204302291786276,0.032764532183893004,-0.29541496548940105,0.5341560509554141,109.77868962287903,21.41129493713379,gcn_corr_only,experiments/gcn_corr_only,gcn,,,
gcn_sector_only_1771283322_reb1,2026-02-16 23:08:42,42,gcn,gnn,sector,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019990163248939003,0.013138590085995001,0.015262394162166001,1.968892251818249,0.9847223633705181,0.147438903340744,0.214855362882851,0.046626851460529,-0.33324707370197904,0.523726114649681,85.639230966568,21.76966881752014,gcn_sector_only,experiments/gcn_sector_only,gcn,,,
gcn_granger_only_1771283458_reb1,2026-02-16 23:10:58,42,gcn,gnn,granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019929752718940003,0.013115213296405002,0.016541811477636,1.7376416965657782,0.75151462191604,0.11901985934974,0.202557716082017,0.040858335492319,-0.29260598780463803,0.5936305732484071,99.50034189224243,21.051489114761353,gcn_granger_only,experiments/gcn_granger_only,gcn,,,
gcn_corr_sector_granger_1771283603_reb1,2026-02-16 23:13:23,42,gcn,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.020026822217278,0.013186111208218,0.009274505206869,1.7107648418350752,0.7278194170427541,0.115965947781237,0.20469027146753901,0.039589472103272,-0.27260297612254203,0.5269108280254771,108.27492928504944,22.08402395248413,gcn_corr_sector_granger,experiments/gcn_corr_sector_granger,gcn,,,
gat_corr_only_1771283888_reb1,2026-02-16 23:18:08,42,gat,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.01996662840225,0.013142530676067,-0.006618227227731001,1.313342699173566,0.319986316106115,0.057281618083008,0.21472074056219,0.022810253203185003,-0.33511673474525605,0.543312101910828,249.06005096435547,22.659889936447144,gat_corr_only,experiments/gat_corr_only,gat,,,
gat_sector_only_1771284087_reb1,2026-02-16 23:21:27,42,gat,gnn,sector,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019904088049881002,0.013130382199101,-0.0020282225656,1.380095459217998,0.395015693314752,0.06907434379702501,0.20339067703552802,0.026428433700277,-0.317845736989675,0.556847133757961,163.98522520065308,21.780679941177368,gat_sector_only,experiments/gat_sector_only,gat,,,
gat_granger_only_1771284274_reb1,2026-02-16 23:24:34,42,gat,gnn,granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019937337451208,0.013115170393100001,-0.0006376135493440001,1.4915439772110461,0.504898776174272,0.08546173895011,0.21642536991753303,0.030157024807614,-0.32198464021676404,0.5644904458598721,140.94745326042175,29.64570379257202,gat_granger_only,experiments/gat_granger_only,gat,,,
gat_corr_sector_granger_1771284722_reb1,2026-02-16 23:32:02,42,gat,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.020005748295736002,0.013189475761456002,0.0020926991586760002,1.535370004866508,0.551327192219093,0.09209934879991401,0.21996555246401503,0.031571200230955006,-0.33458803567433004,0.559554140127388,375.8171980381012,21.075637817382812,gat_corr_sector_granger,experiments/gat_corr_sector_granger,gat,,,
tgcn_static_corr_only_1771285862_reb1,2026-02-16 23:51:02,42,tgcn_static,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019965907452344,0.013132280305549,0.009905304465764,1.5960490314665992,0.6091123235283931,0.100142280793426,0.212333560776009,0.034530329153113,-0.289306420868491,0.560429936305732,1077.1287219524384,21.38564896583557,tgcn_static_corr_only,experiments/tgcn_static_corr_only,tgcn_static,,,
tgat_static_corr_only_1771286910_reb1,2026-02-17 00:08:30,42,tgat_static,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019920800778952003,0.013134978536789,0.010112771971143,1.69796229090714,0.7078101606848101,0.11336091029073601,0.20808724429612202,0.038699683279433,-0.30300840703206805,0.609474522292993,986.1724600791931,21.530554056167603,tgat_static_corr_only,experiments/tgat_static_corr_only,tgat_static,,,
xgb_raw_1771422491_reb5,2026-02-18 13:48:11,42,xgb_raw,xgboost,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,40192,40192,0.019947379740142,0.013107034237569001,0.008801086458617,1.833378628074269,0.841279804179022,0.13029764839830302,0.206133527933018,0.043690013048533004,-0.33124778924294,0.13925159235668702,0.622444868087768,0.019186973571777,xgb_raw,experiments/xgb_raw,xgb_raw,0.043690013048533004,0.6935574558215141,0.8224140648386361
