run_tag,model_name,edge_type,rebalance_freq,rebalance_label,cost_bps,cost_label,strategy_label,long_k,short_k,long_leg_gross,short_leg_gross,portfolio_final_value,portfolio_annualized_return,portfolio_sharpe_annualized,portfolio_max_drawdown,portfolio_turnover,n_points,turnover_definition,cost_formula,long_sum_target,short_sum_target
gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,5,reb=5,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,1.1221394905282749,0.11427465234222023,1.0594260848315267,-0.0613908053644292,0.35777679359767844,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,21,reb=21,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.9420659607987233,-0.06518845948820207,-0.5137959854183438,-0.17951888286764317,0.08018699530590091,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,5,reb=5,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,1.015931486396325,0.012359826202278379,0.1906534961500054,-0.15694462612311844,0.31057046423249796,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,21,reb=21,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.8446041373188597,-0.15898426750996775,-1.531541004787954,-0.207309653520669,0.07204970872338096,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_raw_rolling_cv_y2021,xgb_raw,none,5,reb=5,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.9064302622937769,-0.09954401225889808,-0.7279073021758995,-0.1783724322942256,0.3229009981650166,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_raw_rolling_cv_y2021,xgb_raw,none,21,reb=21,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.7982154075899462,-0.20744716637296423,-1.789519895320514,-0.2731006449704595,0.07787370252786421,251,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_raw_rolling_cv_y2024,xgb_raw,none,5,reb=5,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,1.210342756880796,0.2206326135837211,1.534166305519531,-0.06278588318727141,0.3291154688581488,250,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_raw_rolling_cv_y2024,xgb_raw,none,21,reb=21,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.9673803035701736,-0.026142651867897437,-0.19977279326160421,-0.1319029192134814,0.07665431557074635,250,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,5,reb=5,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,1.0976626318456613,0.10713227418865245,0.8552262249816374,-0.08022041830455096,0.2924443534012719,250,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,21,reb=21,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.9328605155949884,-0.060315365057276304,-0.5594282375009283,-0.143601855242525,0.07403284649695545,250,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
gat_corr_sector_granger_rolling_cv_y2024,gat,corr+sector+granger,5,reb=5,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,1.2006739821074717,0.20395735985892172,1.4900688498129873,-0.05734586676176867,0.34987872205478776,250,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
gat_corr_sector_granger_rolling_cv_y2024,gat,corr+sector+granger,21,reb=21,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,1.1061078483808728,0.10840495599052202,0.901725770864581,-0.07590137853983703,0.08294882900914088,250,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_raw_rolling_cv_y2023,xgb_raw,none,5,reb=5,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.8856343981759192,-0.11141029242271316,-0.8447317469925751,-0.12414845234129257,0.3057005002536991,249,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_raw_rolling_cv_y2023,xgb_raw,none,21,reb=21,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.9630898718527041,-0.032719748926650416,-0.27016664256899225,-0.10035874239554898,0.08205376429751976,249,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_node2vec_corr_rolling_cv_y2023,xgb_node2vec,node2vec_correlation,5,reb=5,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.9449411125201738,-0.058749289004725536,-0.3796256392095599,-0.1379923847373632,0.2962351604401804,249,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
xgb_node2vec_corr_rolling_cv_y2023,xgb_node2vec,node2vec_correlation,21,reb=21,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.9398888778318824,-0.06384226078406996,-0.5169060675943936,-0.15274925033374231,0.07704041132575723,249,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
gat_corr_sector_granger_rolling_cv_y2023,gat,corr+sector+granger,5,reb=5,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,1.0068162354210368,0.004941301270420473,0.11722101625743407,-0.10483961343617765,0.34618234620936855,249,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
gat_corr_sector_granger_rolling_cv_y2023,gat,corr+sector+granger,21,reb=21,0,gross (0 bps),"Top 3 long, bottom 3 short (market-neutral)",3,3,0.5,0.5,0.9564373037867395,-0.045934057943121664,-0.3232877994619828,-0.14686735410473506,0.08592931012617322,249,sum(abs(w_t - w_{t-1})),cost_t=(bps/10000)*turnover_t on rebalance dates,,
