entry_name,strategy_kind,run_tag,model_name,edge_type,rebalance_freq,fold_year,fold_label,configured_test_start,observed_test_start,observed_test_end,summary_scope,n_folds,portfolio_sharpe_annualized,portfolio_annualized_return,portfolio_max_drawdown,portfolio_turnover
Buy and hold (fixed shares),baseline_buy_and_hold,,baseline,none,5,2020,test_2020,2020-01-01,2020-01-02,2020-12-30,fold,1,1.2618359573,0.5091658914,-0.31130519370000004,0.0
Buy and hold (fixed shares),baseline_buy_and_hold,,baseline,none,5,2021,test_2021,2021-01-01,2021-01-04,2021-12-30,fold,1,2.1339828721,0.506072897,-0.10275581,0.0
Buy and hold (fixed shares),baseline_buy_and_hold,,baseline,none,5,2022,test_2022,2022-01-01,2022-01-03,2022-12-29,fold,1,-0.8922555311,-0.2980527705,-0.3434520579,0.0
Buy and hold (fixed shares),baseline_buy_and_hold,,baseline,none,5,2023,test_2023,2023-01-01,2023-01-03,2023-12-28,fold,1,2.6583074135,0.7445041800000001,-0.11661325040000001,0.0
Buy and hold (fixed shares),baseline_buy_and_hold,,baseline,none,5,2024,test_2024,2024-01-01,2024-01-02,2024-12-27,fold,1,2.1473161247,0.9224739788,-0.1888950401,0.0
"Equal weight (rebalanced, all assets)",baseline_equal_weight,,baseline,none,5,2020,test_2020,2020-01-01,2020-01-02,2020-12-30,fold,1,0.5293755213,0.135379135,-0.3465979981,0.0
"Equal weight (rebalanced, all assets)",baseline_equal_weight,,baseline,none,5,2021,test_2021,2021-01-01,2021-01-04,2021-12-30,fold,1,2.5478677158,0.3648137906,-0.044296439900000005,0.0
"Equal weight (rebalanced, all assets)",baseline_equal_weight,,baseline,none,5,2022,test_2022,2022-01-01,2022-01-03,2022-12-29,fold,1,-0.4003257127,-0.1089588813,-0.2194262751,0.0
"Equal weight (rebalanced, all assets)",baseline_equal_weight,,baseline,none,5,2023,test_2023,2023-01-01,2023-01-03,2023-12-28,fold,1,1.3228409498,0.1729996778,-0.10996560450000001,0.0
"Equal weight (rebalanced, all assets)",baseline_equal_weight,,baseline,none,5,2024,test_2024,2024-01-01,2024-01-02,2024-12-27,fold,1,2.1363308112,0.25976119410000004,-0.060381296200000004,0.0
GAT (corr+sec+gr),model_long_only_topk,gat_corr_sector_granger_rolling_cv_y2020,gat,corr+sector+granger,5,2020,test_2020,2020-01-01,2020-01-02,2020-12-30,fold,1,0.699790035218618,0.216420133442172,-0.310241275399236,0.13809523809523802
GAT (corr+sec+gr),model_long_only_topk,gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,5,2021,test_2021,2021-01-01,2021-01-04,2021-12-30,fold,1,2.438634296123884,0.32565165029757404,-0.057761408328991,0.150996015936255
GAT (corr+sec+gr),model_long_only_topk,gat_corr_sector_granger_rolling_cv_y2022,gat,corr+sector+granger,5,2022,test_2022,2022-01-01,2022-01-03,2022-12-29,fold,1,-0.42445883314243804,-0.11361365901709002,-0.232609887119737,0.1496
