run_id,run_key,run_tag,model_family,model_name,edge_type,corr_window,lookback_window,seed,target_type,target_horizon,rebalance_freq,split_id,config_hash,inclusion_status
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-da1e51e1afff__sd-42__tg-fixed-medium,3c2fb91efc8d,gat_corr_sector_granger_rolling_cv_y2020,gnn,gat,corr+sector+granger,60,250,42,regression,1,1,da1e51e1afff,992bded66442,included
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-3170f4531422__sd-42__tg-fixed-medium,9b728eaa7b79,gat_corr_sector_granger_rolling_cv_y2021,gnn,gat,corr+sector+granger,60,250,42,regression,1,1,3170f4531422,09f784f0bc8d,included
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2041bcaeeadb__sd-42__tg-fixed-medium,e2c9d7bf47cc,gat_corr_sector_granger_rolling_cv_y2022,gnn,gat,corr+sector+granger,60,250,42,regression,1,1,2041bcaeeadb,a43bf196a0bc,included
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-2108dc994532__sd-42__tg-fixed-medium,4e80163c4de8,gat_corr_sector_granger_rolling_cv_y2023,gnn,gat,corr+sector+granger,60,250,42,regression,1,1,2108dc994532,0c1742a28ce5,included
m-gat__f-gnn__e-corr-sector-granger__cw-60__lb-250__sp-5f466004c922__sd-42__tg-fixed-medium,2bd21726e101,gat_corr_sector_granger_rolling_cv_y2024,gnn,gat,corr+sector+granger,60,250,42,regression,1,1,5f466004c922,2eedcdffa35d,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,7529b2c4a221,xgb_node2vec_corr_rolling_cv_y2020,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,1,da1e51e1afff,674b044bdd2a,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,6118456b62e7,xgb_node2vec_corr_rolling_cv_y2021,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,1,3170f4531422,10a3467d9c25,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,a68e64de6a4c,xgb_node2vec_corr_rolling_cv_y2022,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,1,2041bcaeeadb,2d65242d19d5,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,cec0e0ada34a,xgb_node2vec_corr_rolling_cv_y2023,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,1,2108dc994532,717185466c45,included
m-xgb-node2vec__f-xgboost__e-node2vec-correlation__cw-60__lb-60__sp-5f466004c922__sd-42__tg-fixed-medium,09f8cbed1c45,xgb_node2vec_corr_rolling_cv_y2024,xgboost,xgb_node2vec,node2vec_correlation,60,60,42,regression,1,1,5f466004c922,adf0c646efee,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-da1e51e1afff__sd-42__tg-fixed-medium,2f437d78e2c8,xgb_raw_rolling_cv_y2020,xgboost,xgb_raw,none,0,60,42,regression,1,1,da1e51e1afff,bc48554ede64,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-3170f4531422__sd-42__tg-fixed-medium,1d8490d92e48,xgb_raw_rolling_cv_y2021,xgboost,xgb_raw,none,0,60,42,regression,1,1,3170f4531422,6e1ac49698e5,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2041bcaeeadb__sd-42__tg-fixed-medium,43a6ab294b37,xgb_raw_rolling_cv_y2022,xgboost,xgb_raw,none,0,60,42,regression,1,1,2041bcaeeadb,fd1b7fb84590,included
m-xgb-raw__f-xgboost__e-none__cw-na__lb-60__sp-2108dc994532__sd-42__tg-fixed-medium,f936bb5787a8,xgb_raw_rolling_cv_y2023,xgboost,xgb_raw,none,0,60,42,regression,1,1,2108dc994532,56b83f3ea986,included
