,value
2023-01-03,1.0037586634658036
2023-01-04,0.9929487490133194
2023-01-05,1.0117895764358942
2023-01-06,1.0067619344166683
2023-01-09,1.0108540666376709
2023-01-10,1.0218697317460672
2023-01-11,1.0274059907608202
2023-01-12,1.033615059947945
2023-01-13,1.0270362764982184
2023-01-17,1.0125683494552873
2023-01-18,1.0058578467503696
2023-01-19,1.0211454966008964
2023-01-20,1.0332370938578326
2023-01-23,1.0368205603781802
2023-01-24,1.033455616235234
2023-01-25,1.047601620335832
2023-01-26,1.0485488199322532
2023-01-27,1.0305934502601428
2023-01-30,1.0431435164079685
2023-01-31,1.0523343511537029
2023-02-01,1.0667070705734067
2023-02-02,1.0516063912691744
2023-02-03,1.0483144624652714
2023-02-06,1.0590444688911307
2023-02-07,1.04739284843503
2023-02-08,1.039477449901771
2023-02-09,1.0469472216338183
2023-02-10,1.0560996830709863
2023-02-13,1.0528956961226728
2023-02-14,1.052927123345987
2023-02-15,1.036919246726039
2023-02-16,1.0323716001384071
2023-02-17,1.0110018013038127
2023-02-21,1.0106024092178947
2023-02-22,1.020523206223892
2023-02-23,1.011641770860755
2023-02-24,1.013295166508625
2023-02-27,1.0124166330746074
2023-02-28,1.006730308817295
2023-03-01,1.010478454914989
2023-03-02,1.0279798470807178
2023-03-03,1.028681394515722
2023-03-06,1.0110462754363563
2023-03-07,1.0095623084651661
2023-03-08,0.985811867459904
2023-03-09,0.97976380679297
2023-03-10,0.9791210277177365
2023-03-13,0.9930818720084135
2023-03-14,0.9900375332744371
2023-03-15,1.0006721979011082
2023-03-16,0.9992984561692639
2023-03-17,1.0056118182989593
2023-03-20,1.0102160351614302
2023-03-21,0.998871666298265
2023-03-22,1.0025430946903662
2023-03-23,1.0069617173415837
2023-03-24,1.0135849400014825
2023-03-27,1.0123905321024167
2023-03-28,1.0194529113942858
2023-03-29,1.0225998557869314
2023-03-30,1.0383131578978746
2023-03-31,1.0409930814571278
2023-04-03,1.0385114933079038
2023-04-04,1.0351177738310566
2023-04-05,1.036798034009971
2023-04-06,1.037470506238033
2023-04-10,1.0421567558166662
2023-04-11,1.0406738327807217
2023-04-12,1.0480244871943563
2023-04-13,1.0537169833137485
2023-04-14,1.0544953635814303
2023-04-17,1.056749110711618
2023-04-18,1.0539986603833111
2023-04-19,1.049780981508312
2023-04-20,1.0499104668473802
2023-04-21,1.0548091901941687
2023-04-24,1.0372237276154355
2023-04-25,1.024479155157107
2023-04-26,1.0441201852562647
2023-04-27,1.0524722108082887
2023-04-28,1.0546442928357227
2023-05-01,1.039598036929307
2023-05-02,1.030589151681254
2023-05-03,1.0186145626364738
2023-05-04,1.0367321582970572
2023-05-05,1.0384798255066212
2023-05-08,1.0331895158836362
2023-05-09,1.039167689251219
2023-05-10,1.0365044033292354
2023-05-11,1.0358479069708322
2023-05-12,1.039396997635582
2023-05-15,1.0278878630353445
2023-05-16,1.0426997266036555
2023-05-17,1.0406377849481354
2023-05-18,1.0388747192408323
2023-05-19,1.03922683048167
2023-05-22,1.0297825696371121
2023-05-23,1.0245834906763926
2023-05-24,1.0289568609385902
2023-05-25,1.0403133266007898
2023-05-26,1.040847726563965
2023-05-30,1.0353643338112872
2023-05-31,1.0447349605968161
2023-06-01,1.060968238892438
2023-06-02,1.0589901900044487
2023-06-05,1.062619708382472
2023-06-06,1.0633536061154065
2023-06-07,1.0698301057159303
2023-06-08,1.0684337876630012
2023-06-09,1.074966481042763
2023-06-12,1.084416138759205
2023-06-13,1.085236031766137
2023-06-14,1.0965773803790162
2023-06-15,1.0917878785763484
2023-06-16,1.0825778368265124
2023-06-20,1.0770172318119753
2023-06-21,1.0743547600773435
2023-06-22,1.067716046878687
2023-06-23,1.0593979686547559
2023-06-26,1.0674816071700983
2023-06-27,1.0657096188282706
2023-06-28,1.0716135711446009
2023-06-29,1.0798686174330223
2023-06-30,1.0787986271449015
2023-07-03,1.0753149392508163
2023-07-05,1.0580810511701118
2023-07-06,1.0567838113540748
2023-07-07,1.0598082204353196
2023-07-10,1.070544568788489
2023-07-11,1.0797152506407974
2023-07-12,1.0895078460614975
2023-07-13,1.086197158919617
2023-07-14,1.0931056141914832
2023-07-17,1.0996092606282886
2023-07-18,1.1023064548589918
2023-07-19,1.0998138844336953
2023-07-20,1.098672064299507
2023-07-21,1.1044418541087135
2023-07-24,1.102958863970794
2023-07-25,1.1075486684574012
2023-07-26,1.0987335200128117
2023-07-27,1.100180907407989
2023-07-28,1.1066307385002259
2023-07-31,1.1003369945986492
2023-08-01,1.088906806032718
2023-08-02,1.0879845381929838
2023-08-03,1.0841373263949494
2023-08-04,1.0942051152442909
2023-08-07,1.0856761342987342
2023-08-08,1.0763915292684503
2023-08-09,1.0759654970410741
2023-08-10,1.0732242022429967
2023-08-11,1.0785294419020526
2023-08-14,1.0692855005231072
2023-08-15,1.060992686474715
2023-08-16,1.0580257366926373
2023-08-17,1.0584205941892117
2023-08-18,1.0638705910264301
2023-08-21,1.0557185898720756
2023-08-22,1.065595064517416
2023-08-23,1.05557651229738
2023-08-24,1.0617766774486934
2023-08-25,1.0682587411275837
2023-08-28,1.077738127171924
2023-08-29,1.0774804725956055
2023-08-30,1.0770751484415586
2023-08-31,1.0794969543706392
2023-09-01,1.0769448414389604
2023-09-05,1.0674374266119393
2023-09-06,1.0655656404055462
2023-09-07,1.0682305395661527
2023-09-08,1.0680665550029984
2023-09-11,1.0646733157036914
2023-09-12,1.0673868958986052
2023-09-13,1.0779038183630127
2023-09-14,1.0665411000497607
2023-09-15,1.0675433343773189
2023-09-18,1.063841496663275
2023-09-19,1.053330520640459
2023-09-20,1.033250972692728
2023-09-21,1.0283900736835005
2023-09-22,1.031759067487836
2023-09-25,1.0165355233919584
2023-09-26,1.0170366813262772
2023-09-27,1.0215898423188956
2023-09-28,1.0235690997932152
2023-09-29,1.0175351821054466
2023-10-02,1.004591101960202
2023-10-03,1.0076384434202144
2023-10-04,1.006533368263615
2023-10-05,1.013972595743429
2023-10-06,1.0215595175976595
2023-10-09,1.0285084093783485
2023-10-10,1.0339528574443586
2023-10-11,1.0265487800602848
2023-10-12,1.029197760948294
2023-10-13,1.0378453666560197
2023-10-16,1.03766515086204
2023-10-17,1.0252712390251233
2023-10-18,1.0187932412218608
2023-10-19,1.0046324227013173
2023-10-20,1.0016292981697994
2023-10-23,1.0112541590086734
2023-10-24,1.0036300164611056
2023-10-25,1.0031261817984227
2023-10-26,1.0007275296036569
2023-10-27,1.014672738384195
2023-10-30,1.014139793510252
2023-10-31,1.0254332513694406
2023-11-01,1.041858414411704
2023-11-02,1.050709643361884
2023-11-03,1.0497808896599488
2023-11-06,1.0514099852795669
2023-11-07,1.0504496601676898
2023-11-08,1.0387373067394363
2023-11-09,1.0512251300569153
2023-11-10,1.0494003342230152
2023-11-13,1.0668947262645185
2023-11-14,1.0699829128193477
2023-11-15,1.0686432752827009
2023-11-16,1.0734541840865885
2023-11-17,1.077182922397189
2023-11-20,1.0758804618218643
2023-11-21,1.0783694887563078
2023-11-22,1.0784851400544309
2023-11-24,1.078607377059082
2023-11-27,1.0791815852797833
2023-11-28,1.079822424047523
2023-11-29,1.083244437636213
2023-11-30,1.0916274210857755
2023-12-01,1.0877159667551815
2023-12-04,1.0890127978853579
2023-12-05,1.0851554604590066
2023-12-06,1.0921500078541717
2023-12-07,1.0983606797965866
2023-12-08,1.0976440819111428
2023-12-11,1.0944597834390486
2023-12-12,1.1167915984794452
2023-12-13,1.136998395773748
2023-12-14,1.135028046194565
2023-12-15,1.1378866186395924
2023-12-18,1.1483066404883984
2023-12-19,1.13206956441682
2023-12-20,1.1404980636926982
2023-12-21,1.1356980095991773
2023-12-22,1.1414259639632252
2023-12-26,1.1439285750327943
2023-12-27,1.1435033067215152
2023-12-28,1.1408822450471687
