,value
2021-01-04,1.010157861270322
2021-01-05,1.021182609943641
2021-01-06,1.033022658822461
2021-01-07,1.03423440100034
2021-01-08,1.0342001430105914
2021-01-11,1.0355241905800292
2021-01-12,1.0343215009859994
2021-01-13,1.0353728756346705
2021-01-14,1.0202967372243847
2021-01-15,1.0272172815938736
2021-01-19,1.0386078782765082
2021-01-20,1.0372923778267347
2021-01-21,1.0308861439530448
2021-01-22,1.0313080995557822
2021-01-25,1.0322160900630253
2021-01-26,1.0072724348414064
2021-01-27,1.0159003320186957
2021-01-28,0.9953939657894315
2021-01-29,1.0062719714955428
2021-02-01,1.0198234233509245
2021-02-02,1.0291419397024981
2021-02-03,1.0366372653708915
2021-02-04,1.0410626990884346
2021-02-05,1.0467869312865736
2021-02-08,1.0474586902697187
2021-02-09,1.0477165197540033
2021-02-10,1.046436117972723
2021-02-11,1.0450604125240346
2021-02-12,1.0413088159570076
2021-02-16,1.0421184187273809
2021-02-17,1.0382502486102374
2021-02-18,1.032672572419914
2021-02-19,1.025232603496997
2021-02-22,1.019993035111344
2021-02-23,1.0216276034558571
2021-02-24,1.0038922187459312
2021-02-25,0.9980691472704906
2021-02-26,1.0120304700273115
2021-03-01,1.0056110121653812
2021-03-02,0.9920179004009315
2021-03-03,0.9796401439406994
2021-03-04,0.9922451308910619
2021-03-05,0.9922161283540758
2021-03-08,1.0068570200829168
2021-03-09,1.016267233627141
2021-03-10,1.0223048538928954
2021-03-11,1.0249815391481005
2021-03-12,1.0325078038331779
2021-03-15,1.033516896217688
2021-03-16,1.0333523943112672
2021-03-17,1.0257135748803978
2021-03-18,1.025731052749794
2021-03-19,1.0324473231515956
2021-03-22,1.0325135491046082
2021-03-23,1.0295080138227533
2021-03-24,1.0327058960805668
2021-03-25,1.0475366515538849
2021-03-26,1.04861932736525
2021-03-29,1.0433561217069989
2021-03-30,1.045358998414998
2021-03-31,1.0517854237115223
2021-04-01,1.0618226770578645
2021-04-05,1.061589935820228
2021-04-06,1.0649511535762823
2021-04-07,1.0661831776724693
2021-04-08,1.0743103978714963
2021-04-09,1.0765217650331114
2021-04-12,1.078647936164393
2021-04-13,1.0754549846036123
2021-04-14,1.086988821390696
2021-04-15,1.0908023206534128
2021-04-16,1.085297513768687
2021-04-19,1.0773204530863032
2021-04-20,1.083372267268517
2021-04-21,1.0727864325518515
2021-04-22,1.082439025922606
2021-04-23,1.0837630031184284
2021-04-26,1.0868152968279174
2021-04-27,1.0853604470239095
2021-04-28,1.092841045845759
2021-04-29,1.087291779752921
2021-04-30,1.090882225525655
2021-05-03,1.085205685743451
2021-05-04,1.0882574981178066
2021-05-05,1.0987946859105637
2021-05-06,1.1041490864571486
2021-05-07,1.1023320732300312
2021-05-10,1.0896362994927409
2021-05-11,1.0717334169768182
2021-05-12,1.0854309328216765
2021-05-13,1.0969104824787623
2021-05-14,1.096960315620508
2021-05-17,1.0933148643650759
2021-05-18,1.089367770964466
2021-05-19,1.0957947234465442
2021-05-20,1.0979871935274694
2021-05-21,1.1019084740939653
2021-05-24,1.1008320385629617
2021-05-25,1.1013784627712475
2021-05-26,1.1049794217283342
2021-05-27,1.1034994298364529
2021-05-28,1.1033747897191626
2021-06-01,1.1063853502381251
2021-06-02,1.106394737208037
2021-06-03,1.1121640759507365
2021-06-04,1.1102928928144256
2021-06-07,1.1114685902807733
2021-06-08,1.1092077127670847
2021-06-09,1.1067404513752916
2021-06-10,1.1079377105186394
2021-06-11,1.105169872017481
2021-06-14,1.1037396132063537
2021-06-15,1.0968631309098402
2021-06-16,1.0854960574907861
2021-06-17,1.069730033711095
2021-06-18,1.089274989035743
2021-06-21,1.0959381645218216
2021-06-22,1.0949201364668852
2021-06-23,1.1004005274993998
2021-06-24,1.1121934233252089
2021-06-25,1.111191539218973
2021-06-28,1.1102280820079118
2021-06-29,1.1136940800974235
2021-06-30,1.1196175367379269
2021-07-01,1.1250323837776768
2021-07-02,1.1205423854741612
2021-07-06,1.1209443531770058
2021-07-07,1.1108686898999034
2021-07-08,1.1267663555012377
2021-07-09,1.1353856151521886
2021-07-12,1.128249170653611
2021-07-13,1.1274756033639284
2021-07-14,1.1235795796869579
2021-07-15,1.1060954016827655
2021-07-16,1.0881714184067126
2021-07-19,1.1060427682325347
2021-07-20,1.1204256844930949
2021-07-21,1.121025371643368
2021-07-22,1.1292242088733735
2021-07-23,1.1355553883837612
2021-07-26,1.1333250826534085
2021-07-27,1.1355314944670976
2021-07-28,1.1390698277663238
2021-07-29,1.126995044290447
2021-07-30,1.1259880878270092
2021-08-02,1.1355346757430884
2021-08-03,1.12994010478777
2021-08-04,1.1368532964526343
2021-08-05,1.1403612671484142
2021-08-06,1.137894491688304
2021-08-09,1.1438441161590571
2021-08-10,1.1473624028948792
2021-08-11,1.1529821636969975
2021-08-12,1.1575621801996274
2021-08-13,1.1605217034410098
2021-08-16,1.1576432806372763
2021-08-17,1.1415791843963272
2021-08-18,1.1407223560363555
2021-08-19,1.1523242264218048
2021-08-20,1.1605333490331435
2021-08-23,1.1592476816282946
2021-08-24,1.1612186159103866
2021-08-25,1.154140320350243
2021-08-26,1.1625541951473641
2021-08-27,1.163846561769667
2021-08-30,1.1564568901463053
2021-08-31,1.1552994261587182
2021-09-01,1.1619306020442595
2021-09-02,1.1621953843463917
2021-09-03,1.1589673987025015
2021-09-07,1.1596634366791796
2021-09-08,1.1560033371774807
2021-09-09,1.1498963328208809
2021-09-10,1.1526452392002444
2021-09-13,1.1460434470127194
2021-09-14,1.1563516838076353
2021-09-15,1.1523812539704086
2021-09-16,1.1391676106238742
2021-09-17,1.121601534270339
2021-09-20,1.1202378325594882
2021-09-21,1.131351788081378
2021-09-22,1.1403073695384676
2021-09-23,1.1434813821547158
2021-09-24,1.1429909956069615
2021-09-27,1.1238735933915904
2021-09-28,1.125062919860466
2021-09-29,1.1134890202113348
2021-09-30,1.128844860186213
2021-10-01,1.1158180706880167
2021-10-04,1.1263441039932145
2021-10-05,1.1326749708811568
2021-10-06,1.1424951559359997
2021-10-07,1.1411440177471754
2021-10-08,1.1324734532105514
2021-10-11,1.1320520201478608
2021-10-12,1.1374551118550802
2021-10-13,1.1530407847018724
2021-10-14,1.1631824807435107
2021-10-15,1.1687041849129587
2021-10-18,1.1745100892666291
2021-10-19,1.1803869778764389
2021-10-20,1.1851704243448795
2021-10-21,1.1868967538009925
2021-10-22,1.1900888344924725
2021-10-25,1.1966833576956373
2021-10-26,1.1973658154828326
2021-10-27,1.207917411050497
2021-10-28,1.2086252207266897
2021-10-29,1.2055059516848896
2021-11-01,1.2142797899684274
2021-11-02,1.2162427580447348
2021-11-03,1.2221242536296568
2021-11-04,1.2366445535346469
2021-11-05,1.2407752279285547
2021-11-08,1.2392195803280504
2021-11-09,1.2305974022162791
2021-11-10,1.229320761598264
2021-11-11,1.2307631204255665
2021-11-12,1.2305086236327896
2021-11-15,1.2298057511569354
2021-11-16,1.2239167034653178
2021-11-17,1.2293834465224782
2021-11-18,1.2221327508237494
2021-11-19,1.2237606250682407
2021-11-22,1.2300474883730632
2021-11-23,1.2326123523486525
2021-11-24,1.2134953951847476
2021-11-26,1.2226354668193569
2021-11-29,1.2043537811996965
2021-11-30,1.1965595047867317
2021-12-01,1.2105248016235042
2021-12-02,1.2080049276783495
2021-12-03,1.223158836563184
2021-12-06,1.2384533985905248
2021-12-07,1.2364043432873995
2021-12-08,1.236693435127834
2021-12-09,1.2552568310828052
2021-12-10,1.24994466986155
2021-12-13,1.2467283993510028
2021-12-14,1.261617762120729
2021-12-15,1.2585355457765635
2021-12-16,1.2390872083803177
2021-12-17,1.2272379498410686
2021-12-20,1.2380150003984478
2021-12-21,1.2451354076590078
2021-12-22,1.2492066314828896
2021-12-23,1.2622480571197472
2021-12-27,1.2637084035409114
2021-12-28,1.2644369722130677
2021-12-29,1.2632207184216202
2021-12-30,1.2611699893216621
