date,rolling_sharpe,rolling_ic_mean
2021-01-04,,
2021-01-05,,
2021-01-06,,
2021-01-07,,
2021-01-08,,
2021-01-11,,
2021-01-12,,
2021-01-13,,
2021-01-14,,
2021-01-15,,
2021-01-19,,
2021-01-20,,
2021-01-21,,
2021-01-22,,
2021-01-25,,
2021-01-26,,
2021-01-27,,
2021-01-28,,
2021-01-29,,
2021-02-01,,
2021-02-02,,
2021-02-03,,
2021-02-04,,
2021-02-05,,
2021-02-08,,
2021-02-09,,
2021-02-10,,
2021-02-11,,
2021-02-12,,
2021-02-16,,
2021-02-17,,
2021-02-18,,
2021-02-19,,
2021-02-22,,
2021-02-23,,
2021-02-24,,
2021-02-25,,
2021-02-26,,
2021-03-01,,
2021-03-02,,
2021-03-03,,
2021-03-04,,
2021-03-05,,
2021-03-08,,
2021-03-09,,
2021-03-10,,
2021-03-11,,
2021-03-12,,
2021-03-15,,
2021-03-16,,
2021-03-17,,
2021-03-18,,
2021-03-19,,
2021-03-22,,
2021-03-23,,
2021-03-24,,
2021-03-25,,
2021-03-26,,
2021-03-29,,
2021-03-30,,
2021-03-31,,
2021-04-01,,
2021-04-05,0.11717809181336998,0.06766978541172089
2021-04-06,0.10492821712607968,0.06577293674067866
2021-04-07,0.08735980837020238,0.0698866545640739
2021-04-08,0.08037298501219302,0.07244681841456034
2021-04-09,0.08208055858299441,0.07391891262859004
2021-04-12,0.08597886181464237,0.06790252757994693
2021-04-13,0.07760285120824942,0.061635944700460826
2021-04-14,0.09955462844640496,0.06007657217334636
2021-04-15,0.10425584812657332,0.04895731508634734
2021-04-16,0.12559054976634013,0.03694781920588371
2021-04-19,0.09737221348749003,0.03795442908346133
2021-04-20,0.08754939924493188,0.034521482102127264
2021-04-21,0.06979630039799266,0.0466473490667039
2021-04-22,0.099192085240927,0.05062724014336917
2021-04-23,0.10077868687634568,0.05112181725084951
2021-04-26,0.10450320750049964,0.06473141553786715
2021-04-27,0.1618801691360189,0.07148093841642228
2021-04-28,0.15883592868181431,0.060623516268677555
2021-04-29,0.20371528955972057,0.06145556952008564
2021-04-30,0.18917910450434305,0.055933761578922866
2021-05-03,0.14907159737517375,0.04728739002932551
2021-05-04,0.13576788564528225,0.05445003025648187
2021-05-05,0.14054296294523452,0.06057696783503235
2021-05-06,0.14185546931538717,0.06093771819578271
2021-05-07,0.1253671832501795,0.06471395987525018
2021-05-10,0.09418270715162971,0.06144393241167434
2021-05-11,0.0533142123207344,0.051308010985430336
2021-05-12,0.08219389716728029,0.05136619652748685
2021-05-13,0.10626220353277582,0.05222734254992319
2021-05-14,0.11426979015734613,0.058616115067727965
2021-05-17,0.1053024511777397,0.0636084345761765
2021-05-18,0.10553139985371308,0.05866848205557883
2021-05-19,0.12966697768173638,0.06953754131173485
2021-05-20,0.15067008335187582,0.06438230228552809
2021-05-21,0.17012926031566872,0.06812945119396731
2021-05-24,0.16445705228602692,0.0679548945677978
2021-05-25,0.21430608883756472,0.06288693385467578
2021-05-26,0.23695200506994202,0.05470604664153051
2021-05-27,0.20700085800024903,0.052588092910673546
2021-05-28,0.22397876238594297,0.04624586882651399
2021-06-01,0.27414412416861894,0.04436647581808872
2021-06-02,0.3180501282870225,0.043586789554531484
2021-06-03,0.305501245232383,0.03983964064609226
2021-06-04,0.30052491011462784,0.039182144020853696
2021-06-07,0.2749875012867964,0.02361751152073733
2021-06-08,0.246634612711151,0.029063678257226642
2021-06-09,0.22436994206818617,0.021383186705767353
2021-06-10,0.22018156020412946,0.02371642694223339
2021-06-11,0.19390251392464067,0.02349532188241866
2021-06-14,0.18725714169437385,0.023501140436624306
2021-06-15,0.16808153508462648,0.023169482846902203
2021-06-16,0.15761253742881498,0.018136433459014105
2021-06-17,0.11182112522396208,0.017444025508541638
2021-06-18,0.13452315068865436,0.02112717032071871
2021-06-21,0.14860525619970333,0.02678280500861146
2021-06-22,0.15377413674778262,0.018206256109481917
2021-06-23,0.1580654982950368,0.01472676069450263
2021-06-24,0.15162697573335693,0.013627053949634593
2021-06-25,0.1467347311886025,0.006446958059861286
2021-06-28,0.1580280349343368,0.008867476609412093
2021-06-29,0.16090845207777874,0.005923288181352697
2021-06-30,0.1590913662413873,-0.00428827444956477
2021-07-01,0.14909891777189457,-0.011503281664571983
2021-07-02,0.13893742718283433,-0.02014965321416934
2021-07-06,0.1320204400880909,-0.026375506214215888
2021-07-07,0.10452185627227434,-0.01953288646837034
2021-07-08,0.11791948046292418,-0.023157845738490897
