,value
2024-01-02,0.9957909089675612
2024-01-03,0.9914584166376923
2024-01-04,0.9947200276080004
2024-01-05,1.0004221845782695
2024-01-08,0.9947901752930837
2024-01-09,0.9980316175760947
2024-01-10,0.9936257170931275
2024-01-11,0.9948342606221828
2024-01-12,0.9890210400635232
2024-01-16,0.9820214794772922
2024-01-17,0.9874157509244285
2024-01-18,0.9983456384719455
2024-01-19,1.0000711006445733
2024-01-22,1.0046497609609661
2024-01-23,1.0041454395655753
2024-01-24,1.014007145737982
2024-01-25,1.015710478863814
2024-01-26,1.0203741725167783
2024-01-29,1.0252304285000384
2024-01-30,1.0083204688157121
2024-01-31,1.0146773509851819
2024-02-01,1.0180952156307486
2024-02-02,1.011839380220836
2024-02-05,1.0166189858967705
2024-02-06,1.0216714947178087
2024-02-07,1.0276898340081932
2024-02-08,1.026176642764024
2024-02-09,1.0326662814686671
2024-02-12,1.0158994198243054
2024-02-13,1.022128118361992
2024-02-14,1.032555008600621
2024-02-15,1.0293642303803232
2024-02-16,1.0282595781794879
2024-02-20,1.0302536292103888
2024-02-21,1.0371534369631157
2024-02-22,1.0383358090796804
2024-02-23,1.033667429182179
2024-02-26,1.0347063962572665
2024-02-27,1.0333198843476314
2024-02-28,1.0376577651097731
2024-02-29,1.0429325945646444
2024-03-01,1.0450449778131605
2024-03-04,1.046125470973757
2024-03-05,1.0490957251524224
2024-03-06,1.0561048536802318
2024-03-07,1.056565200039251
2024-03-08,1.056097536491614
2024-03-11,1.0694258326689767
2024-03-12,1.0733780295579125
2024-03-13,1.0724637268142194
2024-03-14,1.0694419903571168
2024-03-15,1.075463275958088
2024-03-18,1.081860580948945
2024-03-19,1.091150926860582
2024-03-20,1.095612124260663
2024-03-21,1.0875922409309402
2024-03-22,1.0826198718555837
2024-03-25,1.0830551118675604
2024-03-26,1.0932973459836561
2024-03-27,1.0945992283464803
2024-03-28,1.0915631449277787
2024-04-01,1.086696643205147
2024-04-02,1.0881098184926545
2024-04-03,1.0792155331393622
2024-04-04,1.0928438876504674
2024-04-05,1.0924732036798197
2024-04-08,1.0934678190164406
2024-04-09,1.0827607653098303
2024-04-10,1.0891815801388365
2024-04-11,1.0774717252877726
2024-04-12,1.071725214336777
2024-04-15,1.0661892837432632
2024-04-16,1.064278498432147
2024-04-17,1.06746617333875
2024-04-18,1.0654654893813875
2024-04-19,1.0718910351880033
2024-04-22,1.076749926370736
2024-04-23,1.077508217332901
2024-04-24,1.0661417812656446
2024-04-25,1.0693532804747292
2024-04-26,1.068773384439329
2024-04-29,1.052194693773923
2024-04-30,1.0540454951792306
2024-05-01,1.0610179384413716
2024-05-02,1.0724859079275073
2024-05-03,1.0848456573707084
2024-05-06,1.0856587637733779
2024-05-07,1.0856723305901
2024-05-08,1.0943058677925501
2024-05-09,1.094415704655719
2024-05-10,1.0914017720842955
2024-05-13,1.0958998810450276
2024-05-14,1.1033403150100047
2024-05-15,1.1042292245479686
2024-05-16,1.1106462630825882
2024-05-17,1.106739539146459
2024-05-20,1.1100688894004742
2024-05-21,1.1075524324510129
2024-05-22,1.092186116161187
2024-05-23,1.0946887889290842
2024-05-24,1.0930879009481713
2024-05-28,1.083653470469105
2024-05-29,1.0837866509607677
2024-05-30,1.0943290106003454
2024-05-31,1.0917423525819523
2024-06-03,1.0956022710215185
2024-06-04,1.1040010334278232
2024-06-05,1.1056860147186605
2024-06-06,1.1045815566920103
2024-06-07,1.1071381597947303
2024-06-10,1.0985676817578485
2024-06-11,1.1089281285253714
2024-06-12,1.1076460857712747
2024-06-13,1.1088587146493407
2024-06-14,1.1136734113039959
2024-06-17,1.11537811389143
2024-06-18,1.1215255865092577
2024-06-20,1.1181327118481077
2024-06-21,1.1263317630873975
2024-06-24,1.1196655862780716
2024-06-25,1.1205806263725742
2024-06-26,1.1242651770379877
2024-06-27,1.112904452193984
2024-06-28,1.1205845010723616
2024-07-01,1.1276188365178939
2024-07-02,1.1319406086454133
2024-07-03,1.134845170103022
2024-07-05,1.1331408190120782
2024-07-08,1.137019326721508
2024-07-09,1.1471840504598518
2024-07-10,1.1428525511084446
2024-07-11,1.1410280672704014
2024-07-12,1.143415308533629
2024-07-15,1.1630625340891017
2024-07-16,1.1612893175342132
2024-07-17,1.1512631027417983
2024-07-18,1.147115405343549
2024-07-19,1.1559173352698562
2024-07-22,1.1551784477172005
2024-07-23,1.1402169962635673
2024-07-24,1.1385578394001912
2024-07-25,1.149075438641577
2024-07-26,1.1500652415490962
2024-07-29,1.1597435348196612
2024-07-30,1.1594128468042961
2024-07-31,1.1445113016770974
2024-08-01,1.134587146495786
2024-08-02,1.1057007825696372
2024-08-05,1.111858449775786
2024-08-06,1.1059943346980647
2024-08-07,1.1268013219438537
2024-08-08,1.132606782893714
2024-08-09,1.134252944970818
2024-08-12,1.148015869757623
2024-08-13,1.154503843817651
2024-08-14,1.1721204470129731
2024-08-15,1.1739758553013624
2024-08-16,1.1810214096671219
2024-08-19,1.1798814037832794
2024-08-20,1.1838095233423125
2024-08-21,1.180936523944453
2024-08-22,1.1908630969472362
2024-08-23,1.1939313496673725
2024-08-26,1.1937975440000552
2024-08-27,1.1905052559609364
2024-08-28,1.1945966449498429
2024-08-29,1.2019181634042997
2024-08-30,1.1906352013148662
2024-09-03,1.1896128371418324
2024-09-04,1.1831885939100397
2024-09-05,1.1631502196264845
2024-09-06,1.1761775563576278
2024-09-09,1.1779142400472904
2024-09-10,1.1857579447484505
2024-09-11,1.1938327565610536
2024-09-12,1.2010969906053506
2024-09-13,1.2109538063489351
2024-09-16,1.211004309926596
2024-09-17,1.208013546681408
2024-09-18,1.217294220450711
2024-09-19,1.214115965499123
2024-09-20,1.2173031149742641
2024-09-23,1.2192231542109928
2024-09-24,1.2136143164005688
2024-09-25,1.2201866786213176
2024-09-26,1.2208062925163161
2024-09-27,1.2248908293910383
2024-09-30,1.215842952816737
2024-10-01,1.2140822093743628
2024-10-02,1.2112356877645403
2024-10-03,1.222798660192455
2024-10-04,1.2122204558978413
2024-10-07,1.2183986485970826
2024-10-08,1.2288149221737474
2024-10-09,1.227763844490381
2024-10-10,1.2444111160398847
2024-10-11,1.2516449392854454
2024-10-14,1.2437717275005127
2024-10-15,1.259237901335918
2024-10-16,1.2544374842534822
2024-10-17,1.2585288751605754
2024-10-18,1.251375270475089
2024-10-21,1.2561583795773181
2024-10-22,1.2514414622988606
2024-10-23,1.2445337999790582
2024-10-24,1.2363303597288173
2024-10-25,1.2463008515326566
2024-10-28,1.240656547776021
2024-10-29,1.2373184039700564
2024-10-30,1.2290397943294806
2024-10-31,1.2344714225258333
2024-11-01,1.2287499697493114
2024-11-04,1.2445210258974841
2024-11-05,1.2881889729751754
2024-11-06,1.288873253815956
2024-11-07,1.2942464875687618
2024-11-08,1.2987143286853051
2024-11-11,1.2889787494883334
2024-11-12,1.2940241163511954
2024-11-13,1.2867796972283463
2024-11-14,1.282000000992803
2024-11-15,1.283817120212841
2024-11-18,1.2786937019904148
