,value
2024-01-02,0.9957909089675612
2024-01-03,0.9914584166376923
2024-01-04,0.9947200276080004
2024-01-05,1.0004221845782695
2024-01-08,0.9947901752930837
2024-01-09,0.9946849489430103
2024-01-10,0.9911950191484623
2024-01-11,0.9908727095916574
2024-01-12,0.9793674196444578
2024-01-16,0.9712720386994562
2024-01-17,0.9716561597959001
2024-01-18,0.9791894253984608
2024-01-19,0.9825488260786454
2024-01-22,0.9877632106186967
2024-01-23,0.9891115680596664
2024-01-24,0.9968541949638086
2024-01-25,0.9995733151517643
2024-01-26,1.0047549299698766
2024-01-29,1.0115004078651861
2024-01-30,0.9985167055127026
2024-01-31,1.0048564782002918
2024-02-01,1.0169662167444196
2024-02-02,1.0110073859724813
2024-02-05,1.0161941383830364
2024-02-06,1.0236203572260818
2024-02-07,1.030112880953718
2024-02-08,1.0294570571311408
2024-02-09,1.033398133698108
2024-02-12,1.0188231607073257
2024-02-13,1.025902756030698
2024-02-14,1.0346523632551041
2024-02-15,1.03058999368226
2024-02-16,1.0246225044534882
2024-02-20,1.0236260171064002
2024-02-21,1.0421132392766619
2024-02-22,1.0442864168725856
2024-02-23,1.0416381551382194
2024-02-26,1.0434871459589203
2024-02-27,1.0443891734080248
2024-02-28,1.0464439975785755
2024-02-29,1.0542101387828309
2024-03-01,1.0554484033577638
2024-03-04,1.0522517158058702
2024-03-05,1.0566587192118058
2024-03-06,1.061505577096112
2024-03-07,1.059954211497391
2024-03-08,1.063940497196819
2024-03-11,1.0753214278388434
2024-03-12,1.0793239701109207
2024-03-13,1.07871030551692
2024-03-14,1.0729968547277364
2024-03-15,1.0759366499142078
2024-03-18,1.0821575708151316
2024-03-19,1.0900856254960791
2024-03-20,1.0930947975484295
2024-03-21,1.0883310232469328
2024-03-22,1.087073877799866
2024-03-25,1.0847309299647556
2024-03-26,1.097822863960307
2024-03-27,1.1009968821710978
2024-03-28,1.0956792737277656
2024-04-01,1.0926336536116432
2024-04-02,1.0909817472839576
2024-04-03,1.079403626406315
2024-04-04,1.0921257571239646
2024-04-05,1.0914467227941642
2024-04-08,1.0899238158559337
2024-04-09,1.0784891539964658
2024-04-10,1.0810101306730082
2024-04-11,1.062887837634076
2024-04-12,1.0557934078403794
2024-04-15,1.0502965547958727
2024-04-16,1.0440539394761645
2024-04-17,1.0440482760248235
2024-04-18,1.042164125811145
2024-04-19,1.0538180194869244
2024-04-22,1.0642269740491923
2024-04-23,1.0599848435041002
2024-04-24,1.0423478066153975
2024-04-25,1.0516124514207188
2024-04-26,1.052836091051184
2024-04-29,1.0380148956467417
2024-04-30,1.0421020111631372
2024-05-01,1.050312102485925
2024-05-02,1.0601531534050899
2024-05-03,1.0703717293321486
2024-05-06,1.0677920555856553
2024-05-07,1.0682598436421027
2024-05-08,1.0776900083108565
2024-05-09,1.0783822324484444
2024-05-10,1.0771514038737646
2024-05-13,1.082893652423158
2024-05-14,1.091384701324573
2024-05-15,1.0934302739541613
2024-05-16,1.0965718207488986
2024-05-17,1.0907946028650777
2024-05-20,1.097590469551003
2024-05-21,1.092486466471281
2024-05-22,1.084828736571266
2024-05-23,1.0912605750184423
2024-05-24,1.0952491446068309
2024-05-28,1.0857541836076545
2024-05-29,1.0852459852264789
2024-05-30,1.0984610789030798
2024-05-31,1.0996626989046685
2024-06-03,1.1035506201882634
2024-06-04,1.112010313735311
2024-06-05,1.1137075191881396
2024-06-06,1.1125950485657983
2024-06-07,1.1151701992515952
2024-06-10,1.1147766665724488
2024-06-11,1.126288053310877
2024-06-12,1.1253289539211422
2024-06-13,1.124429251295347
2024-06-14,1.1289629777923496
2024-06-17,1.1301082219902934
2024-06-18,1.1336907734862856
2024-06-20,1.133702744027159
2024-06-21,1.132424641393598
2024-06-24,1.1314369360169017
2024-06-25,1.1336348225573782
2024-06-26,1.1368279868884301
2024-06-27,1.1182797116018028
2024-06-28,1.1215739107806688
2024-07-01,1.1260182268104149
2024-07-02,1.1300108891495961
2024-07-03,1.1353907405355217
2024-07-05,1.1323330430376022
2024-07-08,1.1322230242699312
2024-07-09,1.142785883681393
2024-07-10,1.144099214727107
2024-07-11,1.1474455782358122
2024-07-12,1.145264429013491
2024-07-15,1.1640863942402861
2024-07-16,1.166538996629318
2024-07-17,1.1562666449036036
2024-07-18,1.1532275004375157
2024-07-19,1.1554002941844406
2024-07-22,1.1510487976282109
2024-07-23,1.142041394308308
2024-07-24,1.145464415142027
2024-07-25,1.1573824757743716
2024-07-26,1.1587654711370028
2024-07-29,1.1691673736466959
2024-07-30,1.1740284496858318
2024-07-31,1.168775130008276
2024-08-01,1.1612699191350306
2024-08-02,1.126495058530025
2024-08-05,1.1373249123359954
2024-08-06,1.1277787295677046
2024-08-07,1.151045041039589
2024-08-08,1.1564549829011148
2024-08-09,1.1569982966326275
2024-08-12,1.1715546416809706
2024-08-13,1.178590465150123
2024-08-14,1.199474266106732
2024-08-15,1.2026958469075546
2024-08-16,1.2140710470298657
2024-08-19,1.2097019359423342
2024-08-20,1.2117874589617916
2024-08-21,1.2065010349523695
2024-08-22,1.2221478842592974
2024-08-23,1.2253438059112902
2024-08-26,1.2250883191527449
2024-08-27,1.2165066861135576
2024-08-28,1.2165152354426616
2024-08-29,1.2281687274430493
2024-08-30,1.203076748043237
2024-09-03,1.201495730782691
2024-09-04,1.2003110221447164
2024-09-05,1.182761621169155
2024-09-06,1.1955943528483792
2024-09-09,1.2017133144727292
2024-09-10,1.2096215577804992
2024-09-11,1.2180602024214833
2024-09-12,1.2251357679272326
2024-09-13,1.2348104145419867
2024-09-16,1.2361651922435812
2024-09-17,1.2319228075005564
2024-09-18,1.2501344874353562
2024-09-19,1.2507442783624485
2024-09-20,1.2548072388880434
2024-09-23,1.257732137042266
2024-09-24,1.2521178147588063
2024-09-25,1.2549109182987588
2024-09-26,1.2586608590358679
2024-09-27,1.2626742014537968
2024-09-30,1.2583612642769517
2024-10-01,1.256477634400932
2024-10-02,1.2559598453784324
2024-10-03,1.2649808883546398
2024-10-04,1.2560303618308726
2024-10-07,1.2606638953875977
2024-10-08,1.2678806919588412
2024-10-09,1.2678930552480143
2024-10-10,1.2830735696386695
2024-10-11,1.2943484516749615
2024-10-14,1.2818535827105448
2024-10-15,1.2945548321528888
2024-10-16,1.2937328614146435
2024-10-17,1.2958050521473465
2024-10-18,1.2925372663240142
2024-10-21,1.2972140424459218
2024-10-22,1.2872422473713876
2024-10-23,1.2830909955865968
2024-10-24,1.2761188837463684
2024-10-25,1.2854415045155043
2024-10-28,1.280080076429584
2024-10-29,1.2749748979841204
2024-10-30,1.2619059431007296
2024-10-31,1.267482820215136
2024-11-01,1.2616083682281667
2024-11-04,1.2778011632655413
2024-11-05,1.3226368489728622
2024-11-06,1.3233394283878777
2024-11-07,1.3256079189043437
2024-11-08,1.3295602651378906
2024-11-11,1.3255269193618915
2024-11-12,1.3318492308250194
2024-11-13,1.3292666434328149
2024-11-14,1.321468868182379
2024-11-15,1.3206097421128424
2024-11-18,1.323089345135004
