date,rolling_sharpe,rolling_ic_mean
2024-01-02,,
2024-01-03,,
2024-01-04,,
2024-01-05,,
2024-01-08,,
2024-01-09,,
2024-01-10,,
2024-01-11,,
2024-01-12,,
2024-01-16,,
2024-01-17,,
2024-01-18,,
2024-01-19,,
2024-01-22,,
2024-01-23,,
2024-01-24,,
2024-01-25,,
2024-01-26,,
2024-01-29,,
2024-01-30,,
2024-01-31,,
2024-02-01,,
2024-02-02,,
2024-02-05,,
2024-02-06,,
2024-02-07,,
2024-02-08,,
2024-02-09,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,,
2024-02-16,,
2024-02-20,,
2024-02-21,,
2024-02-22,,
2024-02-23,,
2024-02-26,,
2024-02-27,,
2024-02-28,,
2024-02-29,,
2024-03-01,,
2024-03-04,,
2024-03-05,,
2024-03-06,,
2024-03-07,,
2024-03-08,,
2024-03-11,,
2024-03-12,,
2024-03-13,,
2024-03-14,,
2024-03-15,,
2024-03-18,,
2024-03-19,,
2024-03-20,,
2024-03-21,,
2024-03-22,,
2024-03-25,,
2024-03-26,,
2024-03-27,,
2024-03-28,,
2024-04-01,,
2024-04-02,0.23143382467397774,-0.033666154633896564
2024-04-03,0.20953495964718097,-0.03701182330214588
2024-04-04,0.24703644501175218,-0.033642880417073966
2024-04-05,0.23710532850247007,-0.03312502909277103
2024-04-08,0.2196106016620227,-0.03599939487036261
2024-04-09,0.20357044921812859,-0.035085881860075406
2024-04-10,0.20966989818132478,-0.03437601824698599
2024-04-11,0.16715539317543662,-0.03314248475538798
2024-04-12,0.15073328715479842,-0.03492296234231718
2024-04-15,0.1691830713067274,-0.045361448587255035
2024-04-16,0.17590768134799653,-0.041160452450775036
2024-04-17,0.17492557093895902,-0.04237071172555043
2024-04-18,0.1531186723847186,-0.04454685099846389
2024-04-19,0.16875910872057112,-0.03981636642926965
2024-04-22,0.17769964916982242,-0.05233207652562491
2024-04-23,0.1644338603721894,-0.049702090024670666
2024-04-24,0.10296218023390424,-0.051424382069543355
2024-04-25,0.11555548373379966,-0.04799725364241493
2024-04-26,0.10700475207939007,-0.05126146255178513
2024-04-29,0.05936375418161343,-0.05804007820136852
2024-04-30,0.0979654124417563,-0.06009402783596331
2024-05-01,0.10103562886093509,-0.05780733603314248
2024-05-02,0.09593161583970093,-0.05702764976958525
2024-05-03,0.12967286604064338,-0.05742331145556951
2024-05-06,0.11314192837907174,-0.06829237071172554
2024-05-07,0.09860830029972997,-0.06286947819205883
2024-05-08,0.10358312680340936,-0.06387026951543079
2024-05-09,0.10644834698313284,-0.0615195736163478
2024-05-10,0.0955289293128979,-0.06785597914630172
2024-05-13,0.1432931677456852,-0.061886142531303825
2024-05-14,0.14506047549119008,-0.047979797979797977
2024-05-15,0.1310822076741659,-0.04821254014802401
2024-05-16,0.14729737355290917,-0.045483638225573705
2024-05-17,0.1486819990782175,-0.035161523064748866
2024-05-20,0.16476337944857547,-0.04294093003770423
2024-05-21,0.11764141724367602,-0.03606921752083042
2024-05-22,0.0945902762816051,-0.029523344039473067
2024-05-23,0.1145238318723407,-0.020871153935670062
2024-05-24,0.11885780276365798,-0.01829353442256668
2024-05-28,0.09460034087147001,-0.024565935856258433
2024-05-29,0.08888912517076367,-0.014494018526276591
2024-05-30,0.098555828032818,-0.017554578038449006
2024-05-31,0.09837039358671808,-0.024699762602988406
2024-06-03,0.11368111357778155,-0.017624400688916814
2024-06-04,0.12099912282762133,-0.021237722850626074
2024-06-05,0.11421901129046093,-0.0145522040683331
2024-06-06,0.11532329727876708,-0.012009495880463622
2024-06-07,0.11210944436863828,-0.004387189871060839
2024-06-10,0.08807921773895619,-0.0008786016850532972
2024-06-11,0.1020966976533262,0.004823581436484662
2024-06-12,0.10142710922908274,0.01325466648047293
2024-06-13,0.11250431020697642,0.011718568170181071
2024-06-14,0.11538049726167533,0.017583670809477255
2024-06-17,0.10474344034055381,0.007127728901922451
2024-06-18,0.0956648622933711,0.011701112507564119
2024-06-20,0.08925899948359392,0.008835420431474577
2024-06-21,0.09724511815747452,0.008532855612780726
2024-06-24,0.09793060680361916,0.008707412238950255
2024-06-25,0.10774755187454499,0.014083756324971759
2024-06-26,0.08784515646210538,0.021653695346523682
