,value
2020-01-02,0.9923554130063678
2020-01-03,0.9966451337117929
2020-01-06,0.99252502270665
2020-01-07,0.9967233790400214
2020-01-08,1.0042329000958676
2020-01-09,1.0008123917330338
2020-01-10,1.0081132902075622
2020-01-13,1.0037044594833233
2020-01-14,1.0019494813127388
2020-01-15,1.010537696645958
2020-01-16,1.0127750505779078
2020-01-17,1.0082830004312897
2020-01-21,1.0090542038964958
2020-01-22,1.0084748532935652
2020-01-23,0.9983212723383816
2020-01-24,0.9835134880004713
2020-01-27,0.9943269879697885
2020-01-28,0.9935677105099123
2020-01-29,0.997072684896904
2020-01-30,0.9762877541995378
2020-01-31,0.9812744305768683
2020-02-03,0.9913530213250908
2020-02-04,1.0003254373113415
2020-02-05,1.0023194864295681
2020-02-06,1.0005049929544656
2020-02-07,1.0052954660102293
2020-02-10,1.0047963237500261
2020-02-11,1.011715422957436
2020-02-12,1.013528405203648
2020-02-13,1.014430348525738
2020-02-14,1.0134565858557065
2020-02-18,1.0160118411910652
2020-02-19,1.0139482767972756
2020-02-20,1.0056932867220696
2020-02-21,0.9747574115304705
2020-02-24,0.9461119690275898
2020-02-25,0.9413253226029912
2020-02-26,0.902683460093096
2020-02-27,0.8927278580455245
2020-02-28,0.93082783178174
2020-03-02,0.9112490483990479
2020-03-03,0.9437000941924136
2020-03-04,0.9126780314778753
2020-03-05,0.8959460042693198
2020-03-06,0.822750984552572
2020-03-09,0.8587835868498647
2020-03-10,0.819855011998189
2020-03-11,0.7441816793727138
2020-03-12,0.8147659747357855
2020-03-13,0.7352661461597333
2020-03-16,0.764305889869313
2020-03-17,0.724516509825339
2020-03-18,0.7400558828137411
2020-03-19,0.7197487556974294
2020-03-20,0.7029832411830838
2020-03-23,0.7752061568537779
2020-03-24,0.7824089823222146
2020-03-25,0.8267518258685668
2020-03-26,0.795858028579647
2020-03-27,0.8172010826667843
2020-03-30,0.8042448686351733
2020-03-31,0.7737330011104262
2020-04-01,0.7955486738761122
2020-04-02,0.7731325757019553
2020-04-03,0.8335678457134634
2020-04-06,0.8406122647906796
2020-04-07,0.8758052372237053
2020-04-08,0.8962344816797728
2020-04-09,0.8821066521866067
2020-04-13,0.8960867247282481
2020-04-14,0.8705337412802381
2020-04-15,0.8668822273890815
2020-04-16,0.9056412862197132
2020-04-17,0.8856615935400396
2020-04-20,0.8567777362803359
2020-04-21,0.8766761807220664
2020-04-22,0.8811070384509124
2020-04-23,0.8929489340353411
2020-04-24,0.91398896250198
2020-04-27,0.9138860949010371
2020-04-28,0.9447203273786117
2020-04-29,0.9312205753796506
2020-04-30,0.8980888210580649
2020-05-01,0.8994632591161009
2020-05-04,0.9019794152374294
2020-05-05,0.8979360026540014
2020-05-06,0.9069894415575234
2020-05-07,0.9185422983219299
2020-05-08,0.9151746021226284
2020-05-11,0.899566012065454
2020-05-12,0.8841279520867322
2020-05-13,0.8942669174187654
2020-05-14,0.8978252517699356
2020-05-15,0.9250510655806852
2020-05-18,0.9186962941731592
2020-05-19,0.9341682657026237
2020-05-20,0.9307201942922975
2020-05-21,0.9288872671531758
2020-05-22,0.9457489207665943
2020-05-26,0.960910675600322
2020-05-27,0.9545061825054019
2020-05-28,0.9524381007810874
2020-05-29,0.9558406425492247
2020-06-01,0.9613056917728702
2020-06-02,0.9756633563382621
2020-06-03,0.9672757531516887
2020-06-04,0.9846529884167143
2020-06-05,0.9943554328365578
2020-06-08,0.9936630423029493
2020-06-09,0.9936928352469878
2020-06-10,0.9499822544662139
2020-06-11,0.9557772970105403
2020-06-12,0.960173859002966
2020-06-15,0.9762340264946582
2020-06-16,0.9717275836364432
2020-06-17,0.9727545227750101
2020-06-18,0.9694258312441931
2020-06-19,0.9784076334100258
2020-06-22,0.9826518720754065
2020-06-23,0.9662361171093331
2020-06-24,0.9724091933494368
2020-06-25,0.9500308671240285
2020-06-26,0.9623082469834494
2020-06-29,0.973877400719097
2020-06-30,0.9778782161192441
2020-07-01,0.9812615978343918
2020-07-02,0.9931169789932317
2020-07-06,0.9931611112395756
2020-07-07,1.0002998187576015
2020-07-08,1.0036997758833288
2020-07-09,1.0088818019175494
2020-07-10,1.0055636539791921
2020-07-13,1.0226284048605743
2020-07-14,1.0237335499486353
2020-07-15,1.0220478742678092
2020-07-16,1.0257511576261074
2020-07-17,1.0300414816378691
2020-07-20,1.0338362064357758
2020-07-21,1.0430798179139509
2020-07-22,1.03389625996666
2020-07-23,1.0323114379887621
2020-07-24,1.038258141527788
2020-07-27,1.0361817596454947
2020-07-28,1.0439741887386473
2020-07-29,1.0417493513803462
2020-07-30,1.0501881974496141
2020-07-31,1.05584460105046
2020-08-03,1.0636171078353294
2020-08-04,1.0734979348154539
2020-08-05,1.0843350560687492
2020-08-06,1.0824091819274486
2020-08-07,1.081381424770795
2020-08-10,1.0664220560436273
2020-08-11,1.0834103990233188
2020-08-12,1.0848792812478498
2020-08-13,1.0838731578713214
2020-08-14,1.0935860591031263
2020-08-17,1.0984351867282285
2020-08-18,1.092504402082391
2020-08-19,1.0981712285982224
2020-08-20,1.1056116226410622
2020-08-21,1.1108447075060202
2020-08-24,1.1131681678081609
2020-08-25,1.124678078996159
2020-08-26,1.1219351635547377
2020-08-27,1.131361132236793
2020-08-28,1.1298098037350361
2020-08-31,1.1428186553601976
2020-09-01,1.1619256976987804
2020-09-02,1.137169841298688
2020-09-03,1.133835073544136
2020-09-04,1.1159305131813344
2020-09-08,1.1307296100874902
2020-09-09,1.1178195651374647
2020-09-10,1.1227631258405601
2020-09-11,1.1282078312722053
2020-09-14,1.1247370888540038
2020-09-15,1.1238195527100903
2020-09-16,1.1141958250150497
2020-09-17,1.105426190756756
2020-09-18,1.0874431106524953
2020-09-21,1.0931498361203336
2020-09-22,1.0768209211876316
2020-09-23,1.0811547392404772
2020-09-24,1.0893166901643871
2020-09-25,1.105396829973436
2020-09-28,1.1016549124125397
2020-09-29,1.1082827627741891
2020-09-30,1.113611196833285
