feature,importance
volume_pct_change,0.052898586
rsi_14,0.049611457
vol_z_20,0.048714537
vol_z_5,0.048653495
emb_5,0.04769635
emb_7,0.04456198
emb_0,0.044019446
emb_3,0.04367058
emb_1,0.04327151
emb_6,0.040864687
emb_4,0.04054891
emb_2,0.040243782
vol_60d,0.036670707
ret_1d,0.035789654
macd_line,0.035571016
vol_5d,0.034964573
macd_signal,0.03433907
ret_5d,0.034106623
macd_hist,0.033531584
drawdown_20d,0.031623732
mom_10,0.030734025
mom_3d,0.030580781
ret_20d,0.030565996
mom_21d,0.029144762
log_ret_1d,0.029060554
vol_20d,0.028561637
