,value
2023-01-03,1.007252937111367
2023-01-04,0.9946468282836033
2023-01-05,1.0185218273618981
2023-01-06,1.0142985750150402
2023-01-09,1.0202336329515818
2023-01-10,1.0326887613747697
2023-01-11,1.037307954342015
2023-01-12,1.0422638793001089
2023-01-13,1.0361276671069357
2023-01-17,1.0227580738121884
2023-01-18,1.0173160836460649
2023-01-19,1.0312030855721444
2023-01-20,1.043535225792041
2023-01-23,1.045993385440622
2023-01-24,1.0431773870858687
2023-01-25,1.050746833830553
2023-01-26,1.0512466593840255
2023-01-27,1.0399475734754806
2023-01-30,1.0506915906386962
2023-01-31,1.055667563881349
2023-02-01,1.0602690935940955
2023-02-02,1.0556449783627326
2023-02-03,1.0537625141380722
2023-02-06,1.063761419957473
2023-02-07,1.0541303395727268
2023-02-08,1.0424683589643198
2023-02-09,1.0488494180417232
2023-02-10,1.058132619142809
2023-02-13,1.0556285373961676
2023-02-14,1.0605615133313264
2023-02-15,1.0472866110064092
2023-02-16,1.04712548137029
2023-02-17,1.031558547124179
2023-02-21,1.0301820934209025
2023-02-22,1.033960513998645
2023-02-23,1.0251205432184276
2023-02-24,1.0255739833497235
2023-02-27,1.0241134876365856
2023-02-28,1.0194567396590757
2023-03-01,1.0272457670197899
2023-03-02,1.0429938681084354
2023-03-03,1.043848369710884
2023-03-06,1.0297324699922445
2023-03-07,1.0268173454343847
2023-03-08,1.0096162989648023
2023-03-09,0.9985735031182869
2023-03-10,0.9954756291943936
2023-03-13,1.0106346401275994
2023-03-14,1.0046189385525206
2023-03-15,1.0183247045644754
2023-03-16,1.0122639109662752
2023-03-17,1.0234076836315527
2023-03-20,1.0304474969326616
2023-03-21,1.0170187514664026
2023-03-22,1.0183321797487535
2023-03-23,1.0224910700175207
2023-03-24,1.0318697727303754
2023-03-27,1.0289007666089816
2023-03-28,1.0401025154069434
2023-03-29,1.042253712854812
2023-03-30,1.057389854687044
2023-03-31,1.0662259157459792
2023-04-03,1.0584913839970451
2023-04-04,1.0577121726210865
2023-04-05,1.0598791946752122
2023-04-06,1.065151797611477
2023-04-10,1.069742614617154
2023-04-11,1.0660717742668961
2023-04-12,1.0737296013231894
2023-04-13,1.0752167662178533
2023-04-14,1.0809559538521103
2023-04-17,1.0851229701787484
2023-04-18,1.08543176868339
2023-04-19,1.0812141437938794
2023-04-20,1.0837737659602833
2023-04-21,1.0858191432375863
2023-04-24,1.0704983688132634
2023-04-25,1.0642337347834672
2023-04-26,1.0864310489010542
2023-04-27,1.0931993626494179
2023-04-28,1.0978560210726833
2023-05-01,1.0890674889933811
2023-05-02,1.0805440395835868
2023-05-03,1.0700775621198932
2023-05-04,1.0856059264306726
2023-05-05,1.0853333320396077
2023-05-08,1.0832553092959094
2023-05-09,1.0911987064528854
2023-05-10,1.0906427633610958
2023-05-11,1.0897156597287558
2023-05-12,1.0952170572725994
2023-05-15,1.084410879845851
