feature,importance
volume_pct_change,0.053383794
vol_z_5,0.049746033
rsi_14,0.04868387
vol_z_20,0.04841515
emb_5,0.047955308
emb_0,0.047027703
emb_4,0.04601031
emb_7,0.04527235
emb_1,0.04295947
macd_line,0.0391434
emb_3,0.03887157
emb_6,0.03817743
vol_60d,0.037856136
emb_2,0.036263853
macd_hist,0.03456315
ret_1d,0.03411533
ret_5d,0.034019705
macd_signal,0.03370631
drawdown_20d,0.032338735
mom_3d,0.03191729
vol_5d,0.030992316
mom_10,0.03006712
log_ret_1d,0.029888272
vol_20d,0.029887538
ret_20d,0.029808944
mom_21d,0.028928867
