,value
2024-01-02,0.9916461138607836
2024-01-03,0.9885210022784118
2024-01-04,0.9908090287989392
2024-01-05,0.9999401252820015
2024-01-08,0.9965577425205013
2024-01-09,1.0018074266160788
2024-01-10,1.0009132266547849
2024-01-11,0.9996819187159767
2024-01-12,0.9902779733670729
2024-01-16,0.9841554213724758
2024-01-17,0.9910183511401112
2024-01-18,1.0026823687771615
2024-01-19,1.0029779315759817
2024-01-22,1.010060784709057
2024-01-23,1.0124739454929952
2024-01-24,1.0150243483007184
2024-01-25,1.0178606911354326
2024-01-26,1.0248669087832545
2024-01-29,1.0272206566624151
2024-01-30,1.0167109087944495
2024-01-31,1.0312480296203026
2024-02-01,1.0409903890461112
2024-02-02,1.033319721012151
2024-02-05,1.0412085884854703
2024-02-06,1.0471772837997373
2024-02-07,1.054043522178537
2024-02-08,1.0536416873156875
2024-02-09,1.0589776921859233
2024-02-12,1.044567050568188
2024-02-13,1.0482714947802385
2024-02-14,1.0625229219903727
2024-02-15,1.058890029904006
2024-02-16,1.055590109234776
2024-02-20,1.060608585942045
2024-02-21,1.0738621524420335
2024-02-22,1.0766833388890937
2024-02-23,1.0691328112796499
2024-02-26,1.0696033066725914
2024-02-27,1.0675693040636367
2024-02-28,1.0699843299699325
2024-02-29,1.0749897226178384
2024-03-01,1.0698898223444726
2024-03-04,1.0639010042061063
2024-03-05,1.069483183202043
2024-03-06,1.0746955856502536
2024-03-07,1.078599837431585
2024-03-08,1.085011325893407
2024-03-11,1.0855191887195144
2024-03-12,1.0882587952077147
2024-03-13,1.0844283420179304
2024-03-14,1.0780474831393705
2024-03-15,1.0839427581489791
2024-03-18,1.0906393231125364
2024-03-19,1.1003612236348266
2024-03-20,1.1041628195679458
2024-03-21,1.101509825471869
2024-03-22,1.099793918194598
2024-03-25,1.0981081717780412
2024-03-26,1.1039149978357912
2024-03-27,1.1041030865756385
2024-03-28,1.101139793070178
2024-04-01,1.0923809950130208
2024-04-02,1.0946367964427168
2024-04-03,1.0822014058076024
2024-04-04,1.0927072625563623
2024-04-05,1.0948626964570503
2024-04-08,1.0986772995924996
2024-04-09,1.0843991802517976
2024-04-10,1.0884795495917505
2024-04-11,1.0745835804420443
2024-04-12,1.0683963821178877
2024-04-15,1.0640487054690568
2024-04-16,1.0639691374163085
2024-04-17,1.0647018921087965
2024-04-18,1.063096449656902
2024-04-19,1.0693723701281908
2024-04-22,1.077959956752701
2024-04-23,1.0748490912314252
2024-04-24,1.0637143394672697
2024-04-25,1.078720485878561
2024-04-26,1.0804344318145458
2024-04-29,1.0674270989139387
2024-04-30,1.0695520313613707
2024-05-01,1.0752309819142691
2024-05-02,1.082797924305628
2024-05-03,1.0918506372775343
2024-05-06,1.090874290177894
2024-05-07,1.091764206620039
2024-05-08,1.0990573833364872
2024-05-09,1.1007136787015293
2024-05-10,1.1003008637345273
2024-05-13,1.1057660984157658
2024-05-14,1.1164712578814922
2024-05-15,1.1167440819235754
2024-05-16,1.1211510014801205
2024-05-17,1.117905140057181
2024-05-20,1.1216966114810611
2024-05-21,1.1200047217134455
2024-05-22,1.101612126817173
2024-05-23,1.106219630802491
2024-05-24,1.104311091527639
2024-05-28,1.0925074589569894
2024-05-29,1.0937640365604446
2024-05-30,1.1074926988959164
2024-05-31,1.1056568823635036
2024-06-03,1.1057789177098392
2024-06-04,1.1123898742310414
2024-06-05,1.1127737365217845
2024-06-06,1.1094797236630398
2024-06-07,1.1111156186179492
2024-06-10,1.1114408829359335
2024-06-11,1.1147323327566685
2024-06-12,1.115383797330521
2024-06-13,1.1140629479985547
2024-06-14,1.117656311315549
2024-06-17,1.1148065012026747
2024-06-18,1.12341151587489
2024-06-20,1.124912338649381
2024-06-21,1.1310989139175274
2024-06-24,1.1258035929560695
2024-06-25,1.124289537315048
2024-06-26,1.128082039159163
2024-06-27,1.1270841190133745
2024-06-28,1.1259461435474494
2024-07-01,1.1307887977800855
2024-07-02,1.1365847678789893
2024-07-03,1.142655788266061
2024-07-05,1.140923763730632
2024-07-08,1.1419304508473873
2024-07-09,1.1547558086515326
2024-07-10,1.1537721692266514
2024-07-11,1.1506822010966533
2024-07-12,1.148436197623099
2024-07-15,1.1669299603351264
2024-07-16,1.1668363548764369
2024-07-17,1.1559968085046286
2024-07-18,1.15247480420629
2024-07-19,1.1590957955818406
2024-07-22,1.1589417359254193
2024-07-23,1.1353601519561003
2024-07-24,1.1408444035192158
2024-07-25,1.1531915243840158
2024-07-26,1.1539410183900718
2024-07-29,1.1631991755752344
2024-07-30,1.1649621258042149
2024-07-31,1.1581373299750626
2024-08-01,1.1455027030138316
2024-08-02,1.1182655452691925
2024-08-05,1.1244449361325768
2024-08-06,1.1210536505136357
2024-08-07,1.1391758821113183
2024-08-08,1.1420398980564879
2024-08-09,1.1408551503908029
2024-08-12,1.1525000878213452
2024-08-13,1.1572238765169123
2024-08-14,1.1727181526806265
2024-08-15,1.176565790524221
2024-08-16,1.1866383037597357
2024-08-19,1.1828936521103492
2024-08-20,1.185999383266472
2024-08-21,1.1828065763746418
2024-08-22,1.194263438638014
2024-08-23,1.1962937143943098
2024-08-26,1.1937581848346936
2024-08-27,1.1902883648543539
2024-08-28,1.194413888418814
2024-08-29,1.201298482646563
2024-08-30,1.1828023729293458
2024-09-03,1.1830749825553648
2024-09-04,1.1818561497241817
2024-09-05,1.1653978950296522
2024-09-06,1.177889527700141
2024-09-09,1.1844735336125203
2024-09-10,1.1904309958392327
2024-09-11,1.1994321752403265
2024-09-12,1.206068489544969
2024-09-13,1.2112345963005242
2024-09-16,1.2150521889237615
2024-09-17,1.2135611031006723
2024-09-18,1.230945210567658
2024-09-19,1.2374903416391059
2024-09-20,1.2396885974265932
2024-09-23,1.2427248149567964
2024-09-24,1.2375267126147727
2024-09-25,1.2410924875988667
2024-09-26,1.2463394024970778
2024-09-27,1.2517434933730753
2024-09-30,1.2511032011842924
2024-10-01,1.2512612022035006
2024-10-02,1.246493801178979
2024-10-03,1.2597118700108048
2024-10-04,1.244748160009463
2024-10-07,1.2518911611827794
2024-10-08,1.2617281144249106
2024-10-09,1.2608256636081558
2024-10-10,1.2743975436246469
2024-10-11,1.2791823542752714
2024-10-14,1.2811416749086544
2024-10-15,1.2911109981303455
2024-10-16,1.2873415583178056
2024-10-17,1.2909030122987408
2024-10-18,1.2873164653367524
2024-10-21,1.2906160517094765
2024-10-22,1.2832220462686057
2024-10-23,1.2757265360406884
2024-10-24,1.2687024443707917
2024-10-25,1.2771870271504626
2024-10-28,1.2713374616769402
2024-10-29,1.2650042501748386
2024-10-30,1.2500758629835105
2024-10-31,1.2473780366555747
2024-11-01,1.242543969869317
2024-11-04,1.256455214120159
2024-11-05,1.2943857210801069
2024-11-06,1.2920680231725055
2024-11-07,1.2943911971491318
2024-11-08,1.289188906898956
2024-11-11,1.2833857833842623
