feature,importance
volume_pct_change,0.050341893
vol_z_5,0.049178433
rsi_14,0.048203476
vol_z_20,0.04697923
emb_6,0.045649115
emb_1,0.045047753
emb_4,0.044683855
emb_3,0.044054266
emb_5,0.043582704
emb_0,0.042683348
emb_2,0.039553065
emb_7,0.039416034
macd_line,0.03672399
vol_60d,0.03623044
ret_5d,0.035885487
macd_hist,0.034908716
ret_1d,0.034804218
vol_5d,0.034351993
macd_signal,0.033960145
mom_3d,0.033175208
mom_21d,0.031471882
mom_10,0.03091463
drawdown_20d,0.030850125
vol_20d,0.030374354
ret_20d,0.028651979
log_ret_1d,0.02832364
