date,rolling_sharpe,rolling_ic_mean
2024-01-02,,
2024-01-03,,
2024-01-04,,
2024-01-05,,
2024-01-08,,
2024-01-09,,
2024-01-10,,
2024-01-11,,
2024-01-12,,
2024-01-16,,
2024-01-17,,
2024-01-18,,
2024-01-19,,
2024-01-22,,
2024-01-23,,
2024-01-24,,
2024-01-25,,
2024-01-26,,
2024-01-29,,
2024-01-30,,
2024-01-31,,
2024-02-01,,
2024-02-02,,
2024-02-05,,
2024-02-06,,
2024-02-07,,
2024-02-08,,
2024-02-09,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,,
2024-02-16,,
2024-02-20,,
2024-02-21,,
2024-02-22,,
2024-02-23,,
2024-02-26,,
2024-02-27,,
2024-02-28,,
2024-02-29,,
2024-03-01,,
2024-03-04,,
2024-03-05,,
2024-03-06,,
2024-03-07,,
2024-03-08,,
2024-03-11,,
2024-03-12,,
2024-03-13,,
2024-03-14,,
2024-03-15,,
2024-03-18,,
2024-03-19,,
2024-03-20,,
2024-03-21,,
2024-03-22,,
2024-03-25,,
2024-03-26,,
2024-03-27,,
2024-03-28,,
2024-04-01,,
2024-04-02,0.26093886627537416,-0.006976446492575524
2024-04-03,0.26315633112583087,0.001611739514965321
2024-04-04,0.29820944663239407,0.00427663734115347
2024-04-05,0.2933632913164705,0.008681282874831261
2024-04-08,0.2759309181550839,0.0007796862635572302
2024-04-09,0.2566641434047301,0.0026125308383372885
2024-04-10,0.25896690227862823,0.00624912721686915
2024-04-11,0.22178233923390894,0.0075292091421123655
2024-04-12,0.20519443802885692,0.00873946841688777
2024-04-15,0.22218055094113703,0.01177675371223758
2024-04-16,0.23624479798152367,0.00976353395708234
2024-04-17,0.21596866331076237,0.005684727458921004
2024-04-18,0.1778517363682828,-0.0019259414420704762
2024-04-19,0.19260802683269107,0.0005934925289763981
2024-04-22,0.19673616374701255,-0.006510962156123448
2024-04-23,0.1994927427871241,-0.0009251501186985079
2024-04-24,0.15156068195439004,0.0038518828841409467
2024-04-25,0.15904777217097052,0.0069880836009868245
2024-04-26,0.14419138368792697,0.0010240655401945716
2024-04-29,0.09513070633185616,0.0052192431224689275
2024-04-30,0.12415895965805097,0.006097844807522226
2024-05-01,0.1076996777920306,-0.001029884094400224
2024-05-02,0.10085245792702435,-0.005737094446771866
2024-05-03,0.14483715014220822,-0.010013731787925336
2024-05-06,0.13800061090663007,-0.006958990829958573
2024-05-07,0.12094549545330172,-0.013563049853372434
2024-05-08,0.12127958495956968,-0.01875901875901876
2024-05-09,0.11666917898481717,-0.026980635851603593
2024-05-10,0.10733267642364949,-0.023361495135688682
2024-05-13,0.1677490033537669,-0.016850532979565236
2024-05-14,0.16709356728233288,-0.019631801889866407
2024-05-15,0.12780684672487308,-0.020603500442210116
2024-05-16,0.143545438815501,-0.02328003537680957
2024-05-17,0.15148747951806735,-0.01632686310105665
2024-05-20,0.15398096997942104,-0.020650048875855326
2024-05-21,0.1197269950501169,-0.023361495135688682
2024-05-22,0.08894048276985084,-0.023943350556253785
2024-05-23,0.12224262721837037,-0.015349345994507286
2024-05-24,0.11512416814960247,-0.011666201182330214
2024-05-28,0.07834438621187341,-0.019684168877717262
2024-05-29,0.07531933920962545,-0.014959502862728668
2024-05-30,0.09482630212606993,-0.01163710841130196
2024-05-31,0.1049464818285404,-0.0034736768607736336
2024-06-03,0.12176717866997612,0.00017455662616952923
2024-06-04,0.13340785977991787,0.008198342875762231
2024-06-05,0.12087661776383765,0.00815179444211702
2024-06-06,0.1010988522294275,0.00433482288320998
2024-06-07,0.09932652356821514,0.007383745286971093
2024-06-10,0.07510087836764898,0.002269236140203883
2024-06-11,0.08484929496124766,-0.0010415212028115244
2024-06-12,0.09167114771889932,-0.001198622166364101
2024-06-13,0.10744848499908807,0.0012160778289810553
2024-06-14,0.10212108491234828,0.002292510357026487
2024-06-17,0.0800415837641197,-0.005888376856118791
2024-06-18,0.07056319122819034,-0.007145184564539402
2024-06-20,0.05458998055427618,-0.004730644558769917
2024-06-21,0.06545144032004052,-0.020167268866361963
2024-06-24,0.07511319160205311,-0.007541006240099341
2024-06-25,0.0732349679345681,-0.009362213706468095
2024-06-26,0.06056791987947289,-0.005213584557838948
