,value
2020-01-02,0.9930857868914668
2020-01-03,0.9970250624739712
2020-01-06,0.9937604861863559
2020-01-07,1.0001740463153401
2020-01-08,1.0039099049307483
2020-01-09,1.0024126286113753
2020-01-10,1.0073153752606276
2020-01-13,1.0063279727852874
2020-01-14,1.0085464941884914
2020-01-15,1.0164964601630457
2020-01-16,1.0184032471049307
2020-01-17,1.014560992271142
2020-01-21,1.0128662994416116
2020-01-22,1.0130023557042664
2020-01-23,1.0022697719681506
2020-01-24,0.98660918529724
2020-01-27,0.9974352782804352
2020-01-28,1.000173517850043
2020-01-29,1.0019183361494073
2020-01-30,0.9893684567556338
2020-01-31,0.9966039748421687
2020-02-03,1.007377751550115
2020-02-04,1.0221642636198678
2020-02-05,1.0243436991579222
2020-02-06,1.0196695036497065
2020-02-07,1.0241700442184078
2020-02-10,1.0251708332555638
2020-02-11,1.031880167731667
2020-02-12,1.0321364280153908
2020-02-13,1.0359808502360088
2020-02-14,1.033060252586697
2020-02-18,1.0364548099437536
2020-02-19,1.0351056556555975
2020-02-20,1.0255549945105824
2020-02-21,0.9864692258713695
2020-02-24,0.9621519809735917
2020-02-25,0.9595385777038943
2020-02-26,0.9167716170323268
2020-02-27,0.9125507233388539
2020-02-28,0.9520661013906772
2020-03-02,0.9290760658975351
2020-03-03,0.9578458133468728
2020-03-04,0.9286673172667302
2020-03-05,0.9091082954781239
2020-03-06,0.840536256053996
2020-03-09,0.8869807743655599
2020-03-10,0.8431339259342548
2020-03-11,0.7622333896659486
2020-03-12,0.8368974940574125
2020-03-13,0.7554653874108541
2020-03-16,0.7865840931839672
2020-03-17,0.7381765803486495
2020-03-18,0.7503832758200873
2020-03-19,0.7231265803863428
2020-03-20,0.7111518436197337
2020-03-23,0.7893151620760297
2020-03-24,0.7973955023633588
2020-03-25,0.8404524269098846
2020-03-26,0.8149644464926905
2020-03-27,0.8417101428292733
2020-03-30,0.8311055366188048
2020-03-31,0.8062309579248288
2020-04-01,0.8263446901954407
2020-04-02,0.8117622115257993
2020-04-03,0.8665252462722213
2020-04-06,0.8684628495552473
2020-04-07,0.8911575269545673
2020-04-08,0.9077255465627005
2020-04-09,0.9020445874146173
2020-04-13,0.9236330778509652
2020-04-14,0.9039966982102406
2020-04-15,0.9074275550001228
2020-04-16,0.9479098254880451
2020-04-17,0.9335905992205444
2020-04-20,0.9096058780874131
2020-04-21,0.929001343566322
2020-04-22,0.9326164545094251
2020-04-23,0.9422048814511872
2020-04-24,0.9553876379888641
2020-04-27,0.9506609971416542
2020-04-28,0.9680653996650589
2020-04-29,0.9653365081331553
2020-04-30,0.9437353625467306
2020-05-01,0.9456125969886989
2020-05-04,0.9452413870569344
2020-05-05,0.9396014288429446
2020-05-06,0.9474294466615654
2020-05-07,0.960484398147233
2020-05-08,0.9565222684765841
2020-05-11,0.9390621264738758
2020-05-12,0.9286901767147925
2020-05-13,0.9385263124296789
2020-05-14,0.9427465551208294
2020-05-15,0.9681512326091574
2020-05-18,0.9581853421640443
2020-05-19,0.9708602532981601
2020-05-20,0.9657344958344819
2020-05-21,0.9672071633204631
2020-05-22,0.9829014108809379
2020-05-26,1.0020262859771023
2020-05-27,1.00510609503723
2020-05-28,1.0080330561672362
2020-05-29,1.0103082996793664
2020-06-01,1.0179524304642726
2020-06-02,1.0232467419709257
2020-06-03,1.0169353293107943
2020-06-04,1.0305671348794416
2020-06-05,1.036701120357828
2020-06-08,1.0396172691995287
2020-06-09,1.0452750034533003
2020-06-10,0.9689228498774793
2020-06-11,0.9907959163551189
2020-06-12,0.9971109500165221
2020-06-15,1.012703324948258
2020-06-16,1.0036485918117006
2020-06-17,1.0039456369651618
2020-06-18,0.9997662688623791
2020-06-19,1.0094234329117902
2020-06-22,1.0125613035561052
2020-06-23,0.9872752556206633
2020-06-24,0.9984129968033901
2020-06-25,0.9782638299503006
2020-06-26,0.9923251828932562
2020-06-29,1.005736176613685
2020-06-30,1.0109371509242016
2020-07-01,1.0164607141813684
2020-07-02,1.0298834538826351
2020-07-06,1.0231497263797926
2020-07-07,1.0282537316177245
2020-07-08,1.0150692964162447
2020-07-09,1.0312357213441194
2020-07-10,1.0313527482553477
2020-07-13,1.0468104307365627
2020-07-14,1.0502085595186945
2020-07-15,1.0474162177697783
2020-07-16,1.0463725486589186
2020-07-17,1.0540626296674953
2020-07-20,1.0673813817308104
2020-07-21,1.0725155864350404
2020-07-22,1.0635245793299806
2020-07-23,1.060452353443103
2020-07-24,1.0611190150696341
2020-07-27,1.05927986523174
2020-07-28,1.0703150897520688
2020-07-29,1.066415303984471
2020-07-30,1.0767129958559873
2020-07-31,1.080547949324832
2020-08-03,1.0876436073445435
2020-08-04,1.097624085499866
2020-08-05,1.1034418767141791
2020-08-06,1.1087187179950242
2020-08-07,1.1145541267810908
2020-08-10,1.0976480851557051
2020-08-11,1.115864386600469
2020-08-12,1.1125103149783573
2020-08-13,1.113792141879449
2020-08-14,1.112673573012575
2020-08-17,1.111176383021085
2020-08-18,1.10783280358744
2020-08-19,1.1103800865777638
2020-08-20,1.1133826374231823
2020-08-21,1.1261221080635797
2020-08-24,1.1252774568272073
2020-08-25,1.1272963684377757
2020-08-26,1.1338389612612703
2020-08-27,1.1457295874129387
2020-08-28,1.1399505328063033
2020-08-31,1.146671995943356
2020-09-01,1.1638201869678764
2020-09-02,1.1361942939896557
2020-09-03,1.1340198335802127
2020-09-04,1.1141607292756879
2020-09-08,1.1382972682237276
2020-09-09,1.1265249777830653
2020-09-10,1.1304280156277038
2020-09-11,1.143426675737118
2020-09-14,1.145704093436316
2020-09-15,1.1455871950268937
2020-09-16,1.1364331039782678
2020-09-17,1.1284010127192572
2020-09-18,1.1101625367952428
2020-09-21,1.1174069049803443
2020-09-22,1.1029187546959018
2020-09-23,1.1064638560818787
2020-09-24,1.1153529929870873
2020-09-25,1.1312870356258828
2020-09-28,1.1254032448732028
2020-09-29,1.132733757137486
2020-09-30,1.1314853719021276
2020-10-01,1.1274881055388015
2020-10-02,1.144735466487664
2020-10-05,1.1291875432207574
2020-10-06,1.1465502684569426
2020-10-07,1.1573938001588788
2020-10-08,1.1682306890886385
2020-10-09,1.1879906657191583
2020-10-12,1.1798597055272795
2020-10-13,1.169483144240781
2020-10-14,1.168331024274107
2020-10-15,1.171075448922806
2020-10-16,1.1559256038376364
2020-10-19,1.164053386281462
2020-10-20,1.15864758892185
2020-10-21,1.1690502866086796
2020-10-22,1.1742780965100765
2020-10-23,1.1536095606430898
2020-10-26,1.145794431159093
2020-10-27,1.1092741421062078
2020-10-28,1.1180733461776726
2020-10-29,1.1136896617743932
2020-10-30,1.1272604389329022
2020-11-02,1.1478450573424204
2020-11-03,1.1623367503889095
2020-11-04,1.1769771125855766
2020-11-05,1.1747463215225977
2020-11-06,1.2107287566962184
2020-11-09,1.2104621741931276
2020-11-10,1.2206399368107221
2020-11-11,1.210323092614756
2020-11-12,1.2248750302553115
2020-11-13,1.243169197008676
2020-11-16,1.2396352507209238
2020-11-17,1.2293804016134569
2020-11-18,1.2316488129636978
2020-11-19,1.22722268172224
2020-11-20,1.2409259382586801
2020-11-23,1.2554738382159676
2020-11-24,1.2589064291165872
2020-11-25,1.2639886524141428
2020-11-27,1.2587970554507815
2020-11-30,1.27312532521372
2020-12-01,1.278912562143166
2020-12-02,1.2753298720058475
2020-12-03,1.2830098323934709
2020-12-04,1.2834682915158362
2020-12-07,1.286717818837327
2020-12-08,1.280624588302047
2020-12-09,1.2789105565416414
2020-12-10,1.2793003897290087
2020-12-11,1.2715557836636404
2020-12-14,1.289670268020742
2020-12-15,1.2875684517004973
2020-12-16,1.2928792554384387
2020-12-17,1.2865874477378236
2020-12-18,1.2893250820460602
2020-12-21,1.2838921964437944
2020-12-22,1.2915544638495784
2020-12-23,1.2957714999951526
2020-12-24,1.3072262528976237
2020-12-28,1.3031720743412512
2020-12-29,1.3030588491227322
2020-12-30,1.3097310932093789
