feature,importance
vol_z_5,0.050655544
rsi_14,0.049646232
volume_pct_change,0.049364533
emb_7,0.048929106
vol_z_20,0.047631476
emb_2,0.046502445
emb_5,0.044184443
emb_0,0.043989547
emb_6,0.04183369
emb_1,0.04122705
emb_4,0.04059433
emb_3,0.03612908
log_ret_1d,0.035658896
vol_60d,0.03530403
macd_line,0.034669016
ret_5d,0.034538355
drawdown_20d,0.03424428
ret_1d,0.0339841
macd_hist,0.03378074
macd_signal,0.033040036
mom_3d,0.03153204
mom_10,0.03142822
vol_5d,0.031151945
vol_20d,0.03025504
mom_21d,0.030234179
ret_20d,0.029491581
