date,rolling_sharpe,rolling_ic_mean
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-30,,
2020-03-31,,
2020-04-01,-0.07447800704536502,0.02783945052464222
2020-04-02,-0.07902176240110134,0.026326626431172968
2020-04-03,-0.05260894010825451,0.022908913540795564
2020-04-06,-0.050791707827843306,0.026375477797403613
2020-04-07,-0.037657235083519765,0.015099119746852012
2020-04-08,-0.0328317982187925,0.021860752236365265
2020-04-09,-0.036665127510894326,0.027277826201826328
2020-04-13,-0.03169959319265724,0.02881358092610733
2020-04-14,-0.03953157279740436,0.023931813947566157
2020-04-15,-0.041864242286287406,0.024810415632619452
2020-04-16,-0.030113262719372938,0.03237453609996573
2020-04-17,-0.038425767102618254,0.041707497045829905
2020-04-20,-0.04785241713243805,0.045344093424361756
2020-04-21,-0.03880729560131522,0.04458186282342149
2020-04-22,-0.03649163505260363,0.04987092859635822
2020-04-23,-0.028153518622043436,0.05017931196925772
2020-04-24,-0.016451102211780626,0.050685526185149356
2020-04-27,-0.02430868260728492,0.0452917264365109
2020-04-28,-0.01738908098765601,0.03520235344391211
2020-04-29,-0.0201327526399972,0.045908493182309905
2020-04-30,-0.02105299594809434,0.051302292930948366
2020-05-01,-0.0236473693671038,0.04939380715149484
2020-05-04,-0.026633140962445827,0.04297012330845616
2020-05-05,-0.034231658473151245,0.04321418900552519
2020-05-06,-0.03199140891060615,0.04310945502982347
2020-05-07,-0.02566117306825317,0.04608855478311678
2020-05-08,-0.027677663136395126,0.04765956441864253
2020-05-11,-0.03695123986082334,0.0501091757392216
2020-05-12,-0.044883626561234846,0.05536043717542847
2020-05-13,-0.039796538162304496,0.04934405212678535
2020-05-14,-0.03921710503453613,0.05399036447423544
2020-05-15,-0.028298851725492954,0.05363543266769073
2020-05-18,-0.03504510262128306,0.0578887957920216
2020-05-19,-0.027916661075537193,0.055968672904156774
2020-05-20,-0.026776069035104433,0.060146394823814175
2020-05-21,-0.010615559674921763,0.06812945119396732
2020-05-22,0.004700095085580524,0.0653656379462831
2020-05-26,0.010736856858026078,0.06540636782572266
2020-05-27,0.027493881131482618,0.07771842852488015
2020-05-28,0.03426480998520478,0.07741586370618628
2020-05-29,0.016039398919387552,0.07869012707722386
2020-06-01,0.0282187816049955,0.08129683936135548
2020-06-02,0.015141230762160486,0.07383163431550528
2020-06-03,0.0256352413327702,0.06874621793976633
2020-06-04,0.037209754798130296,0.06178722710980775
2020-06-05,0.07080428657542033,0.05224479821254015
2020-06-08,0.04841348113857342,0.058150630731275896
2020-06-09,0.07506201400092855,0.06489433505562538
2020-06-10,0.08867278949864531,0.05922124470511568
2020-06-11,0.05642691403831825,0.06250872783130848
2020-06-12,0.1456525593563891,0.05982637434250338
2020-06-15,0.13465159657395606,0.061356654098589584
2020-06-16,0.17748164819506376,0.06586603360796911
2020-06-17,0.16487923368711285,0.06274146999953452
2020-06-18,0.1847197188810106,0.06484196806777452
2020-06-19,0.21134054258285845,0.06794907601359214
2020-06-22,0.16894846682533676,0.05778988037052553
2020-06-23,0.1407240042165418,0.04814853605176186
2020-06-24,0.11517066673458372,0.049027137736815156
2020-06-25,0.11829322413303722,0.05782479169575943
2020-06-26,0.11017035148681106,0.05952380952380952
2020-06-29,0.1306669775942339,0.05612577386770935
2020-06-30,0.15936519199095203,0.05540427314620863
2020-07-01,0.14429702823374366,0.055351906158357764
2020-07-02,0.17188669407251425,0.05712656519108132
2020-07-06,0.12334044932584685,0.05594539868733417
2020-07-07,0.1258703711290281,0.04997556207233626
2020-07-08,0.08782898918655711,0.04868384303868174
2020-07-09,0.08613928583855925,0.04834054834054834
2020-07-10,0.09780601634910875,0.04498906111809337
2020-07-13,0.09352865501819452,0.04458758087790345
2020-07-14,0.12585229399471412,0.042481264255457805
2020-07-15,0.12918694881185053,0.040136386910580454
2020-07-16,0.09534159394317454,0.028650560908625427
2020-07-17,0.1265184649761391,0.025915840431969466
2020-07-20,0.1657050681040571,0.02634641344318764
2020-07-21,0.15239781096333643,0.026526788623562815
2020-07-22,0.13293889673951068,0.02317530140110785
2020-07-23,0.11684524858310145,0.02844109295722199
2020-07-24,0.10713491659268454,0.030140110785272074
2020-07-27,0.10702168343865649,0.03430619559651817
2020-07-28,0.09612385653839516,0.04254526835171996
2020-07-29,0.09187607446587309,0.04265000232742169
2020-07-30,0.12651186524907732,0.039217055346087604
2020-07-31,0.13186497394169241,0.04100917004142811
2020-08-03,0.13318744459392445,0.048922403761113446
2020-08-04,0.14826935329916913,0.04860238327980264
2020-08-05,0.14830994765372885,0.05102290182935345
2020-08-06,0.14030787540185935,0.05813317506865894
2020-08-07,0.14896445048772847,0.059023413862123536
2020-08-10,0.1678319867476466,0.047979797979797977
2020-08-11,0.19203513638909026,0.05479914350882093
2020-08-12,0.17354758308799476,0.06150211795373086
2020-08-13,0.16955013541646075,0.06177559000139646
2020-08-14,0.14117507871274657,0.06665735697993762
2020-08-17,0.14909010717981158,0.06064097193129451
2020-08-18,0.12951656886061735,0.0703172275752921
2020-08-19,0.13345762284290102,0.07472769166317553
2020-08-20,0.1349262290504009,0.07190569287343482
2020-08-21,0.13633034683344153,0.07457640925382861
2020-08-24,0.11871368740781697,0.06725666806311968
2020-08-25,0.11652182676878593,0.058013819778991824
2020-08-26,0.11153929116643357,0.05712358098552722
2020-08-27,0.12597806792566826,0.05905534098180335
2020-08-28,0.11388069026927712,0.0646993385612848
2020-08-31,0.11563880979646671,0.07578950287725557
2020-09-01,0.14176972778201843,0.07969957130345302
