,value
2023-01-03,1.0025040973950825
2023-01-04,0.9888934398585475
2023-01-05,1.0097684088337822
2023-01-06,1.0058438220027854
2023-01-09,1.009317269821183
2023-01-10,1.022286422899182
2023-01-11,1.0260933550185123
2023-01-12,1.0299814983886992
2023-01-13,1.0258258946904342
2023-01-17,1.0129962757775879
2023-01-18,1.0075831268170394
2023-01-19,1.0224892594920996
2023-01-20,1.0341158760438294
2023-01-23,1.0386208379358561
2023-01-24,1.0353461936137551
2023-01-25,1.041079193873148
2023-01-26,1.037416277726588
2023-01-27,1.0279758291734906
2023-01-30,1.0386648872427706
2023-01-31,1.0432856327750322
2023-02-01,1.043342443026007
2023-02-02,1.039747396492046
2023-02-03,1.0388752486539146
2023-02-06,1.0438321225467637
2023-02-07,1.038480213188303
2023-02-08,1.0271167422107932
2023-02-09,1.0341656563263018
2023-02-10,1.044828240280433
2023-02-13,1.0438284848622705
2023-02-14,1.0445779816543794
2023-02-15,1.0329632664016284
2023-02-16,1.0329428612151612
2023-02-17,1.0190497864559187
2023-02-21,1.0168045858143497
2023-02-22,1.021739911306012
2023-02-23,1.012058762181597
2023-02-24,1.0126560382810208
2023-02-27,1.0107715942062148
2023-02-28,1.0045847386525717
2023-03-01,1.0129424608411703
2023-03-02,1.0322244318768692
2023-03-03,1.0335038749846763
2023-03-06,1.0174914260491406
2023-03-07,1.0144371482749943
2023-03-08,0.9940824761654926
2023-03-09,0.9860417859483777
2023-03-10,0.9837918936293905
2023-03-13,0.9964696084478037
2023-03-14,0.9930766546143042
2023-03-15,1.0063035158543867
2023-03-16,0.9987694668063202
2023-03-17,1.0096056626515726
2023-03-20,1.0170496620962546
2023-03-21,1.004135388427526
2023-03-22,1.003844573556937
2023-03-23,1.0081725424956154
2023-03-24,1.0206665874365572
2023-03-27,1.0190025542171302
2023-03-28,1.0294143155190685
2023-03-29,1.0318289167394192
2023-03-30,1.0458769099819973
2023-03-31,1.0537243634788251
2023-04-03,1.0478923275509433
2023-04-04,1.0498186044149198
2023-04-05,1.0518209053595347
2023-04-06,1.058012633130867
2023-04-10,1.0628242904034255
2023-04-11,1.059968099791569
2023-04-12,1.0660675180383852
2023-04-13,1.0725703026901798
2023-04-14,1.0755613353037248
2023-04-17,1.0795116285891524
2023-04-18,1.0783820441747014
2023-04-19,1.0758414086147305
2023-04-20,1.0787244994747178
2023-04-21,1.0826672586807358
2023-04-24,1.0677968612929827
2023-04-25,1.059762071344804
2023-04-26,1.0804289224576664
2023-04-27,1.089217637015816
2023-04-28,1.0927628097385806
2023-05-01,1.0832445903033794
2023-05-02,1.074690031896796
2023-05-03,1.063397971635339
2023-05-04,1.0804162844244831
2023-05-05,1.080253192811746
2023-05-08,1.077944871203806
2023-05-09,1.0851459129882581
2023-05-10,1.0848903395229337
2023-05-11,1.0860510528072806
2023-05-12,1.0922303495748287
2023-05-15,1.0829962832793505
2023-05-16,1.1000175811165984
2023-05-17,1.1039940004397177
2023-05-18,1.0995774799303604
2023-05-19,1.0978679437159244
2023-05-22,1.0943507664962808
2023-05-23,1.0864962199367914
2023-05-24,1.0831193573848164
2023-05-25,1.09249616952427
2023-05-26,1.0902863196430885
2023-05-30,1.0859277881418772
2023-05-31,1.0924244427934282
2023-06-01,1.1123565599081104
2023-06-02,1.109818630495471
2023-06-05,1.1146773876058815
2023-06-06,1.1191039785565116
2023-06-07,1.1224273593665668
2023-06-08,1.1205060408110796
2023-06-09,1.124051542219223
2023-06-12,1.1312777663034645
2023-06-13,1.130605377462985
2023-06-14,1.1383158483139557
2023-06-15,1.1358142575902488
2023-06-16,1.1284517774253646
2023-06-20,1.1242823628694734
2023-06-21,1.1235581083220676
2023-06-22,1.1153688085437512
2023-06-23,1.113147602287685
2023-06-26,1.1203751570689187
2023-06-27,1.1191804535353822
2023-06-28,1.1258940713062018
2023-06-29,1.1340418932986676
2023-06-30,1.1351997961536568
2023-07-03,1.1310451348076842
2023-07-05,1.1160457662732521
2023-07-06,1.1156613009835883
2023-07-07,1.1184504589565767
2023-07-10,1.1293188101959055
2023-07-11,1.1414809381831992
2023-07-12,1.1449015299094623
2023-07-13,1.1422705880718054
2023-07-14,1.1457348842451156
2023-07-17,1.1560108191846248
2023-07-18,1.1617563102581803
2023-07-19,1.16742530775316
2023-07-20,1.172182279254919
2023-07-21,1.1791346164162064
2023-07-24,1.174711691007011
2023-07-25,1.175201338199316
2023-07-26,1.168749351487528
2023-07-27,1.1739113242800836
2023-07-28,1.183235912786261
2023-07-31,1.179868202708876
2023-08-01,1.1656357245566262
2023-08-02,1.1660809786912687
2023-08-03,1.158690215587483
2023-08-04,1.1688865244766913
2023-08-07,1.161528344066807
2023-08-08,1.152723494733038
2023-08-09,1.1509918133823853
2023-08-10,1.1507482264996245
2023-08-11,1.1548965765523955
