,value
2023-01-03,1.0025040973950825
2023-01-04,0.9931697293186172
2023-01-05,1.0162783933831308
2023-01-06,1.0133506145006528
2023-01-09,1.0198083997031657
2023-01-10,1.0329123578355006
2023-01-11,1.0413362665066
2023-01-12,1.0469447722259912
2023-01-13,1.0444527878203966
2023-01-17,1.0303895344306524
2023-01-18,1.0248834411007617
2023-01-19,1.0398030767592306
2023-01-20,1.0461723718710854
2023-01-23,1.0503275723933845
2023-01-24,1.0533653236560263
2023-01-25,1.0591981008575124
2023-01-26,1.0538580221331006
2023-01-27,1.0467407382808294
2023-01-30,1.0598871746678813
2023-01-31,1.0665144711622234
2023-02-01,1.0665725462979978
2023-02-02,1.0624978991960103
2023-02-03,1.0616554127155937
2023-02-06,1.0653719456545556
2023-02-07,1.0607972120534588
2023-02-08,1.0491895394381239
2023-02-09,1.0559034926009356
2023-02-10,1.0708262571091236
2023-02-13,1.0684194149659152
2023-02-14,1.0688769420549193
2023-02-15,1.0569920454361557
2023-02-16,1.0539634951719523
2023-02-17,1.0332727412788447
2023-02-21,1.0306815451399112
2023-02-22,1.0404134808008767
2023-02-23,1.0305553966179755
2023-02-24,1.031597333074592
2023-02-27,1.0292432698806404
2023-02-28,1.0233552429471435
2023-03-01,1.0304563800433149
2023-03-02,1.0500717391003795
2023-03-03,1.0520933897861937
2023-03-06,1.0344791339135466
2023-03-07,1.0341237207529776
2023-03-08,1.012321939012821
2023-03-09,1.004133717907678
2023-03-10,0.9946878139219992
2023-03-13,1.010422208950155
2023-03-14,1.0044467834439925
2023-03-15,1.0154887826483456
2023-03-16,1.0078859648347378
2023-03-17,1.0195147722268376
2023-03-20,1.0272931120196782
2023-03-21,1.016032348446436
2023-03-22,1.014330032680607
2023-03-23,1.0187032085592744
2023-03-24,1.0263265855106123
2023-03-27,1.0249347293464464
2023-03-28,1.0371449282252578
2023-03-29,1.038364377487432
2023-03-30,1.0525013487639998
2023-03-31,1.063219599393673
2023-04-03,1.0596604669424405
2023-04-04,1.061390582539562
2023-04-05,1.0658289865480417
2023-04-06,1.072103175339949
2023-04-10,1.071345318091311
2023-04-11,1.068607376389425
2023-04-12,1.0809702650224895
2023-04-13,1.0878665937184964
2023-04-14,1.0909002824686294
2023-04-17,1.091471888312536
2023-04-18,1.0883924572068049
2023-04-19,1.086974173867864
2023-04-20,1.087929463103909
2023-04-21,1.0919058666325576
2023-04-24,1.0746574937174078
2023-04-25,1.066626638684818
2023-04-26,1.0767472876159376
2023-04-27,1.0808255643058966
2023-04-28,1.08434342260935
2023-05-01,1.0746540324479128
2023-05-02,1.0669345937511394
2023-05-03,1.0546064551295633
2023-05-04,1.0713332290519533
2023-05-05,1.0711715085497509
2023-05-08,1.0675799030027413
2023-05-09,1.0691965469155502
2023-05-10,1.0595071785482066
2023-05-11,1.0588113487178117
2023-05-12,1.0648356599393358
2023-05-15,1.0528736948375437
2023-05-16,1.0685717332624685
2023-05-17,1.070922739841219
2023-05-18,1.0688823173176005
2023-05-19,1.067220503517503
2023-05-22,1.0620207564053923
2023-05-23,1.057550900686752
2023-05-24,1.0623082680250235
2023-05-25,1.0708461929622337
2023-05-26,1.068680135635633
2023-05-30,1.0630152381618097
