,value
2021-01-04,1.0087935792591587
2021-01-05,1.0138734364542665
2021-01-06,1.0221500346917436
2021-01-07,1.024890265661814
2021-01-08,1.0198695422092283
2021-01-11,1.0162961628521858
2021-01-12,1.0188303751497456
2021-01-13,1.019564875432809
2021-01-14,1.018245277757349
2021-01-15,1.0237345507928355
2021-01-19,1.0270148458197181
2021-01-20,1.0211150281499537
2021-01-21,1.019409583208763
2021-01-22,1.0149278068160474
2021-01-25,1.0124487687321233
2021-01-26,0.9859881159855627
2021-01-27,1.002801830546216
2021-01-28,0.9871272926814003
2021-01-29,0.9984612494047052
2021-02-01,1.0110484240624724
2021-02-02,1.0094090195031833
2021-02-03,1.0131065156873214
2021-02-04,1.01747318999072
2021-02-05,1.0242652647264778
2021-02-08,1.0262449411106183
2021-02-09,1.0294133901920322
2021-02-10,1.0256874446057853
2021-02-11,1.0290005903963193
2021-02-12,1.0241998850380918
2021-02-16,1.0260942301634837
2021-02-17,1.022492772318275
2021-02-18,1.020255148892093
2021-02-19,1.015908366562091
2021-02-22,1.0152584751285454
2021-02-23,1.0180310430148836
2021-02-24,1.00230290381263
2021-02-25,0.9965917491509481
2021-02-26,1.019670067675785
2021-03-01,1.015621375341522
2021-03-02,1.0037744398296617
2021-03-03,0.9937159339546232
2021-03-04,1.0051070749740445
2021-03-05,1.0090269852604268
2021-03-08,1.0260694041693668
2021-03-09,1.044849305487721
2021-03-10,1.053281502056174
2021-03-11,1.0628665714393943
2021-03-12,1.0703875091317598
2021-03-15,1.0656918919802505
2021-03-16,1.0689483731977822
2021-03-17,1.0583544609992774
2021-03-18,1.0563811405398762
2021-03-19,1.0622923218687879
2021-03-22,1.0536138864726663
2021-03-23,1.0508051292854341
2021-03-24,1.056031638793932
2021-03-25,1.0678498711981628
2021-03-26,1.067170597586023
2021-03-29,1.0692843476413423
2021-03-30,1.0722310299724958
2021-03-31,1.0796314900755228
2021-04-01,1.0859289337543987
2021-04-05,1.0856461850303512
2021-04-06,1.0902563436729806
2021-04-07,1.090533488040583
2021-04-08,1.09707765619288
2021-04-09,1.0956448296869077
2021-04-12,1.0964610161309905
2021-04-13,1.1014290755407274
2021-04-14,1.1165323745156897
2021-04-15,1.1230298327728363
2021-04-16,1.1202627496936588
2021-04-19,1.11763269817939
2021-04-20,1.1283390674922902
2021-04-21,1.11696558854945
2021-04-22,1.1309640237093306
2021-04-23,1.1294871587876525
2021-04-26,1.1305654402736725
2021-04-27,1.130969914789782
2021-04-28,1.1427115472989688
2021-04-29,1.1387351256368838
2021-04-30,1.14550166757667
2021-05-03,1.1388265817917427
2021-05-04,1.1403272823609674
2021-05-05,1.150090160964566
2021-05-06,1.158352495098229
2021-05-07,1.1532777108292787
2021-05-10,1.1437662789674934
2021-05-11,1.1240547708046886
2021-05-12,1.137039008582022
2021-05-13,1.1510281790034105
