,value
2024-01-02,0.9928986948706252
2024-01-03,0.9883793913515249
2024-01-04,0.990358087173674
2024-01-05,0.9995973299273899
2024-01-08,0.995021046001219
2024-01-09,0.9995094475221954
2024-01-10,1.0015449386045348
2024-01-11,1.0035755225682301
2024-01-12,0.997639268358542
2024-01-16,0.9905017125529816
2024-01-17,0.9971205844642648
2024-01-18,1.0093176541884339
2024-01-19,1.011379069982501
2024-01-22,1.0129747324932823
2024-01-23,1.0141759588414403
2024-01-24,1.0266498228827126
2024-01-25,1.0269051819029529
2024-01-26,1.0332080826967347
2024-01-29,1.037065853609609
2024-01-30,1.0203527009586157
2024-01-31,1.030787929268714
2024-02-01,1.0279227499298798
2024-02-02,1.0177419632528326
2024-02-05,1.02741316219583
2024-02-06,1.0317871063115205
2024-02-07,1.0382731421400888
2024-02-08,1.0355924497578022
2024-02-09,1.0419350772399567
2024-02-12,1.0264661626309688
2024-02-13,1.0317188665236319
2024-02-14,1.0463846929514613
2024-02-15,1.0437647707606148
2024-02-16,1.0421547929523134
2024-02-20,1.0445782785803062
2024-02-21,1.0507980844971714
2024-02-22,1.0534961076424776
2024-02-23,1.0477069862598332
2024-02-26,1.0488751110658405
2024-02-27,1.0488995581462037
2024-02-28,1.047567764559122
2024-02-29,1.0493680314683849
2024-03-01,1.0482588072390029
2024-03-04,1.0423361784965932
2024-03-05,1.0443548395793494
2024-03-06,1.0513705833588187
2024-03-07,1.0529150421467794
2024-03-08,1.0547942209412058
2024-03-11,1.0644911407660496
2024-03-12,1.0654909789797378
2024-03-13,1.0644029243825157
2024-03-14,1.0603016316672143
2024-03-15,1.0654183860301878
2024-03-18,1.0738602755959976
2024-03-19,1.0827599229863014
2024-03-20,1.0861453467733315
2024-03-21,1.0818045447101992
2024-03-22,1.0766222343167948
2024-03-25,1.0742882437157208
2024-03-26,1.0873623757561501
2024-03-27,1.0881337285444308
2024-03-28,1.0830312045783663
2024-04-01,1.075023188099958
2024-04-02,1.074200602791352
2024-04-03,1.0656271023386699
2024-04-04,1.0730385392048012
2024-04-05,1.0759342823227966
2024-04-08,1.0784137055791359
2024-04-09,1.0667263251269155
2024-04-10,1.0722996909958518
2024-04-11,1.060197119511897
2024-04-12,1.0529862797712903
2024-04-15,1.0499532037793
2024-04-16,1.0490525492123697
2024-04-17,1.0519521260472295
2024-04-18,1.052344885854641
2024-04-19,1.061584804405174
2024-04-22,1.0678918477519943
2024-04-23,1.066617920613338
2024-04-24,1.0644941479509231
2024-04-25,1.0747280455758517
2024-04-26,1.0759729578303228
2024-04-29,1.0617428918194904
2024-04-30,1.0629554536966845
2024-05-01,1.0721669165936758
2024-05-02,1.0777114084373063
2024-05-03,1.0860373129430134
2024-05-06,1.0881575407942734
2024-05-07,1.0910067821724936
2024-05-08,1.1016106066935518
2024-05-09,1.1049974690892226
2024-05-10,1.1027148920655352
2024-05-13,1.1096787640960166
2024-05-14,1.121212760271889
2024-05-15,1.1176850910984282
2024-05-16,1.1219851661980107
2024-05-17,1.1156394753215275
2024-05-20,1.1223164189166686
2024-05-21,1.1164524027743192
2024-05-22,1.100605976450924
2024-05-23,1.1024047346210277
2024-05-24,1.0984426392866014
2024-05-28,1.0866556825930962
2024-05-29,1.0865350638542248
2024-05-30,1.1016388423929182
2024-05-31,1.095687483970141
2024-06-03,1.0952084507269317
2024-06-04,1.099822125185919
2024-06-05,1.1001363096010526
2024-06-06,1.0988907905330652
2024-06-07,1.100047554057932
2024-06-10,1.0931259936377256
2024-06-11,1.1017998574783159
2024-06-12,1.1018267316336063
2024-06-13,1.0987824909342925
2024-06-14,1.1056031845337317
2024-06-17,1.110868600305941
2024-06-18,1.1162801489370244
2024-06-20,1.1143253978616299
2024-06-21,1.120269952527299
2024-06-24,1.111396482741612
2024-06-25,1.1092456309173293
2024-06-26,1.1104923421280897
2024-06-27,1.106749570421672
2024-06-28,1.1077104526152541
2024-07-01,1.1134972124280904
