date,rolling_sharpe,rolling_ic_mean
2024-01-02,,
2024-01-03,,
2024-01-04,,
2024-01-05,,
2024-01-08,,
2024-01-09,,
2024-01-10,,
2024-01-11,,
2024-01-12,,
2024-01-16,,
2024-01-17,,
2024-01-18,,
2024-01-19,,
2024-01-22,,
2024-01-23,,
2024-01-24,,
2024-01-25,,
2024-01-26,,
2024-01-29,,
2024-01-30,,
2024-01-31,,
2024-02-01,,
2024-02-02,,
2024-02-05,,
2024-02-06,,
2024-02-07,,
2024-02-08,,
2024-02-09,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,,
2024-02-16,,
2024-02-20,,
2024-02-21,,
2024-02-22,,
2024-02-23,,
2024-02-26,,
2024-02-27,,
2024-02-28,,
2024-02-29,,
2024-03-01,,
2024-03-04,,
2024-03-05,,
2024-03-06,,
2024-03-07,,
2024-03-08,,
2024-03-11,,
2024-03-12,,
2024-03-13,,
2024-03-14,,
2024-03-15,,
2024-03-18,,
2024-03-19,,
2024-03-20,,
2024-03-21,,
2024-03-22,,
2024-03-25,,
2024-03-26,,
2024-03-27,,
2024-03-28,,
2024-04-01,,
2024-04-02,0.18644943413812062,-0.038962726154262446
2024-04-03,0.18358011162395294,-0.03353015716826565
2024-04-04,0.20601034254436779,-0.039548669093249944
2024-04-05,0.21004527077864438,-0.03122498248268513
2024-04-08,0.1937879461416413,-0.03519499504977151
2024-04-09,0.18198363086960365,-0.029096352298524825
2024-04-10,0.18814082115227726,-0.022518652646108563
2024-04-11,0.17082278766458264,-0.015712647814980375
2024-04-12,0.14854041611780963,-0.012823512714283513
2024-04-15,0.16857911333539627,-0.008969460792914224
2024-04-16,0.18847941070057195,-0.008391546175775363
2024-04-17,0.1656835379467133,-0.010833206797442395
2024-04-18,0.14184313470076654,-0.00940096441538913
2024-04-19,0.1534439017038813,-0.008664254511323286
2024-04-22,0.152360833661826,-0.013176654523513999
2024-04-23,0.15721752004538675,-0.005074968868362032
2024-04-24,0.10888401741722027,-0.0012473728680544767
2024-04-25,0.11409842160242288,-0.0017401238839153063
2024-04-26,0.10428679666436143,-0.0012402454222475274
2024-04-29,0.04728635765979427,-0.00011688722612713866
2024-04-30,0.08997805701864187,-0.001255875384008506
2024-05-01,0.08445650231082012,-0.003276478817571677
2024-05-02,0.10369124593285432,-0.004513831031008624
2024-05-03,0.14731683711938257,-0.004690180851890507
2024-05-06,0.13143898041727173,-0.004937229540550854
2024-05-07,0.12460851014660522,-0.004104158184121088
2024-05-08,0.13014445764992055,-0.002426012969289691
2024-05-09,0.13023187824199522,-0.0035004901084211065
2024-05-10,0.11945801388185569,-0.002932683063015745
2024-05-13,0.1736600676288733,0.001003288798006884
2024-05-14,0.17378292312318727,-0.002764938879037464
2024-05-15,0.15200009476082463,-0.0017347261401540659
2024-05-16,0.1715752458443597,-0.002175372218422454
2024-05-17,0.16682798290336454,-0.004469463177966072
2024-05-20,0.17684977507808347,-0.0036013574445334403
2024-05-21,0.1307658462414064,-0.006730490332583809
2024-05-22,0.07991357979211212,-0.01006795964824623
2024-05-23,0.11362349969660947,-0.005748875085378711
2024-05-24,0.10687723371631248,-0.003942385123628169
2024-05-28,0.07053630511684111,-0.0124466228562454
2024-05-29,0.0671685339436228,-0.011279461050538415
2024-05-30,0.08099751810054426,-0.01220546317360651
2024-05-31,0.09795058146168437,-0.002302750662571612
2024-06-03,0.11227909571605413,0.0008426252117340684
2024-06-04,0.12104662484259633,0.010859610828264305
2024-06-05,0.11408389760786543,0.013301133658021266
2024-06-06,0.09535471193344187,0.005826923880686275
2024-06-07,0.10114153246336163,0.008637263021598588
2024-06-10,0.05574313346993619,-0.0007232525664047147
2024-06-11,0.057201726240976275,-0.011454339860247858
2024-06-12,0.05941241749933497,-0.014165426882913853
2024-06-13,0.06816713387546534,-0.013921776117746814
2024-06-14,0.06038001134538061,-0.016866465983520203
2024-06-17,0.04449465904681913,-0.022850114766069116
2024-06-18,0.04012529719526685,-0.018600972467403217
2024-06-20,0.025846269577892586,-0.0178553532554963
2024-06-21,0.034781731613831496,-0.029814709973522924
2024-06-24,0.03657967441514334,-0.022300283868583213
2024-06-25,0.02944770592304467,-0.03178738849342112
2024-06-26,0.01215041269075278,-0.03308855625435777
