,value
2020-01-02,0.9943782657285178
2020-01-03,0.994762578873255
2020-01-06,0.9913359431845432
2020-01-07,0.9964071814683656
2020-01-08,1.0013784196347517
2020-01-09,0.9999626646337001
2020-01-10,1.0034497638829663
2020-01-13,1.003049451392724
2020-01-14,1.0058494202668304
2020-01-15,1.0135097181876442
2020-01-16,1.0143129414603722
2020-01-17,1.0146395802198667
2020-01-21,1.0147082284169175
2020-01-22,1.0154026621775587
2020-01-23,1.0064035087502363
2020-01-24,0.9982772494370312
2020-01-27,1.0025977354195534
2020-01-28,1.0016539298904985
2020-01-29,1.005620348299503
2020-01-30,0.9926871447556239
2020-01-31,0.9987624361698973
2020-02-03,1.0074677530317442
2020-02-04,1.0256313987228922
2020-02-05,1.0249107197732918
2020-02-06,1.020946973884742
2020-02-07,1.02087003399003
2020-02-10,1.0230385868503828
2020-02-11,1.0287431361408594
2020-02-12,1.0285178540920383
2020-02-13,1.027280289520752
2020-02-14,1.0228811678682777
2020-02-18,1.0253881012040058
2020-02-19,1.0241832059312381
2020-02-20,1.0215935122656044
2020-02-21,0.9926609367472035
2020-02-24,0.9657417760522496
2020-02-25,0.9608098600426562
2020-02-26,0.9265401283099707
2020-02-27,0.9134209762719757
2020-02-28,0.9542036588931393
2020-03-02,0.9332719058156967
2020-03-03,0.968178239019809
2020-03-04,0.9379261356678985
2020-03-05,0.9276378916049092
2020-03-06,0.8630670368513089
2020-03-09,0.897607685342007
2020-03-10,0.8571034410045018
2020-03-11,0.7814267338272455
2020-03-12,0.8458462433856409
2020-03-13,0.7669071920488759
2020-03-16,0.803742928488202
2020-03-17,0.762016664291135
2020-03-18,0.7749180560790593
2020-03-19,0.7504234061039575
2020-03-20,0.7320434282775887
2020-03-23,0.8050152898452894
2020-03-24,0.8157513211874046
2020-03-25,0.8605552164089968
2020-03-26,0.8298212205290936
2020-03-27,0.8513528557540112
2020-03-30,0.8392377260220532
2020-03-31,0.8130290638114243
2020-04-01,0.8336545058178414
2020-04-02,0.8220347610605117
2020-04-03,0.870473038567964
2020-04-06,0.8701398032019593
2020-04-07,0.8932961635504431
2020-04-08,0.9090818951337417
2020-04-09,0.9060722591940761
2020-04-13,0.9205679399378704
2020-04-14,0.9031774908673651
2020-04-15,0.8989421866994359
2020-04-16,0.9264947538844924
2020-04-17,0.9108550393571069
2020-04-20,0.8907524298563848
2020-04-21,0.9091538860185261
2020-04-22,0.9133408322936157
2020-04-23,0.9222943415657312
2020-04-24,0.9335811892810119
2020-04-27,0.9312393960359199
2020-04-28,0.9551515895080293
2020-04-29,0.9475856509058977
2020-04-30,0.925163636192969
2020-05-01,0.9287614536842753
2020-05-04,0.9352761607783826
2020-05-05,0.9284781294883034
2020-05-06,0.9355637446828968
2020-05-07,0.9485758446999815
2020-05-08,0.9461515396881646
2020-05-11,0.9284832292322966
2020-05-12,0.9149648755574732
2020-05-13,0.9284328441006392
2020-05-14,0.9330620368566853
2020-05-15,0.9570572348382537
2020-05-18,0.9462896913612666
2020-05-19,0.9584523215691383
2020-05-20,0.9527164361031809
2020-05-21,0.9522753328267091
2020-05-22,0.9666816060396218
2020-05-26,0.9820823021316871
2020-05-27,0.9798221724679571
2020-05-28,0.9813758815572319
2020-05-29,0.9811875252815819
2020-06-01,0.9890681105438809
2020-06-02,1.000038297833893
2020-06-03,0.9933157571720498
2020-06-04,1.0099525287368125
2020-06-05,1.0169870455694054
2020-06-08,1.0172051116984033
2020-06-09,1.018830032025797
2020-06-10,0.9727201835838827
2020-06-11,0.9817525438811093
2020-06-12,0.9866336858177212
2020-06-15,1.004820932176613
2020-06-16,1.0004530513605128
2020-06-17,1.00035749223201
2020-06-18,0.9983807162546697
2020-06-19,1.0054923858574696
2020-06-22,1.0094205755402756
2020-06-23,0.9920920811095787
2020-06-24,1.0014804877293886
2020-06-25,0.9788005914814596
2020-06-26,0.9919890147393539
2020-06-29,1.0043715789298078
2020-06-30,1.010287744934899
2020-07-01,1.0144881048283656
2020-07-02,1.026173083154657
2020-07-06,1.0209237364991017
2020-07-07,1.0276317362308627
2020-07-08,1.0232227554559243
2020-07-09,1.0338941662200996
2020-07-10,1.0327656165002292
2020-07-13,1.0504259727248666
2020-07-14,1.0547787139217295
2020-07-15,1.053062838020053
2020-07-16,1.053164602613316
2020-07-17,1.053608049515972
2020-07-20,1.064310926900739
2020-07-21,1.0716704015711325
2020-07-22,1.064666224915105
2020-07-23,1.0621587319367278
2020-07-24,1.0651440342532588
2020-07-27,1.0617087392493185
2020-07-28,1.0679455323567624
2020-07-29,1.059476379666581
2020-07-30,1.061063682946219
2020-07-31,1.0671334600463689
2020-08-03,1.0761099352434749
2020-08-04,1.0875388360385705
2020-08-05,1.091524200899531
2020-08-06,1.0952175098317518
2020-08-07,1.100408541015183
2020-08-10,1.0957249868437882
2020-08-11,1.1040163202800477
2020-08-12,1.1002296425971239
2020-08-13,1.0995048649264463
2020-08-14,1.100632741465399
2020-08-17,1.0984832052700677
2020-08-18,1.090176196791915
2020-08-19,1.0880666082178931
2020-08-20,1.088835681956913
2020-08-21,1.1001068478513336
2020-08-24,1.098738681492149
2020-08-25,1.0982717280723715
2020-08-26,1.102114879788598
2020-08-27,1.1104515271356628
2020-08-28,1.1006215913374018
2020-08-31,1.1067306464903945
2020-09-01,1.1235485067327218
2020-09-02,1.1053516893777584
2020-09-03,1.1053493534555363
2020-09-04,1.087282454323686
2020-09-08,1.0967412529816587
2020-09-09,1.0846299889556377
2020-09-10,1.089160209533808
2020-09-11,1.0964310249468514
2020-09-14,1.09199986971781
2020-09-15,1.0994840677030135
2020-09-16,1.0911576325592394
2020-09-17,1.0844016667557266
2020-09-18,1.0628774125781622
2020-09-21,1.0593250997360875
2020-09-22,1.0375406663136224
2020-09-23,1.0413528318906453
2020-09-24,1.0491119849754662
2020-09-25,1.0666889564145081
2020-09-28,1.0576035508558677
2020-09-29,1.064740602700789
2020-09-30,1.063336203319274
2020-10-01,1.0662333421545294
2020-10-02,1.0787881343171315
2020-10-05,1.06803523158781
2020-10-06,1.0821710934952826
