,value
2020-01-02,0.9962088672309224
2020-01-03,0.9998864803680949
2020-01-06,0.9956415016337221
2020-01-07,1.0011408432429187
2020-01-08,1.0041638999967635
2020-01-09,1.0024653087890827
2020-01-10,1.00496399399736
2020-01-13,1.0040068699282962
2020-01-14,1.0065940817572723
2020-01-15,1.0138552726509433
2020-01-16,1.0146431826609943
2020-01-17,1.0121662559860853
2020-01-21,1.0100789236491974
2020-01-22,1.0089011675078747
2020-01-23,0.9983993285919469
2020-01-24,0.9823604354620248
2020-01-27,0.9929437213936071
2020-01-28,0.9918774857406764
2020-01-29,0.9954699475990594
2020-01-30,0.9806083296744671
2020-01-31,0.9915310221870939
2020-02-03,0.9993034434516309
2020-02-04,1.012031966267575
2020-02-05,1.014187005629694
2020-02-06,1.0101123681465012
2020-02-07,1.013251145931521
2020-02-10,1.0132425657320092
2020-02-11,1.019026868665281
2020-02-12,1.0189507576665096
2020-02-13,1.0174277913054872
2020-02-14,1.0111178766765005
2020-02-18,1.0153999933278721
2020-02-19,1.0144167443771734
2020-02-20,1.0044962693305173
2020-02-21,0.9659337436619723
2020-02-24,0.9418864453874327
2020-02-25,0.9410089735484907
2020-02-26,0.8972746146146515
2020-02-27,0.8946812529645888
2020-02-28,0.937926324890954
2020-03-02,0.9146262895232201
2020-03-03,0.9429391760979562
2020-03-04,0.9143009092824707
2020-03-05,0.9008158585162229
2020-03-06,0.8242822157622598
2020-03-09,0.8714146096341148
2020-03-10,0.8322243528557289
2020-03-11,0.7509898762450197
2020-03-12,0.831558399612263
2020-03-13,0.7524097873368253
2020-03-16,0.7923669460776732
2020-03-17,0.7382604163053986
2020-03-18,0.7540497479626976
2020-03-19,0.7278501269713549
2020-03-20,0.7076273440760806
2020-03-23,0.7971849820132288
2020-03-24,0.8049571091401199
2020-03-25,0.8451610110632974
2020-03-26,0.8168015291367428
2020-03-27,0.8440138559729585
2020-03-30,0.8352294731062074
2020-03-31,0.8039191404433933
2020-04-01,0.822474552362337
2020-04-02,0.8106571184140436
2020-04-03,0.8629880385165758
2020-04-06,0.8603987975551997
2020-04-07,0.8803932846629816
2020-04-08,0.8983756305616615
2020-04-09,0.8927252046302941
2020-04-13,0.9167288888848686
2020-04-14,0.9013919466248801
2020-04-15,0.8957898967164781
2020-04-16,0.9304036419055332
2020-04-17,0.9159166610200538
2020-04-20,0.8937463363194079
2020-04-21,0.9161412890187327
2020-04-22,0.9158495232371876
2020-04-23,0.9278444759785242
2020-04-24,0.9370607454841741
2020-04-27,0.9331710504712386
2020-04-28,0.9487611193507334
2020-04-29,0.9429322326645132
2020-04-30,0.9237294275392681
2020-05-01,0.9269523578892905
2020-05-04,0.9327912902107485
2020-05-05,0.9257205011889453
2020-05-06,0.931561673494537
2020-05-07,0.9436105197000838
2020-05-08,0.938523093720716
2020-05-11,0.9249942831542257
2020-05-12,0.9143407945010265
2020-05-13,0.923171625411154
2020-05-14,0.9279347634972855
2020-05-15,0.9534311333221238
2020-05-18,0.9483997036167026
2020-05-19,0.9614778071784692
2020-05-20,0.95682136963341
2020-05-21,0.9589421167294198
2020-05-22,0.9688719663094681
2020-05-26,0.9780652881995162
2020-05-27,0.9808963610515162
2020-05-28,0.9854293181509122
2020-05-29,0.9862233870496231
2020-06-01,0.9933604439406574
2020-06-02,1.0033766157120951
2020-06-03,0.9958372594299554
2020-06-04,1.0105189097175606
2020-06-05,1.0168561187105905
2020-06-08,1.0197164453124665
2020-06-09,1.0250440781369288
2020-06-10,0.9543570936430569
2020-06-11,0.978764299691065
2020-06-12,0.9856541031528425
2020-06-15,1.0014834160665527
2020-06-16,0.9963866669809721
2020-06-17,0.9954813402412527
2020-06-18,0.9898070329021675
2020-06-19,0.9967517311525177
2020-06-22,0.9985283195036853
2020-06-23,0.9759113447502739
2020-06-24,0.9910502151238987
2020-06-25,0.9699568429483003
2020-06-26,0.9835593582480329
2020-06-29,0.9964665397126815
2020-06-30,1.002725932199593
2020-07-01,1.0074559549355755
2020-07-02,1.0189251205514849
2020-07-06,1.0115198433906853
2020-07-07,1.0188950067718432
2020-07-08,1.0086624424694415
2020-07-09,1.0304095706593897
2020-07-10,1.0312714672225063
2020-07-13,1.0488080682526226
2020-07-14,1.0537346101033012
2020-07-15,1.0512379494542385
2020-07-16,1.0523622362240852
2020-07-17,1.0585105264562753
2020-07-20,1.0755153519718605
2020-07-21,1.0812482765674976
2020-07-22,1.0718621599449565
2020-07-23,1.0689517979296923
2020-07-24,1.0690664583061746
2020-07-27,1.0682583406328987
2020-07-28,1.077498612567252
2020-07-29,1.0703620135875493
2020-07-30,1.0703261723890305
2020-07-31,1.0783188841469697
2020-08-03,1.0881532394318194
2020-08-04,1.0980615760153654
2020-08-05,1.101084368081694
2020-08-06,1.108589309288112
2020-08-07,1.1122859948650963
2020-08-10,1.0993235200164626
2020-08-11,1.1169579174461701
2020-08-12,1.1118011452949856
2020-08-13,1.11272535950007
2020-08-14,1.1134599607464284
2020-08-17,1.112812569564799
2020-08-18,1.1094389898773875
2020-08-19,1.1059735091773883
2020-08-20,1.1064208447494914
2020-08-21,1.123379600984352
2020-08-24,1.1209086952545775
2020-08-25,1.1218958699656612
2020-08-26,1.1308394476262111
2020-08-27,1.1412769525106907
2020-08-28,1.1372999285684284
2020-08-31,1.1371465216011822
2020-09-01,1.1549941518431608
2020-09-02,1.132376897028764
2020-09-03,1.132837634919253
2020-09-04,1.1128024614384895
2020-09-08,1.1368505144757775
2020-09-09,1.123634885117575
2020-09-10,1.1255616822426011
2020-09-11,1.133461412538032
2020-09-14,1.133240896372681
2020-09-15,1.141477941374026
2020-09-16,1.1317369562817843
2020-09-17,1.1194054183874622
2020-09-18,1.1064653983449213
2020-09-21,1.111787207465001
2020-09-22,1.088184783738008
2020-09-23,1.0930516462230535
2020-09-24,1.103246670086186
2020-09-25,1.1196807797443815
2020-09-28,1.112789030982358
